name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.8,119.54",2022-11-28T00:00:00,54.9,54.9,54.2,97.41,0,0,,0,0,2.2,2.2,159.3,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T01:00:00,55.8,55.8,55.1,97.42,0,0,,0,0,3.6,3.1,129.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T02:00:00,56.2,56.2,55.1,96.16,0,0,,0,0,5.1,4.3,167.9,1011,95.9,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T03:00:00,56,56,54.9,96.16,0,0,,0,0,6.9,4.7,170.7,1011,100,15,0,,0,3,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T04:00:00,55.3,55.3,53.9,94.89,0,0,,0,0,4,4.3,179.2,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T05:00:00,55.5,55.5,53.9,94.27,0,0,,0,0,0.9,0.7,191.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T06:00:00,55.8,55.8,53.9,93.05,0,0,,0,0,1.6,1.6,348,1010,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T07:00:00,55.8,55.8,53.7,92.44,0,0,,0,0,2.7,2.7,315.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.8,119.54",2022-11-28T08:00:00,56.2,56.2,53.9,91.84,0.004,100,rain,0,0,5.1,4.3,3.7,1011,100,15,10,0,0,10,"Rain, Overcast",rain,remote
"35.8,119.54",2022-11-28T09:00:00,55.8,55.8,53.7,92.44,0,95.2,rain,0,0,5.6,4,335,1011,100,13.9,12,0,0,10,"Rain, Overcast",rain,
"35.8,119.54",2022-11-28T10:00:00,55.1,55.1,53.5,94.26,0.02,95.2,rain,0,0,12.3,7.6,340.1,1012,100,4.5,26,0.1,0,10,"Rain, Overcast",rain,
"35.8,119.54",2022-11-28T11:00:00,52.2,52.2,50.4,93.57,0.059,95.2,rain,0,0,14.8,9.2,342.9,1012,100,12.2,5,0,0,10,"Rain, Overcast",rain,
"35.8,119.54",2022-11-28T12:00:00,51.2,51.2,49.5,94.17,0.035,95.2,rain,0,0,18.1,9.6,334.3,1012,100,15,7,0,0,10,"Rain, Overcast",rain,
"35.8,119.54",2022-11-28T13:00:00,51.2,51.2,48.8,91.67,0.012,95.2,rain,0,0,22.4,11,336.5,1012,100,9.1,31,0.1,0,10,"Rain, Overcast",rain,
"35.8,119.54",2022-11-28T14:00:00,50.4,50.4,48.6,93.52,0.031,95.2,rain,0,0,25.9,11.6,333.9,1012,100,12.1,8,0,0,10,"Rain, Overcast",rain,
"35.8,119.54",2022-11-28T15:00:00,50.3,50.3,48.1,92.26,0.004,38.1,rain,0,0,27.7,13.6,334,1013,100,15,9,0,0,10,Overcast,cloudy,
"35.8,119.54",2022-11-28T16:00:00,50.6,50.6,48.1,91.04,0,38.1,,0,0,30,16.1,342.2,1013,100,15,12,0,0,10,Overcast,cloudy,
"35.8,119.54",2022-11-28T17:00:00,49.7,43.2,46.8,89.78,0,38.1,,0,0,33.8,20.4,349.7,1015,100,15,6,0,0,10,Overcast,cloudy,
