name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.05,119.2",2022-11-28T00:00:00,57.1,57.1,55.7,94.93,0,0,,0,0,9.2,5.6,160.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.05,119.2",2022-11-28T01:00:00,56,56,54.9,96.16,0,0,,0,0,6.9,4.7,194.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.05,119.2",2022-11-28T02:00:00,54.9,54.9,53.9,96.14,0,0,,0,0,4,3.4,243.5,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.05,119.2",2022-11-28T03:00:00,54.8,54.8,53.1,94.25,0,0,,0,0,8.3,5.6,281.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.05,119.2",2022-11-28T04:00:00,54.2,54.2,52.1,92.39,0,0,,0,0,10.5,7.8,303.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.05,119.2",2022-11-28T05:00:00,53.7,53.7,51.7,92.99,0.02,100,rain,0,0,11.6,7.4,302.4,1011,100,10.6,0,,0,10,"Rain, Overcast",rain,remote
"37.05,119.2",2022-11-28T06:00:00,52.6,52.6,51.7,96.74,0.063,100,rain,0,0,3.1,1.6,322.4,1010,100,4.3,0,,0,10,"Rain, Overcast",rain,remote
"37.05,119.2",2022-11-28T07:00:00,52.4,52.4,51.5,96.74,0.035,100,rain,0,0,8.5,6,267.9,1010,100,4.9,0,,0,10,"Rain, Overcast",rain,remote
"37.05,119.2",2022-11-28T08:00:00,52.2,52.2,51,95.46,0.083,100,rain,0,0,13.9,9.2,286.7,1012,100,12.8,3,0,0,10,"Rain, Overcast",rain,remote
"37.05,119.2",2022-11-28T09:00:00,52.6,52.6,50.6,92.95,0.004,76.2,rain,0,0,17.2,11.2,286.7,1013,100,15,19,0.1,0,10,"Rain, Overcast",rain,
"37.05,119.2",2022-11-28T10:00:00,52.1,52.1,50.4,94.19,0.016,76.2,rain,0,0,16.3,9.8,306.1,1013,100,15,7,0,0,10,"Rain, Overcast",rain,
"37.05,119.2",2022-11-28T11:00:00,52.8,52.8,50.8,92.96,0.008,76.2,rain,0,0,17.2,12.3,320.2,1013,100,15,43,0.2,0,10,"Rain, Overcast",rain,
"37.05,119.2",2022-11-28T12:00:00,52.1,52.1,49.7,91.7,0.004,76.2,rain,0,0,17.4,12.8,351.3,1013,100,15,13,0,0,10,"Rain, Overcast",rain,
"37.05,119.2",2022-11-28T13:00:00,51.5,51.5,48.3,88.65,0,76.2,rain,0,0,19.9,15.4,0.6,1013,100,15,18,0.1,0,10,"Rain, Overcast",rain,
"37.05,119.2",2022-11-28T14:00:00,50.1,50.1,46.3,86.8,0,76.2,rain,0,0,21.5,17.9,7.8,1014,100,15,17,0.1,0,10,"Rain, Overcast",rain,
"37.05,119.2",2022-11-28T15:00:00,50.1,50.1,44.7,81.63,0,9.5,,0,0,22.6,17.7,2.7,1015,100,15,65,0.2,1,10,Overcast,cloudy,
"37.05,119.2",2022-11-28T16:00:00,49,42.7,43.8,82.11,0.004,9.5,rain,0,0,23.3,18.1,359.7,1017,100,15,30,0.1,0,10,Overcast,cloudy,
"37.05,119.2",2022-11-28T17:00:00,48.5,42.2,43.4,82.64,0,9.5,,0,0,24.8,17.2,2,1017,100,15,3,0,0,10,Overcast,cloudy,
"37.05,119.2",2022-11-28T18:00:00,48.3,42.2,42.7,80.93,0,9.5,,0,0,24.6,15.9,2.2,1018,100,15,0,,0,10,Overcast,cloudy,
"37.05,119.2",2022-11-28T19:00:00,48.5,42.7,42.9,80.95,0,9.5,,0,0,23.3,14.8,7.8,1018,100,15,0,,0,10,Overcast,cloudy,
