name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.097264,119.238755",2022-07-01T00:00:00,72.1,72.1,68.8,89.56,0,0,,0,0,7.2,3.6,115.6,1007,98.2,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-01T01:00:00,71.7,71.7,67.7,87.35,0,0,,0,0,6.9,4.3,144.5,1007,76.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.097264,119.238755",2022-07-01T02:00:00,72.2,72.2,71,96.07,0,0,,0,0,27.2,2.2,186,1007.1,71.4,5.8,0,,0,10,Partially cloudy,partly-cloudy-night,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T03:00:00,70.2,70.2,67.6,91.16,0,0,rain,0,0,5.4,4.5,199.8,1007,45.4,4.2,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.097264,119.238755",2022-07-01T04:00:00,69.9,69.9,67.7,92.86,0,0,rain,0,0,3.8,3.6,206,1007,87.6,4.1,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.097264,119.238755",2022-07-01T05:00:00,72.4,72.4,72.3,99.36,0,0,,0,0,16.8,2.2,102,1007.7,100,2.2,0,,0,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T06:00:00,70.4,70.4,68.3,92.88,0,0,rain,0,0,1.6,1.8,194.1,1008,51.3,2.6,50,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-01T07:00:00,72.2,72.2,68.6,88.47,0,0,,0,0,2,2,136.3,1009,100,15,210,0.8,2,5,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-01T08:00:00,78.2,78.2,74.1,86.99,0,0,,0,0,13.4,5.6,194,1008.7,68.1,6.7,354,1.3,4,3,Partially cloudy,partly-cloudy-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T09:00:00,78.3,78.3,70.8,77.65,0,0,,0,0,4,3.4,169.6,1009,1.7,15,577,2.1,6,10,Clear,clear-day,remote
"36.097264,119.238755",2022-07-01T10:00:00,81.4,85.9,71.9,72.87,0,0,,0,0,4.5,3.1,202.4,1008,0,15,745,2.7,7,30,Clear,clear-day,remote
"36.097264,119.238755",2022-07-01T11:00:00,84.7,92.7,74.6,71.65,0,0,,0,0,13.3,6.6,165,1008.6,0,8.5,861,3.1,9,30,Clear,clear-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T12:00:00,86.6,93.3,72.2,62.36,0,0,,0,0,8.9,5.6,196.2,1008,4.5,15,924,3.3,9,30,Clear,clear-day,remote
"36.097264,119.238755",2022-07-01T13:00:00,88.6,95.6,72.1,58.21,0,0,,0,0,10.3,6.9,198,1007,11.5,13.5,928,3.3,9,60,Clear,clear-day,remote
"36.097264,119.238755",2022-07-01T14:00:00,86,93.8,73.7,66.81,0,0,,0,0,13.3,6.6,162,1007.5,58,11.8,875,3.2,9,60,Partially cloudy,partly-cloudy-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T15:00:00,90.1,97.4,72.1,55.63,0,0,,0,0,12.1,9.2,184.2,1006,81.9,15,695,2.5,7,60,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-01T16:00:00,86.8,94.6,73.5,64.69,0,0,rain,0,0,13.6,10.3,167.6,1006,60.5,8.8,351,1.3,4,60,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-01T17:00:00,85.8,93.4,73.6,66.97,0,0,,0,0,14.4,6.6,213,1006.7,38.2,14.2,288,1,3,75,Partially cloudy,partly-cloudy-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T18:00:00,82.1,88.8,74.9,78.9,0,0,,0,0,17.4,12.1,143.1,1006,10.4,15,224,0.8,2,75,Clear,clear-day,remote
"36.097264,119.238755",2022-07-01T19:00:00,78.5,78.5,74.6,87.69,0,0,,0,0,16.8,10.1,136.7,1007,0.5,15,81,0.3,1,60,Clear,clear-day,remote
"36.097264,119.238755",2022-07-01T20:00:00,74.6,74.6,72.5,93.15,1.013,100,rain,0,0,23.8,4.5,98,1008.7,0,14.5,3,0,0,60,Rain,rain,"54945099999,54843099999"
"36.097264,119.238755",2022-07-01T21:00:00,76.4,76.4,73.5,90.83,0,0,,0,0,13.6,8.1,140.1,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.097264,119.238755",2022-07-01T22:00:00,75.6,75.6,73.3,92.47,0,0,,0,0,12.5,7.6,135,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.097264,119.238755",2022-07-01T23:00:00,76.7,76.7,75.4,95.75,0.348,100,rain,0,0,23.8,1.2,90,1008.5,1.1,5.3,0,,0,8,Rain,rain,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T00:00:00,74.6,74.6,72.9,94.71,0,0,,0,0,12.8,7.2,147.6,1009,10.1,15,0,,0,8,Clear,clear-night,remote
"36.097264,119.238755",2022-07-02T01:00:00,74.6,74.6,72.8,94.13,0,0,,0,0,8.5,4.9,158.9,1009,2.7,15,0,,0,30,Clear,clear-night,remote
"36.097264,119.238755",2022-07-02T02:00:00,74.8,74.8,72.5,92.43,0.393,100,rain,0,0,25.9,6.6,235,1008.4,0,7.1,0,,0,8,Rain,rain,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T03:00:00,74.6,74.6,72.2,92.43,0,0,,0,0,5.8,4.7,162.6,1008,0,15,0,,0,8,Clear,clear-night,remote
"36.097264,119.238755",2022-07-02T04:00:00,74.6,74.6,72.1,91.87,0,0,,0,0,4.3,4,190.2,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.097264,119.238755",2022-07-02T05:00:00,72.7,72.7,70.1,91.46,0.075,100,rain,0,0,32.3,3.3,151,1009.5,0,12.3,0,,0,30,Rain,rain,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T06:00:00,76,76,72.8,89.72,0,0,,0,0,8.3,4.5,196,1008,0,15,52,0.2,1,30,Clear,clear-day,remote
"36.097264,119.238755",2022-07-02T07:00:00,78.7,78.7,73.3,83.56,0,0,,0,0,6.9,4.7,191.6,1009,0,15,215,0.8,2,30,Clear,clear-day,remote
"36.097264,119.238755",2022-07-02T08:00:00,78.6,78.6,72.7,82.18,0,0,,0,0,25.2,4.5,137,1009.8,0,16.7,404,1.5,4,60,Clear,clear-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T09:00:00,83,90.5,75.1,77.1,0,0,,0,0,6.3,5.4,151.4,1009,1,15,586,2.1,6,60,Clear,clear-day,remote
"36.097264,119.238755",2022-07-02T10:00:00,85.4,94.3,75.3,71.94,0,0,,0,0,7.4,6.5,172.7,1008,9.1,15,742,2.7,7,75,Clear,clear-day,remote
"36.097264,119.238755",2022-07-02T11:00:00,83,89.2,73.3,72.59,0.002,100,rain,0,0,24,4.5,151,1009.7,33.8,17.5,854,3.1,9,75,"Rain, Partially cloudy",rain,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T12:00:00,88.1,97.6,74.7,64.83,0,0,rain,0,0,8.3,8.5,158.3,1008,37.6,3.7,909,3.3,9,60,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-02T13:00:00,88.2,98.1,74.9,64.86,0,0,rain,0,0,8.9,9.4,149.3,1008,43.5,8.8,915,3.3,9,75,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-02T14:00:00,85.1,95.4,76.7,76.09,0,0,,0,0,25.2,8.9,129,1008.4,78.3,16.3,851,3.1,9,60,Partially cloudy,partly-cloudy-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T15:00:00,87.3,96.7,74.7,66.33,0,0,,0,0,9.4,9.6,160,1007,100,10.9,737,2.7,7,60,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-02T16:00:00,86.4,95.4,74.7,68.26,0,0,,0,0,9.4,10.1,157.1,1007,100,15,578,2.1,6,60,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-02T17:00:00,82.7,90.1,75.4,78.61,0,0,,0,0,17.9,8.9,131,1007.2,99.9,14.8,399,1.4,4,60,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T18:00:00,80.7,86.2,74.9,82.68,0,0,,0,0,15.4,12.3,145.6,1007,90.5,15,227,0.8,2,60,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-02T19:00:00,77.3,77.3,73.5,88.16,0,0,,0,0,19.2,11.2,141.1,1007,58.4,15,75,0.3,1,30,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-02T20:00:00,78.3,78.3,75.2,90.26,0,0,,0,0,17.9,6.7,136,1008,65.8,10.1,3,0,0,3,Partially cloudy,partly-cloudy-night,"54945099999,54843099999"
"36.097264,119.238755",2022-07-02T21:00:00,74.9,74.9,72.4,91.88,0,0,,0,0,22.8,11.4,148.4,1008,100,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-02T22:00:00,74.7,74.7,72.2,91.88,0,0,,0,0,23,10.3,153.3,1009,77.3,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.097264,119.238755",2022-07-02T23:00:00,76.9,76.9,73.7,89.91,0,0,,0,0,17.9,7.9,131,1009.1,100,10.7,0,,0,3,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T00:00:00,74.4,74.4,71.9,91.87,0,0,,0,0,20.6,8.9,153.5,1009,99.5,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T01:00:00,73.8,73.8,71.9,93.55,0,0,,0,0,18.1,7.4,160.1,1008,94.5,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T02:00:00,76,76,73.5,91.88,0,0,,0,0,17.9,6.8,141,1008.1,88.7,8.6,0,,0,3,Partially cloudy,partly-cloudy-night,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T03:00:00,73.7,73.7,71.7,93.54,0,0,,0,0,7.2,4.3,158.4,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T04:00:00,73.7,73.7,71.7,93.54,0,0,,0,0,8.1,4.7,154.6,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T05:00:00,74.9,74.9,73.6,95.66,0,0,,0,0,16.8,5.5,126,1007.7,100,5.2,0,,0,3,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T06:00:00,74.6,74.6,72.2,92.43,0,0,,0,0,9.8,5.1,152.9,1007,93.9,15,37,0.1,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T07:00:00,76.7,76.7,72.6,87.07,0,0,,0,0,11,6.9,159,1007,99.9,15,177,0.6,2,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T08:00:00,76.7,76.7,74.5,92.78,0,0,,0,0,16.8,8.9,131,1007.5,68.8,7.5,353,1.3,4,10,Partially cloudy,partly-cloudy-day,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T09:00:00,81.2,86.3,73.1,76.48,0,0,,0,0,9.4,8.1,155.1,1007,48.3,15,566,2,6,10,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-03T10:00:00,83.2,89.4,73.3,72.16,0,0,,0,0,9.8,9.4,148.8,1007,70.7,15,703,2.5,7,10,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-03T11:00:00,77.8,77.8,74.9,90.81,0,0,,0,0,17.9,8.8,141,1007.5,92.2,9.4,690,2.5,7,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T12:00:00,84.5,91,72.9,68.46,0.004,100,rain,0,0,13.4,13,150.2,1006,100,15,783,2.8,8,10,"Rain, Overcast",rain,remote
"36.097264,119.238755",2022-07-03T13:00:00,84.5,90.8,72.8,68.04,0,0,,0,0,14.1,13.4,150.2,1006,100,15,767,2.8,8,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T14:00:00,80.4,85.5,74.6,82.72,0,0,,0,0,17.9,6.7,132,1006.6,100,11.2,737,2.7,7,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T15:00:00,83.4,89.2,72.6,70.03,0,0,,0,0,13.4,12.3,148.6,1005,100,15,566,2,6,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T16:00:00,83.2,88.9,72.6,70.43,0,0,,0,0,12.8,11.6,145.8,1005,100,15,498,1.8,5,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T17:00:00,78.8,78.8,74.1,85.48,0,0,,0,0,17.9,8.9,121,1004.9,100,10.4,353,1.3,4,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T18:00:00,79.8,79.8,73.5,81.14,0,0,,0,0,12.3,9.6,135.3,1005,100,15,147,0.5,1,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-03T19:00:00,77.8,77.8,73.5,86.6,0,0,,0,0,14.1,8.5,130.4,1005,38.9,15,70,0.3,1,10,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-03T20:00:00,77.1,77.1,74.3,91.27,0,0,,0,0,17.9,7.8,131,1005.6,5.3,7.8,3,0,0,10,Clear,clear-night,"54945099999,54843099999"
"36.097264,119.238755",2022-07-03T21:00:00,75.1,75.1,72.4,91.33,0,0,,0,0,18.6,7.8,136,1005,14.5,15,0,,0,3,Clear,clear-night,remote
"36.097264,119.238755",2022-07-03T22:00:00,74.4,74.4,72.4,93.56,0,0,,0,0,20.8,8.1,140.4,1005,36.3,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.097264,119.238755",2022-07-03T23:00:00,75.9,75.9,73.7,92.7,0,0,,0,0,16.7,7.9,131,1005.6,83.3,7.6,0,,0,3,Partially cloudy,partly-cloudy-night,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T00:00:00,74.4,74.4,72.4,93.56,0,0,,0,0,14.1,5.1,149.9,1005,77,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.097264,119.238755",2022-07-04T01:00:00,74.2,74.2,72.4,94.13,0,0,,0,0,10.3,5.1,141.7,1005,97.2,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T02:00:00,76.1,76.1,73.7,92.41,0,0,,0,0,16.7,4.5,132,1004.7,100,8,0,,0,3,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T03:00:00,73.5,73.5,72.4,96.43,0,0,,0,0,11.9,5.6,130.8,1003,100,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T04:00:00,73.3,73.3,72.4,97.01,0,0,,0,0,9.8,4.7,137,1003,100,15,0,,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T05:00:00,75.7,75.7,73.6,93.28,0,0,,0,0,16.7,6.7,126,1003.8,100,7.4,0,,0,3,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T06:00:00,74.6,74.6,72.8,94.13,0,0,,0,0,9.2,5.1,176.6,1003,90.8,15,40,0.1,0,3,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T07:00:00,76.9,76.9,72.9,87.61,0,0,,0,0,8.7,5.8,166.9,1003,73.5,15,179,0.6,2,10,Partially cloudy,partly-cloudy-day,remote
"36.097264,119.238755",2022-07-04T08:00:00,76.6,76.6,74.1,91.84,0,0,,0,0,14.6,6.7,136,1004.7,100,5.8,365,1.3,4,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T09:00:00,82.1,88.1,73.8,76.1,0,0,,0,0,6.5,5.1,174.8,1004,99.4,15,486,1.7,5,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T10:00:00,83.4,90.8,74.7,75.29,0,0,rain,0,0,7.8,6.9,151.8,1003,100,6.8,594,2.1,6,30,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T11:00:00,77.7,77.7,75.1,91.87,0.006,100,rain,0,0,14.6,5.5,146,1004.6,100,4.4,139,0.5,1,10,"Rain, Overcast",rain,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T12:00:00,78.2,78.2,74.7,89.27,0,0,,0,0,11.2,6.7,152.2,1004,100,15,50,0.2,1,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T13:00:00,79.6,79.6,74.4,84.12,0,0,,0,0,11.2,8.3,158.2,1003,99.6,15,218,0.8,2,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T14:00:00,79.7,79.7,75.8,87.85,0,0,,0,0,14.6,6.7,145,1004,100,9.3,808,2.9,8,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T15:00:00,83.7,91.2,74.6,73.98,0,0,,0,0,12.3,10.5,170.9,1002,97.7,15,685,2.5,7,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T16:00:00,84.1,91.6,74.4,72.69,0,0,,0,0,13.4,10.5,171.9,1002,100,15,565,2,6,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T17:00:00,79.6,79.6,75.5,87.21,0,0,,0,0,14.6,5.6,126,1003.1,100,8.1,310,1.1,3,10,Overcast,cloudy,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T18:00:00,79.6,79.6,74.6,84.63,0,0,,0,0,10.7,6.9,159,1002,100,15,83,0.3,1,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T19:00:00,78.2,78.2,74.2,87.67,0,0,,0,0,7.6,5.1,131.7,1002,100,15,33,0.1,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-07-04T20:00:00,77.4,77.4,74.9,92.16,0,0,,0,0,14.6,4.5,111,1003.7,84.8,5.9,2,0,0,10,Partially cloudy,partly-cloudy-night,"54945099999,54843099999"
"36.097264,119.238755",2022-07-04T21:00:00,76.2,76.2,73.1,90.27,0,0,,0,0,10.1,5.8,137.7,1004,100,15,0,,0,10,Overcast,cloudy,remote
