name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.097264,119.238755",2022-11-28T00:00:00,55.1,55.1,53.7,94.89,0,0,,0,0,1.8,1.6,172.7,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T01:00:00,55.8,55.8,54.2,94.28,0,0,,0,0,3.4,3.6,147.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T02:00:00,56.2,56.2,54.4,93.67,0,0,,0,0,8.1,5.6,171.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T03:00:00,56.2,56.2,54.2,93.06,0,0,,0,0,4.5,3.8,219.6,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T04:00:00,56.2,56.2,53.9,91.84,0,0,,0,0,4.3,4,187.5,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T05:00:00,55.3,55.3,53.3,93.03,0,0,,0,0,3.4,3.4,298.4,1010,99.6,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T06:00:00,54.8,54.8,52.8,93.02,0,0,,0,0,4.5,4.5,343.6,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T07:00:00,53.5,53.5,52.2,95.48,0,0,,0,0,8.5,6,0.9,1011,96.5,15,0,,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T08:00:00,53.1,53.1,51.2,92.97,0,0,,0,0,8.5,6.5,16.3,1011,100,15,34,0.1,0,10,Overcast,cloudy,remote
"36.097264,119.238755",2022-11-28T09:00:00,53,53,50.6,91.73,0.012,90.5,rain,0,0,10.7,6.5,345.5,1012,100,8.6,13,0,0,10,"Rain, Overcast",rain,
"36.097264,119.238755",2022-11-28T10:00:00,51.7,51.7,49.5,92.31,0.059,90.5,rain,0,0,16.8,10.3,353.2,1012,100,10.9,6,0,0,10,"Rain, Overcast",rain,
"36.097264,119.238755",2022-11-28T11:00:00,50.8,50.8,48.6,92.28,0.039,90.5,rain,0,0,17,9.2,336.6,1013,100,9.6,8,0,0,10,"Rain, Overcast",rain,
"36.097264,119.238755",2022-11-28T12:00:00,50.8,50.8,48.6,92.28,0.043,90.5,rain,0,0,20.6,9.8,337.1,1013,100,4.5,8,0,0,10,"Rain, Overcast",rain,
"36.097264,119.238755",2022-11-28T13:00:00,50.4,50.4,48.1,91.65,0.035,90.5,rain,0,0,24.2,11.4,345.2,1012,100,13.7,8,0,0,10,"Rain, Overcast",rain,
"36.097264,119.238755",2022-11-28T14:00:00,50.4,50.4,47.7,90.42,0.004,90.5,rain,0,0,24.6,11.9,344.5,1013,100,15,15,0.1,0,10,"Rain, Overcast",rain,
"36.097264,119.238755",2022-11-28T15:00:00,50.1,50.1,47.7,91.63,0,28.6,,0,0,25.5,14.3,342.8,1014,100,15,17,0.1,0,10,Overcast,cloudy,
"36.097264,119.238755",2022-11-28T16:00:00,50.3,50.3,47.7,91.02,0.004,28.6,rain,0,0,25.3,15,352.6,1014,100,15,11,0,0,10,Overcast,cloudy,
"36.097264,119.238755",2022-11-28T17:00:00,49,42.5,45.4,87.33,0,28.6,,0,0,31.8,18.8,355.1,1015,100,15,1,0,0,10,Overcast,cloudy,
"36.097264,119.238755",2022-11-28T18:00:00,48.3,41.8,44,84.93,0,28.6,,0,0,31.1,17.7,0.8,1017,100,15,0,,0,10,Overcast,cloudy,
"36.097264,119.238755",2022-11-28T19:00:00,47.6,41,43.4,85.47,0,28.6,,0,0,32,17.2,3.5,1017,100,15,0,,0,10,Overcast,cloudy,
