name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.1,118.6",2022-07-01T00:00:00,73.7,73.7,68.8,84.8,0,0,,0,0,9.8,6,194.8,1006,100,15,0,,0,5,Overcast,cloudy,remote
"37.1,118.6",2022-07-01T01:00:00,72.9,72.9,69,87.41,0,0,,0,0,8.5,5.8,156.3,1006,94.9,15,0,,0,3,Overcast,cloudy,remote
"37.1,118.6",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,61.9,3.7,0,,0,3,Partially cloudy,partly-cloudy-night,54843099999
"37.1,118.6",2022-07-01T03:00:00,72.2,72.2,68.6,88.47,0,0,,0,0,2.9,2.7,170.3,1007,5.7,15,0,,0,3,Clear,clear-night,remote
"37.1,118.6",2022-07-01T04:00:00,72.1,72.1,68.3,87.91,0,0,,0,0,3.8,3.6,179.3,1007,33.8,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.1,118.6",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,,0,0,17.9,2.2,140,1007.4,4.4,1.9,0,,0,3,Clear,clear-day,54843099999
"37.1,118.6",2022-07-01T06:00:00,73.8,73.8,68.4,83.25,0,0,,0,0,2.2,2,163.4,1007,0.4,15,52,0.2,1,3,Clear,clear-day,remote
"37.1,118.6",2022-07-01T07:00:00,76.2,76.2,68.6,77.47,0,0,,0,0,2.9,2.9,170.9,1008,0.8,15,213,0.8,2,10,Clear,clear-day,remote
"37.1,118.6",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,0.1,4.3,400,1.4,4,10,Clear,clear-day,54843099999
"37.1,118.6",2022-07-01T09:00:00,81.8,85.1,69.2,65.7,0,0,,0,0,3.4,2.7,188.6,1008,0.2,15,579,2.1,6,10,Clear,clear-day,remote
"37.1,118.6",2022-07-01T10:00:00,83.7,87.6,69.3,62,0,0,,0,0,4.9,4,176,1008,5,15,735,2.6,7,30,Clear,clear-day,remote
"37.1,118.6",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,18.6,9.9,848,3.1,8,30,Clear,clear-day,54843099999
"37.1,118.6",2022-07-01T12:00:00,87.5,92.2,69.5,55.29,0,0,,0,0,7.4,6,180.5,1007,54.6,15,907,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-01T13:00:00,89,93.5,69,51.86,0,0,,0,0,7.8,5.4,174.1,1007,73.1,15,811,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,97.5,18,668,2.4,7,30,Overcast,cloudy,54843099999
"37.1,118.6",2022-07-01T15:00:00,89,93.5,69,51.86,0,0,,0,0,3.8,2,100.2,1006,88.5,15,376,1.4,4,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-01T16:00:00,87.2,92,69.9,56.61,0,0,,0,0,4.5,2.9,358.6,1006,83.9,15,194,0.7,2,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,,0,0,11.2,4.5,260,1005.9,3.5,18.6,220,0.8,2,30,Clear,clear-day,54843099999
"37.1,118.6",2022-07-01T18:00:00,87.2,92,69.9,56.61,0,0,,0,0,4.9,4.5,15,1005,39.7,15,271,1,3,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-01T19:00:00,84.3,89.1,70.6,63.61,0,0,,0,0,4.5,4.3,55,1006,75.3,15,85,0.3,1,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,0.8,18.6,4,0,0,30,Rain,rain,54843099999
"37.1,118.6",2022-07-01T21:00:00,80,80,70.2,72.29,0,0,,0,0,4.7,4.7,90,1007,0,15,0,,0,30,Clear,clear-night,remote
"37.1,118.6",2022-07-01T22:00:00,79.2,79.2,70.4,74.47,0,0,,0,0,4.3,4,104.3,1007,1.5,15,0,,0,30,Clear,clear-night,remote
"37.1,118.6",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,24.4,5.6,0,,0,30,"Rain, Partially cloudy",rain,54843099999
"37.1,118.6",2022-07-02T00:00:00,78.5,78.5,70.8,77.19,0.024,100,rain,0,0,2.2,2.2,155.1,1008,33.1,15,0,,0,30,"Rain, Partially cloudy",rain,remote
"37.1,118.6",2022-07-02T01:00:00,78.2,78.2,71.1,79.07,0,0,,0,0,3.1,2.9,151.3,1007,1.5,15,0,,0,30,Clear,clear-night,remote
"37.1,118.6",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,4.9,12.4,0,,0,30,Clear,clear-night,54843099999
"37.1,118.6",2022-07-02T03:00:00,77.3,77.3,70.8,80.47,0,0,,0,0,3.1,2.9,159.5,1007,4.4,15,0,,0,30,Clear,clear-night,remote
"37.1,118.6",2022-07-02T04:00:00,76.7,76.7,70.8,81.92,0,0,,0,0,1.8,1.8,179.7,1007,2.9,15,0,,0,30,Clear,clear-night,remote
"37.1,118.6",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,0,9.9,0,,0,30,Clear,clear-day,54843099999
"37.1,118.6",2022-07-02T06:00:00,78.2,78.2,71.3,79.56,0,0,,0,0,1.6,1.6,134,1008,0,15,51,0.2,1,30,Clear,clear-day,remote
"37.1,118.6",2022-07-02T07:00:00,80.9,84.9,71.3,72.82,0,0,,0,0,1.8,2,92,1008,0,15,210,0.8,2,30,Clear,clear-day,remote
"37.1,118.6",2022-07-02T08:00:00,79.4,79.4,72.8,80.14,0,0,,0,0,15.7,4.5,170,1009.1,0,14.9,399,1.4,4,30,Clear,clear-day,54843099999
"37.1,118.6",2022-07-02T09:00:00,86.3,92.6,72.1,62.69,0,0,,0,0,3.4,4,124.3,1008,0,15,580,2.1,6,60,Clear,clear-day,remote
"37.1,118.6",2022-07-02T10:00:00,89,95.7,71.7,56.85,0,0,,0,0,3.6,3.6,140,1007,0,15,737,2.7,7,60,Clear,clear-day,remote
"37.1,118.6",2022-07-02T11:00:00,86.6,93,71.9,61.6,0,0,,0,0,13.4,4.5,160,1009.1,0.2,18.6,851,3.1,9,60,Clear,clear-day,54843099999
"37.1,118.6",2022-07-02T12:00:00,93.3,99.9,70.4,47.59,0,0,,0,0,5.4,4.3,149.2,1007,44.1,15,914,3.3,9,60,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-02T13:00:00,94.7,100.7,69.3,43.87,0,0,,0,0,6.3,4.7,138.5,1006,63.5,15,902,3.2,9,30,Partially cloudy,partly-cloudy-day,remote
"37.1,118.6",2022-07-02T14:00:00,89.9,101.9,76.2,64.27,0,0,,0,0,15.7,8.9,120,1007.5,100,18.6,753,2.7,8,30,Overcast,cloudy,54843099999
"37.1,118.6",2022-07-02T15:00:00,90.2,97.8,72.2,55.65,0,0,,0,0,9.4,7.4,85.2,1005,24.3,15,173,0.6,2,60,Partially cloudy,partly-cloudy-day,remote
