name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.1,118.6",2022-11-28T00:00:00,51.3,51.3,47.9,88.05,0,0,,0,0,3.1,3.1,313.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.1,118.6",2022-11-28T01:00:00,49.9,47.5,47.6,91.63,0,0,,0,0,8.7,6,318.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.1,118.6",2022-11-28T02:00:00,50.8,50.8,47.9,89.82,0,0,,0,0,6.9,4.7,298.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.1,118.6",2022-11-28T03:00:00,50.8,50.8,47.9,89.82,0,0,,0,0,8.5,5.6,289.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.1,118.6",2022-11-28T04:00:00,50.3,50.3,48.6,94.14,0.028,100,rain,0,0,11.4,6.9,302.8,1011,100,7.3,0,,0,10,"Rain, Overcast",rain,remote
"37.1,118.6",2022-11-28T05:00:00,49.9,47.3,49.2,97.35,0.098,100,rain,0,0,10.5,6.5,280.3,1011,100,3.4,0,,0,10,"Rain, Overcast",rain,remote
"37.1,118.6",2022-11-28T06:00:00,49.9,46.6,49,96.7,0.071,100,rain,0,0,12.1,8.1,301.3,1011,100,8.7,0,,0,10,"Rain, Overcast",rain,remote
"37.1,118.6",2022-11-28T07:00:00,49.4,45.1,47.9,94.76,0.024,100,rain,0,0,15.7,10.5,294.3,1012,100,14.5,0,,0,10,"Rain, Overcast",rain,remote
"37.1,118.6",2022-11-28T08:00:00,48.8,44.5,47.2,94.11,0.012,100,rain,0,0,16.3,10.3,283.9,1013,100,11.7,2,0,0,10,"Rain, Overcast",rain,remote
"37.1,118.6",2022-11-28T09:00:00,48.6,44.3,47.2,94.74,0.016,66.7,rain,0,0,16.6,10.1,289.7,1013,100,15,4,0,0,10,"Rain, Overcast",rain,
