name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.460289,119.340861",2022-07-01T00:00:00,71.5,71.5,68.6,90.65,0,0,,0,0,15.9,8.3,188.1,1007,100,15,0,,0,5,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-01T01:00:00,71.3,71.3,68.4,90.64,0,0,,0,0,16.3,7.2,179.1,1007,98,15,0,,0,5,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,83.2,3.7,0,,0,10,Partially cloudy,partly-cloudy-night,54843099999
"36.460289,119.340861",2022-07-01T03:00:00,70.8,70.8,67.9,90.62,0,0,,0,0,14.3,6.5,178.1,1007,5.2,15,0,,0,10,Clear,clear-night,remote
"36.460289,119.340861",2022-07-01T04:00:00,69.9,69.9,67.6,92.29,0,0,rain,0,0,10.3,5.1,182.2,1007,2.7,8.6,0,,0,10,Clear,clear-night,remote
"36.460289,119.340861",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,rain,0,0,17.9,2.2,140,1007.4,23.3,1.9,0,,0,10,Partially cloudy,partly-cloudy-day,54843099999
"36.460289,119.340861",2022-07-01T06:00:00,71.5,71.5,68.3,89.53,0,0,,0,0,4.5,3.1,186.4,1008,89.5,15,55,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"36.460289,119.340861",2022-07-01T07:00:00,73.5,73.5,69,85.84,0,0,,0,0,8.3,6.9,163.3,1008,62.5,15,202,0.7,2,3,Partially cloudy,partly-cloudy-day,remote
"36.460289,119.340861",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,100,4.3,388,1.4,4,10,Overcast,cloudy,54843099999
"36.460289,119.340861",2022-07-01T09:00:00,78.7,78.7,70.8,76.73,0,0,,0,0,6.5,5.8,173.3,1008,0,15,519,1.9,5,10,Clear,clear-day,remote
"36.460289,119.340861",2022-07-01T10:00:00,81.4,85.6,71.3,71.55,0,0,,0,0,6.3,6,172.4,1008,0,15,745,2.7,7,30,Clear,clear-day,remote
"36.460289,119.340861",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,0,9.9,859,3.1,9,30,Clear,clear-day,54843099999
"36.460289,119.340861",2022-07-01T12:00:00,86.1,92.3,71.9,62.67,0,0,,0,0,8.3,6.7,187.9,1008,0.1,15,923,3.3,9,30,Clear,clear-day,remote
"36.460289,119.340861",2022-07-01T13:00:00,87.5,93.9,71.7,59.5,0,0,,0,0,10.5,8.1,187.3,1007,2.4,15,928,3.3,9,30,Clear,clear-day,remote
"36.460289,119.340861",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,44.2,18,875,3.2,9,60,Partially cloudy,partly-cloudy-day,54843099999
"36.460289,119.340861",2022-07-01T15:00:00,90.2,96.6,71,53.32,0,0,,0,0,13.4,10.1,192.6,1006,95.4,15,752,2.7,8,60,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-01T16:00:00,87.9,94.5,71.9,59.19,0,0,,0,0,12.1,8.1,178.9,1006,98.9,15,301,1.1,3,60,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,,0,0,11.2,4.5,260,1005.9,99.4,18.6,174,0.6,2,60,Overcast,cloudy,54843099999
"36.460289,119.340861",2022-07-01T18:00:00,82.1,88.1,73.8,76.1,0,0,,0,0,18.8,10.1,139.7,1006,92.1,15,88,0.3,1,60,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-01T19:00:00,81.1,86.3,73.8,78.82,0,0,,0,0,20.8,11.6,151.8,1006,85.7,15,40,0.1,0,60,Partially cloudy,partly-cloudy-day,remote
"36.460289,119.340861",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,81.1,18.6,2,0,0,60,"Rain, Partially cloudy",rain,54843099999
"36.460289,119.340861",2022-07-01T21:00:00,78.3,78.3,73.8,86.1,0,0,,0,0,18.3,8.9,156.6,1008,0,15,0,,0,60,Clear,clear-night,remote
"36.460289,119.340861",2022-07-01T22:00:00,76.9,76.9,73.3,88.68,0,0,,0,0,18.6,8.5,153.3,1008,0,15,0,,0,60,Clear,clear-night,remote
"36.460289,119.340861",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,0,5.6,0,,0,30,Rain,rain,54843099999
"36.460289,119.340861",2022-07-02T00:00:00,75.5,75.5,73.5,93.59,0,0,,0,0,16.8,8.1,155.8,1008,1,15,0,,0,30,Clear,clear-night,remote
"36.460289,119.340861",2022-07-02T01:00:00,74.7,74.7,73.3,95.29,0,0,,0,0,15.9,7.4,162.5,1008,3.2,15,0,,0,30,Clear,clear-night,remote
"36.460289,119.340861",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,0.1,12.4,0,,0,30,Clear,clear-night,54843099999
"36.460289,119.340861",2022-07-02T03:00:00,74.9,74.9,72.6,92.44,0,0,,0,0,7.8,4.9,173.5,1007,0,15,0,,0,30,Clear,clear-night,remote
"36.460289,119.340861",2022-07-02T04:00:00,74.7,74.7,72.2,91.88,0.004,100,rain,0,0,5.1,4.3,179,1008,0,15,0,,0,30,Rain,rain,remote
"36.460289,119.340861",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,0,9.9,0,,0,30,Clear,clear-day,54843099999
"36.460289,119.340861",2022-07-02T06:00:00,76.6,76.6,72.8,88.12,0,0,,0,0,4.5,3.1,170.4,1008,0,15,55,0.2,1,30,Clear,clear-day,remote
"36.460289,119.340861",2022-07-02T07:00:00,79.6,79.6,72.8,79.67,0,0,,0,0,5.1,4,173.2,1008,0,15,218,0.8,2,30,Clear,clear-day,remote
"36.460289,119.340861",2022-07-02T08:00:00,79.4,79.4,72.8,80.14,0,0,,0,0,15.7,4.5,170,1009.1,0,14.9,406,1.5,4,60,Clear,clear-day,54843099999
"36.460289,119.340861",2022-07-02T09:00:00,83.9,90.9,73.8,71.8,0,0,,0,0,7.4,6.9,160.4,1008,0,15,588,2.1,6,60,Clear,clear-day,remote
"36.460289,119.340861",2022-07-02T10:00:00,85.6,93.6,74.2,68.99,0.02,100,rain,0,0,7.8,7.2,166.9,1008,0,3.1,743,2.7,7,60,Rain,rain,remote
"36.460289,119.340861",2022-07-02T11:00:00,86.6,93,71.9,61.6,0,0,,0,0,13.4,4.5,160,1009.1,0,18.6,858,3.1,9,75,Clear,clear-day,54843099999
"36.460289,119.340861",2022-07-02T12:00:00,89.1,97.5,73.3,59.71,0.004,100,rain,0,0,8.5,7.6,168.1,1008,16.6,15,918,3.3,9,60,Rain,rain,remote
"36.460289,119.340861",2022-07-02T13:00:00,90.2,98.9,73.3,57.71,0.012,100,rain,0,0,8.9,9.2,156.6,1007,19.9,10.1,921,3.3,9,60,Rain,rain,remote
"36.460289,119.340861",2022-07-02T14:00:00,89.9,101.9,76.2,64.27,0,0,rain,0,0,15.7,8.9,120,1007.5,64.7,18.6,860,3.1,9,60,Partially cloudy,partly-cloudy-day,54843099999
"36.460289,119.340861",2022-07-02T15:00:00,88.4,96.8,73.5,61.45,0,0,,0,0,12.5,12.8,159.4,1007,36.2,15,507,1.8,5,60,Partially cloudy,partly-cloudy-day,remote
"36.460289,119.340861",2022-07-02T16:00:00,88.4,97.4,74,62.57,0.008,100,rain,0,0,13.6,12.3,165.2,1006,79,14.5,522,1.9,5,60,"Rain, Partially cloudy",rain,remote
"36.460289,119.340861",2022-07-02T17:00:00,88.1,97.8,74.9,65.23,0,0,,0,0,17.9,8.9,140,1006.4,100,18.6,404,1.5,4,75,Overcast,cloudy,54843099999
"36.460289,119.340861",2022-07-02T18:00:00,83.9,92.4,75.6,76.25,0.012,100,rain,0,0,18.1,13.9,151.7,1006,100,15,227,0.8,2,75,"Rain, Overcast",rain,remote
"36.460289,119.340861",2022-07-02T19:00:00,79.4,79.4,74.4,84.62,0,0,,0,0,21.3,13.2,153.4,1006,100,15,71,0.3,1,30,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-02T20:00:00,80.9,86.8,75.5,83.69,0,0,,0,0,17.9,6.7,150,1007.6,100,13.7,3,0,0,3,Overcast,cloudy,54843099999
"36.460289,119.340861",2022-07-02T21:00:00,76.4,76.4,72.1,86.52,0,0,,0,0,24.2,12.5,158.2,1008,70.3,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.460289,119.340861",2022-07-02T22:00:00,75.5,75.5,71.9,88.61,0,0,,0,0,23.9,11.9,163.3,1008,47.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.460289,119.340861",2022-07-02T23:00:00,78.2,78.2,72.6,83.02,0,0,,0,0,17.9,8.9,150,1008.6,97.4,13.7,0,,0,3,Overcast,cloudy,54843099999
"36.460289,119.340861",2022-07-03T00:00:00,74.7,74.7,72.1,91.32,0,0,,0,0,25.3,11.6,159.5,1008,90.7,15,0,,0,3,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-03T01:00:00,74.4,74.4,71.9,91.87,0,0,,0,0,23.5,11,160.8,1008,100,15,0,,0,3,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-03T02:00:00,76.7,76.7,72.2,86.02,0,0,,0,0,17.9,8.9,150,1007.9,56.1,11.8,0,,0,3,Partially cloudy,partly-cloudy-night,54843099999
"36.460289,119.340861",2022-07-03T03:00:00,73.8,73.8,71.9,93.55,0,0,,0,0,17.9,9.2,156.5,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-03T04:00:00,73.3,73.3,72.1,95.84,0,0,,0,0,15.7,8.3,151.7,1007,99.8,15,0,,0,3,Overcast,cloudy,remote
"36.460289,119.340861",2022-07-03T05:00:00,75.3,75.3,72.8,91.9,0,0,,0,0,17.9,4.5,140,1007.4,100,8.7,0,,0,3,Overcast,cloudy,54843099999
"36.460289,119.340861",2022-07-03T06:00:00,74.4,74.4,72.4,93.56,0,0,,0,0,15.9,8.7,157.5,1007,100,15,42,0.2,0,10,Overcast,cloudy,remote
