name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.460289,119.340861",2022-11-28T00:00:00,55.1,55.1,54.2,96.78,0,0,,0,0,3.4,3.4,176.3,1012,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T01:00:00,55.3,55.3,54.4,96.78,0,0,,0,0,9.4,5.6,150.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T02:00:00,55.5,55.5,54.4,96.15,0,0,,0,0,7.4,4,166.6,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T03:00:00,55.3,55.3,54.2,96.15,0,0,,0,0,8.7,5.6,251.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T04:00:00,54.9,54.9,53.9,96.14,0,0,,0,0,3.8,3.6,309.2,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T05:00:00,53,53,51.5,94.84,0,0,,0,0,12.5,8.3,320.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T06:00:00,51.7,51.7,49.2,91.08,0.004,100,rain,0,0,15,8.5,332.3,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.460289,119.340861",2022-11-28T07:00:00,51.5,51.5,49.2,91.68,0,0,,0,0,8.9,6,291.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T08:00:00,51.9,51.9,49.4,91.08,0,0,,0,0,11,7.2,302.2,1011,100,15,9,0,0,10,Overcast,cloudy,remote
"36.460289,119.340861",2022-11-28T09:00:00,50.4,50.4,48.6,93.52,0.047,90.5,rain,0,0,22.4,13.2,311.4,1013,100,7.3,5,0,0,10,"Rain, Overcast",rain,
"36.460289,119.340861",2022-11-28T10:00:00,50.4,50.4,48.8,94.15,0.087,90.5,rain,0,0,19.7,10.7,318.8,1012,100,7.3,13,0,0,10,"Rain, Overcast",rain,
"36.460289,119.340861",2022-11-28T11:00:00,51.3,51.3,48.5,89.85,0.024,90.5,rain,0,0,19,13,313.2,1013,100,13.9,123,0.4,1,10,"Rain, Overcast",rain,
"36.460289,119.340861",2022-11-28T12:00:00,50.3,50.3,48.1,92.26,0.012,90.5,rain,0,0,24.4,15,312.2,1013,100,12.9,79,0.3,1,10,"Rain, Overcast",rain,
"36.460289,119.340861",2022-11-28T13:00:00,49.5,44.5,47.7,93.49,0.028,90.5,rain,0,0,23.5,13.2,316.5,1013,100,14.9,14,0.1,0,10,"Rain, Overcast",rain,
"36.460289,119.340861",2022-11-28T14:00:00,50.8,50.8,48.5,91.66,0,90.5,rain,0,0,22.6,13.6,338.5,1013,100,15,15,0.1,0,10,"Rain, Overcast",rain,
"36.460289,119.340861",2022-11-28T15:00:00,50.3,50.3,47.2,89.19,0,14.3,rain,0,0,22.4,15,354.5,1014,100,15,11,0,0,10,Overcast,cloudy,
"36.460289,119.340861",2022-11-28T16:00:00,49.2,43.3,45,85.57,0.004,14.3,rain,0,0,26.4,16.1,350.2,1015,100,15,8,0,0,10,Overcast,cloudy,
"36.460289,119.340861",2022-11-28T17:00:00,48.1,41.7,43.8,84.92,0,14.3,,0,0,28,17.4,353.8,1016,100,15,6,0,0,10,Overcast,cloudy,
"36.460289,119.340861",2022-11-28T18:00:00,47.6,41.5,43.2,84.89,0,14.3,,0,0,27.1,15.2,356.7,1018,100,15,0,,0,10,Overcast,cloudy,
