name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.52,118.77",2022-07-01T00:00:00,70.6,70.6,68.3,92.31,0,0,,0,0,11,6,149.1,1007,100,15,0,,0,5,Overcast,cloudy,remote
"36.52,118.77",2022-07-01T01:00:00,69.9,69.9,67.9,93.44,0,0,,0,0,12.3,5.4,163.7,1007,45.7,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.52,118.77",2022-07-01T02:00:00,71.4,71.4,70.4,96.73,0.001,100,rain,0,0,27.8,1.5,110,1007.4,37.6,2.9,0,,0,5,"Rain, Partially cloudy",rain,"54836099999,54843099999"
"36.52,118.77",2022-07-01T03:00:00,69.2,69.2,67.2,93.42,0,0,,0,0,7.4,4.5,168.1,1007,8,15,0,,0,5,Clear,clear-night,remote
"36.52,118.77",2022-07-01T04:00:00,69,69,66.6,92.26,0,0,,0,0,3.8,3.6,192.5,1007,18.5,15,0,,0,10,Clear,clear-night,remote
"36.52,118.77",2022-07-01T05:00:00,70.9,70.9,70.7,99.17,0,0,,0,0,16.5,1.5,140,1007.5,3.3,1.7,0,,0,10,Clear,clear-day,"54836099999,54843099999"
"36.52,118.77",2022-07-01T06:00:00,70.4,70.4,67.2,89.49,0,0,,0,0,4,3.4,184.7,1008,2.9,15,52,0.2,1,5,Clear,clear-day,remote
"36.52,118.77",2022-07-01T07:00:00,73.5,73.5,68.3,83.75,0,0,,0,0,4.5,3.8,195.6,1008,93.5,15,215,0.8,2,3,Overcast,cloudy,remote
"36.52,118.77",2022-07-01T08:00:00,76,76,71.9,87.24,0.001,100,rain,0,0,11.3,6,164,1008.8,1.3,3.2,389,1.4,4,10,Rain,rain,"54836099999,54843099999"
"36.52,118.77",2022-07-01T09:00:00,78.9,78.9,70.2,74.89,0,0,,0,0,4.3,4.9,158.6,1008,2.5,15,586,2.1,6,30,Clear,clear-day,remote
"36.52,118.77",2022-07-01T10:00:00,81.4,85.2,70.4,69.39,0,0,,0,0,5.1,5.1,159.4,1008,7.6,15,742,2.7,7,30,Clear,clear-day,remote
"36.52,118.77",2022-07-01T11:00:00,85.1,91.1,72,64.96,0,0,,0,0,9.8,3.8,118,1008.7,32,8,856,3.1,9,30,Partially cloudy,partly-cloudy-day,"54836099999,54843099999"
"36.52,118.77",2022-07-01T12:00:00,86.4,91.5,70.2,58.64,0,0,rain,0,0,8.7,6,166.6,1007,66.1,15,885,3.2,9,30,Partially cloudy,partly-cloudy-day,remote
"36.52,118.77",2022-07-01T13:00:00,86.6,91.4,69.9,57.59,0,0,,0,0,9.6,6.9,185.6,1007,26.8,15,726,2.6,7,30,Partially cloudy,partly-cloudy-day,remote
"36.52,118.77",2022-07-01T14:00:00,88.5,94.8,71.2,56.67,0,0,,0,0,11.2,4.5,194,1007.2,68.8,15.8,865,3.1,9,30,Partially cloudy,partly-cloudy-day,"54836099999,54843099999"
