name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.52,118.77",2022-11-28T00:00:00,53.9,53.9,52.6,95.49,0,0,,0,0,3.6,3.8,104.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.52,118.77",2022-11-28T01:00:00,53.9,53.9,52.8,96.12,0,0,,0,0,1.8,1.6,72.3,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.52,118.77",2022-11-28T02:00:00,52.8,52.8,51.7,96.1,0,0,,0,0,2,2,348.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.52,118.77",2022-11-28T03:00:00,51.3,51.3,50.3,96.08,0,0,,0,0,4.5,4.3,13.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.52,118.77",2022-11-28T04:00:00,49.9,48,48.6,95.41,0,0,,0,0,6.7,5.1,336.4,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.52,118.77",2022-11-28T05:00:00,49.5,46.7,47.6,92.86,0.004,100,rain,0,0,11.6,6.9,341.5,1011,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"36.52,118.77",2022-11-28T06:00:00,49,47.5,47.4,94.11,0,0,,0,0,6.5,4.3,13.1,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.52,118.77",2022-11-28T07:00:00,49,48.4,47.6,94.75,0.008,100,rain,0,0,4.9,3.1,341.7,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.52,118.77",2022-11-28T08:00:00,48.6,44.6,47.4,95.39,0.008,100,rain,0,0,16.1,9.4,329.1,1012,100,1.7,5,0,0,10,"Rain, Overcast",rain,remote
"36.52,118.77",2022-11-28T09:00:00,47.7,42.6,46.5,95.37,0.063,90.5,rain,0,0,22.4,12.1,310.6,1013,100,6.1,6,0,0,10,"Rain, Overcast",rain,
"36.52,118.77",2022-11-28T10:00:00,47.6,43.1,46.1,94.72,0.039,90.5,rain,0,0,18.6,9.8,327.4,1013,87,15,7,0,0,10,"Rain, Partially cloudy",rain,
"36.52,118.77",2022-11-28T11:00:00,48.3,43.1,46.3,92.82,0,90.5,rain,0,0,20.4,12.5,320.2,1014,100,12.1,130,0.5,1,10,"Rain, Overcast",rain,
"36.52,118.77",2022-11-28T12:00:00,47.2,42,45.8,94.71,0.004,90.5,rain,0,0,21.3,11.9,310.2,1014,100,12.1,28,0.1,0,10,"Rain, Overcast",rain,
"36.52,118.77",2022-11-28T13:00:00,47,41.7,45.8,95.35,0.004,90.5,rain,0,0,22.8,11.9,321,1014,100,15,12,0,0,10,"Rain, Overcast",rain,
"36.52,118.77",2022-11-28T14:00:00,47,41.6,45.8,95.35,0,90.5,rain,0,0,23,12.3,324.8,1014,100,8.1,13,0,0,10,"Rain, Overcast",rain,
"36.52,118.77",2022-11-28T15:00:00,48.1,43.1,46.3,93.45,0,0,,0,0,19.5,11.9,341.1,1015,100,15,20,0.1,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T16:00:00,46.8,40.5,44.1,90.27,0,0,,0,0,24.2,15.4,359.5,1016,100,15,9,0,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T17:00:00,47,40.8,43.6,87.83,0,0,,0,0,23.9,15,354.5,1017,100,15,2,0,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T18:00:00,46.5,40.7,42.9,87.2,0.004,0,rain,0,0,23,13,358.1,1018,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T19:00:00,45.9,39.8,42.3,87.17,0,0,,0,0,24.2,13.6,356.4,1019,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T20:00:00,45.6,39.9,41.4,85.36,0,0,,0,0,23.5,11.9,352.8,1019,96.9,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T21:00:00,45.2,40.3,41.1,85.33,0,0,,0,0,25.3,9.6,345.6,1019,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T22:00:00,44.3,39.1,41.1,88.31,0,0,,0,0,25.9,9.8,335,1020,99.8,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-28T23:00:00,44.1,38.8,40.7,87.68,0,0,,0,0,25.3,10.1,329.4,1021,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T00:00:00,43.6,36.7,40.5,88.89,0,0,,0,0,25.9,14.3,330.7,1021,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T01:00:00,42.2,33.1,23.3,46.8,0,0,,0,0,33.8,21,341.2,1022,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T02:00:00,40.4,31,25.8,55.73,0,0,,0,0,31.3,19.7,349.6,1024,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T03:00:00,38.2,28.6,21.8,51.37,0,0,,0,0,30.2,18.1,348.3,1024,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T04:00:00,36.6,26.4,18.8,48.06,0,0,,0,0,28.6,18.6,352.3,1025,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T05:00:00,34.2,22.7,15.9,46.58,0,0,,0,0,31.1,20.8,355.5,1027,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T06:00:00,32.6,21,15.3,48.54,0,0,,0,0,29.8,19.2,359.9,1028,99.4,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T07:00:00,31,19,14.4,49.83,0,0,,0,0,30,19,358.4,1029,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T08:00:00,30.5,18.1,14.1,50.13,0,0,,0,0,30,19.7,359.7,1030,100,15,44,0.2,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T09:00:00,30.8,18.5,13.4,47.87,0,0,,0,0,29.5,19.9,359.5,1031,100,15,101,0.4,1,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T10:00:00,31.7,19,10.8,41.29,0,0,,0,0,29.3,22.1,358.6,1032,80.2,15,306,1.1,3,10,Partially cloudy,partly-cloudy-day,
"36.52,118.77",2022-11-29T11:00:00,32.8,20.2,8.9,36.19,0,0,,0,0,29.3,23,355.3,1032,95.3,15,447,1.6,4,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T12:00:00,33.5,21.5,8.1,34.04,0,0,,0,0,27.3,21.9,354,1032,98.4,15,484,1.7,5,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T13:00:00,33.5,21.6,7.6,33.22,0,0,,0,0,26.6,21.5,352.7,1032,100,13.7,466,1.7,5,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T14:00:00,32.3,20,8.5,36.39,0.004,0,"rain,snow",0,0,25.9,21.3,352.1,1032,100,10.8,316,1.1,3,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T15:00:00,31.5,19.6,9.4,39,0,0,,0,0,26.2,19.5,350,1033,100,15,172,0.6,2,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T16:00:00,30.8,19,7.4,36.73,0,0,,0,0,25.5,18.3,343.7,1034,100,15,135,0.5,1,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T17:00:00,28.1,15.4,5.1,36.86,0,0,,0,0,27.5,18.6,349.1,1035,56.2,15,24,0.1,0,10,Partially cloudy,partly-cloudy-night,
"36.52,118.77",2022-11-29T18:00:00,27,13.6,0.9,31.83,0,0,,0,0,27.5,19.7,339.2,1037,88.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.52,118.77",2022-11-29T19:00:00,24.9,11,-3.9,27.67,0,0,,0,0,28.6,19,337.1,1038,59.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.52,118.77",2022-11-29T20:00:00,23.6,9.8,-4.8,27.93,0,0,,0,0,27.7,17.7,335.5,1039,41.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.52,118.77",2022-11-29T21:00:00,23.1,9.4,-5.5,27.6,0,0,,0,0,27.1,17,330.2,1040,91.8,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-29T22:00:00,23.1,9.7,-6.1,26.89,0,0,,0,0,28,16.1,328.2,1041,67,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.52,118.77",2022-11-29T23:00:00,22.4,8.6,-5.5,28.45,0,0,,0,0,27.1,16.6,330.6,1041,0.5,15,0,,0,10,Clear,clear-night,
"36.52,118.77",2022-11-30T00:00:00,21.1,6.7,-5.9,29.48,0,0,,0,0,27.7,17.2,330.8,1041,0,15,0,,0,10,Clear,clear-night,
"36.52,118.77",2022-11-30T01:00:00,20.2,5.8,-6.4,29.84,0,0,,0,0,26.2,16.6,329.6,1042,0,15,0,,0,10,Clear,clear-night,
"36.52,118.77",2022-11-30T02:00:00,19.3,4.8,-7.9,28.91,0,0,,0,0,25.7,16.1,330.3,1042,0.5,15,0,,0,10,Clear,clear-night,
"36.52,118.77",2022-11-30T03:00:00,18.4,4.1,-8.8,28.76,0,0,,0,0,25.7,15.2,332.7,1041,0.3,15,0,,0,10,Clear,clear-night,
"36.52,118.77",2022-11-30T04:00:00,18,3.1,-8.2,29.99,0,0,,0,0,28.4,16.3,332.6,1041,99.7,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T05:00:00,17.7,2.8,-7,32.38,0,0,,0,0,29.1,16.1,334.1,1041,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T06:00:00,17.7,3.9,-5.7,34.42,0,0,,0,0,26.6,13.6,336.2,1042,98.9,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T07:00:00,17.7,4.9,-5.5,34.72,0,0,,0,0,26.2,11.9,335.2,1042,97.6,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T08:00:00,18.4,5.2,-7.7,30.32,0,0,,0,0,23.9,13,330.2,1043,88,15,44,0.2,0,10,Partially cloudy,partly-cloudy-day,
"36.52,118.77",2022-11-30T09:00:00,20,6.8,-9,26.6,0,0,,0,0,21.3,13.9,339,1043,100,15,195,0.7,2,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T10:00:00,22.4,10.2,-5.5,28.45,0,0,,0,0,20.4,13,341.7,1043,100,15,283,1,3,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T11:00:00,24.7,12.4,-6.3,24.91,0,0,,0,0,21.7,14.8,339.5,1043,100,15,410,1.5,4,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T12:00:00,26.5,14.8,-6.1,23.32,0,0,,0,0,19.5,14.3,337.4,1042,100,15,499,1.8,5,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T13:00:00,26.9,15,-8.8,20.14,0,0,,0,0,18.6,15,330.7,1041,100,15,477,1.7,5,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T14:00:00,26.7,15,-14.2,15.52,0,0,,0,0,18.1,14.5,331.5,1040,99.8,15,424,1.5,4,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T15:00:00,26.3,15,-15.8,14.51,0,0,,0,0,16.8,13.4,332.1,1040,99.7,15,288,1,3,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T16:00:00,25.2,14.7,-14.5,16.18,0,0,,0,0,15,11.2,322.3,1040,100,15,146,0.5,1,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T17:00:00,23.8,14.4,-12.2,19.32,0,0,,0,0,15.2,8.7,323,1040,99.1,15,24,0.1,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T18:00:00,22.5,14.2,-10.6,22.07,0,0,,0,0,15,6.9,325.8,1040,99.9,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T19:00:00,22,15.2,-10.2,22.99,0,0,,0,0,13.2,5.1,314.8,1041,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T20:00:00,22.4,16.1,-10.8,22.04,0,0,,0,0,12.1,4.7,287.9,1041,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T21:00:00,22.5,16.3,-11.3,21.3,0,0,,0,0,12.1,4.7,304.2,1040,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T22:00:00,22.9,16.7,-12.2,20.06,0,0,,0,0,10.7,4.7,282.6,1040,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-11-30T23:00:00,22.9,17.3,-12.6,19.7,0,0,,0,0,8.7,4.3,277.2,1040,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-12-01T00:00:00,22.5,16.8,-12.4,20.19,0,0,,0,0,6.7,4.3,269.5,1039,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-12-01T01:00:00,22.2,16.7,-12.7,20.13,0,0,,0,0,6,4,275.2,1039,100,15,0,,0,10,Overcast,cloudy,
"36.52,118.77",2022-12-01T02:00:00,22.4,17.2,-12.6,20.16,0,0,,0,0,5.6,3.8,262.4,1039,5,15,0,,0,10,Clear,clear-night,
"36.52,118.77",2022-12-01T03:00:00,21.8,17.6,-12.6,20.62,0,0,,0,0,3.6,3.1,265.2,1038,13.3,15,0,,0,10,Clear,clear-night,
