name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.816166,121.031856",2022-07-01T00:00:00,72.1,72.1,70.4,94.65,0,0,,0,0,21.5,13.9,139.2,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.816166,121.031856",2022-07-01T01:00:00,72.4,72.4,70.8,94.66,0,0,,0,0,22.4,10.1,148.5,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.816166,121.031856",2022-07-01T02:00:00,72.6,72.6,72.2,98.79,0,0,,0,0,22.4,2.2,140,1008.5,86.4,7.5,0,,0,10,Partially cloudy,partly-cloudy-night,54863099999
"36.816166,121.031856",2022-07-01T03:00:00,72.2,72.2,71,95.82,0,0,,0,0,16.3,7.2,172.4,1008,73.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.816166,121.031856",2022-07-01T04:00:00,72.1,72.1,71,96.41,0,0,,0,0,15.2,8.1,173.1,1008,56.1,13.7,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.816166,121.031856",2022-07-01T05:00:00,74.9,74.9,74.6,98.8,0.004,100,rain,0,0,22.4,4.5,170,1008.8,25.7,6.2,1,0,0,10,"Rain, Partially cloudy",rain,54863099999
"36.816166,121.031856",2022-07-01T06:00:00,73.1,73.1,71.3,94.1,0,0,,0,0,10.5,5.4,157.1,1009,72.2,15,70,0.3,1,10,Partially cloudy,partly-cloudy-day,remote
"36.816166,121.031856",2022-07-01T07:00:00,74,74,72.1,93.55,0,0,,0,0,10.5,8.3,160.1,1009,94.4,10.9,177,0.6,2,10,Overcast,cloudy,remote
"36.816166,121.031856",2022-07-01T08:00:00,76.2,76.2,75.8,98.81,0,0,,0,0,22.4,4.5,170,1009.8,99.7,8.1,210,0.8,2,10,Overcast,cloudy,54863099999
"36.816166,121.031856",2022-07-01T09:00:00,76.7,76.7,72.9,88.13,0,0,,0,0,11.6,9.2,175.7,1009,69.4,15,290,1,3,30,Partially cloudy,partly-cloudy-day,remote
"36.816166,121.031856",2022-07-01T10:00:00,80.1,84.4,73.1,79.22,0,0,,0,0,10.7,8.7,165.4,1009,61,15,605,2.2,6,30,Partially cloudy,partly-cloudy-day,remote
"36.816166,121.031856",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,6.7,170,1010.4,47.9,3.1,860,3.1,9,30,Partially cloudy,partly-cloudy-day,54863099999
"36.816166,121.031856",2022-07-01T12:00:00,83,89.2,73.3,72.58,0,0,,0,0,17,13.9,168,1009,5,15,913,3.3,9,30,Clear,clear-day,remote
"36.816166,121.031856",2022-07-01T13:00:00,81.9,87.6,73.5,75.62,0,0,,0,0,20.1,16.3,166.3,1009,0.8,8.1,921,3.3,9,30,Clear,clear-day,remote
"36.816166,121.031856",2022-07-01T14:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,8.9,180,1009.6,11,3.1,863,3.1,9,30,Clear,clear-day,54863099999
"36.816166,121.031856",2022-07-01T15:00:00,80.3,85.2,74.2,81.67,0,0,,0,0,23,17.2,169.6,1008,3.1,8.9,752,2.7,8,30,Clear,clear-day,remote
"36.816166,121.031856",2022-07-01T16:00:00,79.8,79.8,74.2,83.12,0,0,,0,0,24.2,17,172.1,1008,0,9,603,2.2,6,30,Clear,clear-day,remote
"36.816166,121.031856",2022-07-01T17:00:00,76.4,76.4,75.8,98.22,0,0,,0,0,17.9,11.2,180,1009.3,25.3,3.7,423,1.5,4,30,Partially cloudy,partly-cloudy-day,54863099999
"36.816166,121.031856",2022-07-01T18:00:00,76.9,76.9,73.8,90.3,0,0,,0,0,23.3,13.9,167.9,1008,23.3,15,232,0.8,2,30,Partially cloudy,partly-cloudy-day,remote
"36.816166,121.031856",2022-07-01T19:00:00,74.7,74.7,73.7,96.45,0,0,,0,0,23.7,12.3,162.6,1009,75.8,15,69,0.2,1,30,Partially cloudy,partly-cloudy-day,remote
"36.816166,121.031856",2022-07-01T20:00:00,75.8,75.8,75.5,98.81,0,0,,0,0,17.9,4.5,190,1010.5,99.8,3.7,1,0,0,30,Overcast,cloudy,54863099999
"36.816166,121.031856",2022-07-01T21:00:00,74.4,74.4,72.8,94.7,0,0,,0,0,25.3,13,170.6,1010,100,15,0,,0,30,Overcast,cloudy,remote
"36.816166,121.031856",2022-07-01T22:00:00,73.8,73.8,72.4,95.27,0,0,,0,0,25.3,11.4,171.8,1010,99.2,13.4,0,,0,30,Overcast,cloudy,remote
"36.816166,121.031856",2022-07-01T23:00:00,75.5,75.5,74.9,98.21,0,0,,0,0,17.9,6.7,160,1010.4,78.5,7.5,0,,0,30,Partially cloudy,partly-cloudy-night,54863099999
"36.816166,121.031856",2022-07-02T00:00:00,73.7,73.7,72.6,96.43,0,0,,0,0,27.3,10.5,166.6,1010,61.8,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"36.816166,121.031856",2022-07-02T01:00:00,73.5,73.5,72.4,96.43,0,0,,0,0,26.6,11.2,165.8,1010,88.8,9.4,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"36.816166,121.031856",2022-07-02T02:00:00,74.9,74.9,74.6,98.8,0.028,100,rain,0,0,17.9,6.7,200,1009.8,100,5,0,,0,8,"Rain, Overcast",rain,54863099999
"36.816166,121.031856",2022-07-02T03:00:00,73.3,73.3,72.2,96.42,0,0,,0,0,18.1,8.3,176,1009,99.9,7.2,0,,0,8,Overcast,cloudy,remote
