name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.816166,121.031856",2022-11-28T00:00:00,57.5,57.5,55.8,94.32,0.016,100,rain,0,0,26.2,13.6,144.7,1013,99.6,10.1,0,,0,10,"Rain, Overcast",rain,remote
"36.816166,121.031856",2022-11-28T01:00:00,57.6,57.6,56.6,96.18,0.008,100,rain,0,0,23.9,12.8,135.1,1012,100,12.7,0,,0,10,"Rain, Overcast",rain,remote
"36.816166,121.031856",2022-11-28T02:00:00,58.6,58.6,57.5,96.2,0,0,rain,0,0,19.2,9.8,145.7,1012,100,12.2,0,,0,10,Overcast,cloudy,remote
"36.816166,121.031856",2022-11-28T03:00:00,58.7,58.7,57.8,96.82,0.004,100,rain,0,0,20.8,9.4,164.6,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.816166,121.031856",2022-11-28T04:00:00,59.1,59.1,58.2,96.83,0,0,,0,0,22.6,10.1,174.3,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.816166,121.031856",2022-11-28T05:00:00,59.1,59.1,58,96.21,0,0,rain,0,0,23.3,11.2,169.9,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.816166,121.031856",2022-11-28T06:00:00,58.7,58.7,57.5,95.58,0.004,100,rain,0,0,19.7,8.1,191.7,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.816166,121.031856",2022-11-28T07:00:00,57.8,57.8,57.1,97.44,0,0,rain,0,0,9.6,4.7,225.1,1011,100,11.9,0,,0,10,Overcast,cloudy,remote
"36.816166,121.031856",2022-11-28T08:00:00,57.8,57.8,57.1,97.44,0.004,100,rain,0,0,2.9,2.2,248.9,1011,100,15,5,0,0,10,"Rain, Overcast",rain,remote
"36.816166,121.031856",2022-11-28T09:00:00,59.1,59.1,56.9,92.54,0.004,81,rain,0,0,3.6,2,283,1011,100,14,73,0.3,1,10,"Rain, Overcast",rain,
"36.816166,121.031856",2022-11-28T10:00:00,60.2,60.2,56.7,88.47,0,81,rain,0,0,7.8,5.1,267.5,1011,100,13.5,94,0.3,1,10,"Rain, Overcast",rain,
"36.816166,121.031856",2022-11-28T11:00:00,58.7,58.7,56.7,93.13,0.039,81,rain,0,0,11.4,6,273.9,1011,100,6.6,21,0.1,0,10,"Rain, Overcast",rain,
