name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.326655,120.667771",2022-07-01T00:00:00,74.7,74.7,71.3,89.12,0,0,,0,0,8.1,3.6,213.7,1006,98.2,15,0,,0,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-01T01:00:00,73.3,73.3,70.6,91.27,0,0,,0,0,19.2,9.8,206.4,1007,92.5,13.5,0,,0,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-01T02:00:00,72.4,72.4,71.5,97.07,0.049,100,rain,0,0,22.4,2.8,107,1007.7,79.1,14.8,0,,0,10,"Rain, Partially cloudy",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-01T03:00:00,70.2,70.2,69.2,96.38,0,0,,0,0,13.2,4.9,189.3,1008,46,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.326655,120.667771",2022-07-01T04:00:00,70.1,70.1,69,96.38,0,0,,0,0,11.6,5.1,169.8,1008,44.5,13.6,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.326655,120.667771",2022-07-01T05:00:00,72.6,72.6,72,98.08,0.001,100,rain,0,0,22.4,2.5,142,1007.9,38,7.5,2,0,0,10,"Rain, Partially cloudy",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-01T06:00:00,71.7,71.7,69.5,92.92,0,0,,0,0,8.7,4.5,172.8,1009,17.8,15,69,0.2,1,10,Clear,clear-day,remote
"37.326655,120.667771",2022-07-01T07:00:00,74.4,74.4,69.3,84.32,0,0,,0,0,7.4,4.7,169.1,1009,78.9,15,239,0.9,2,10,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-01T08:00:00,78.6,78.6,76.1,92.15,0.001,100,rain,0,0,18.6,5.7,163,1008.6,27.2,8.8,415,1.5,4,10,"Rain, Partially cloudy",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-01T09:00:00,80.1,83.8,71.3,74.55,0,0,,0,0,9.8,7.2,176.9,1009,93.7,15,598,2.2,6,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-01T10:00:00,82.7,87.4,71.3,68.68,0,0,,0,0,9.8,7.4,188.7,1009,100,15,723,2.6,7,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-01T11:00:00,80.2,85.9,76.2,87.66,0,0,,0,0,16.6,5.5,243,1009.4,100,6.6,812,2.9,8,30,Overcast,cloudy,"54751099999,54863099999"
"37.326655,120.667771",2022-07-01T12:00:00,85.6,90.6,70.6,61.09,0,0,,0,0,11,8.1,179.7,1008,11.6,15,862,3.1,9,30,Clear,clear-day,remote
"37.326655,120.667771",2022-07-01T13:00:00,86.6,91.8,70.4,58.66,0,0,rain,0,0,12.5,9.2,185.1,1008,28.7,15,919,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-01T14:00:00,75.5,75.5,74.5,96.68,0.01,100,rain,0,0,18.6,8.9,146,1009.1,27.8,11.8,860,3.1,9,30,"Rain, Partially cloudy",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-01T15:00:00,85,91,72.1,65.27,0,0,rain,0,0,14.3,11.9,174.4,1008,31.6,7.4,745,2.7,7,30,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-01T16:00:00,84.1,89.8,72.1,67.18,0,0,rain,0,0,15.2,12.3,180.9,1008,15,8.5,594,2.1,6,30,Clear,clear-day,remote
"37.326655,120.667771",2022-07-01T17:00:00,75,75,73.6,95.4,0.196,100,rain,0,0,18.6,7.6,150,1008.5,5,15.8,425,1.5,4,60,Rain,rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-01T18:00:00,80.3,84.7,72.9,78.28,0,0,,0,0,17,10.5,173.7,1008,5,11.1,242,0.9,2,60,Clear,clear-day,remote
"37.326655,120.667771",2022-07-01T19:00:00,76.9,76.9,72.4,86.03,0,0,,0,0,18.1,9.6,167.2,1008,70.2,15,75,0.3,1,30,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-01T20:00:00,75.1,75.1,74.6,98.37,0,0,rain,0,0,18.6,3.2,188,1008.3,2.4,10.6,2,0,0,30,Clear,clear-night,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-01T21:00:00,73.1,73.1,72.1,96.42,0,0,,0,0,18.1,8.7,148.1,1010,77.3,9.5,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.326655,120.667771",2022-07-01T22:00:00,73.3,73.3,72.1,95.84,0,0,,0,0,19,10.3,152.7,1010,97.1,12.1,0,,0,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-01T23:00:00,76.8,76.8,76.7,99.54,0.026,100,rain,0,0,19.6,6.7,182,1009.7,99.5,6.5,0,,0,30,"Rain, Overcast",rain,"54753099999,54863099999"
"37.326655,120.667771",2022-07-02T00:00:00,73.1,73.1,71.9,95.84,0,0,,0,0,19,9.8,157.5,1010,99.6,8.7,0,,0,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T01:00:00,72.9,72.9,71.3,94.67,0,0,,0,0,19,10.7,164.7,1010,100,15,0,,0,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T02:00:00,76.6,76.6,76.3,99.1,0.005,100,rain,0,0,18.6,5.5,190,1009,100,6.3,0,,0,30,"Rain, Overcast",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T03:00:00,73.1,73.1,71.5,94.68,0,0,,0,0,11.6,5.4,161.7,1009,100,15,0,,0,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T04:00:00,73.1,73.1,71.7,95.25,0,0,,0,0,10.7,5.1,155.7,1009,100,9.2,0,,0,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T05:00:00,75.1,75.1,73.8,95.78,0.055,100,rain,0,0,16.9,4.7,194,1009.7,100,10.4,1,0,0,30,"Rain, Overcast",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T06:00:00,73.5,73.5,72.1,95.26,0,0,,0,0,6,4,151,1009,99.5,9.2,18,0.1,0,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T07:00:00,74.2,74.2,72.2,93.55,0,0,,0,0,7.2,4.9,159.1,1009,98,9.6,77,0.3,1,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T08:00:00,78.3,78.3,71.9,80.65,0,0,,0,0,16.9,8.6,183,1010.1,99.6,18.6,204,0.7,2,30,Overcast,cloudy,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T09:00:00,75.6,75.6,71.9,88.08,0,0,,0,0,13.2,10.3,155.1,1010,100,15,284,1,3,30,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T10:00:00,78,78,72.8,84.02,0,0,,0,0,14.8,11.9,168.3,1009,94.5,15,342,1.2,3,60,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T11:00:00,82.9,89.1,73.5,73.22,0.001,100,rain,0,0,17.5,6.6,188,1010.2,60.8,18.4,607,2.2,6,60,"Rain, Partially cloudy",rain,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T12:00:00,84.3,91.3,73.7,70.54,0,0,rain,0,0,12.5,10.5,182.8,1009,71.1,15,797,2.9,8,75,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-02T13:00:00,84.8,91.5,72.9,67.67,0,0,rain,0,0,14.5,12.5,189.5,1009,59.7,12.5,714,2.6,7,60,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-02T14:00:00,85.5,94.1,74.8,70.52,0,0,rain,0,0,18.8,8.3,145,1008.8,65.5,17.8,758,2.7,8,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T15:00:00,84.3,90.6,72.8,68.44,0,0,rain,0,0,15.7,13.4,186.1,1008,52.9,15,621,2.2,6,60,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-02T16:00:00,84.1,90.6,73.1,69.68,0,0,rain,0,0,16.1,13.4,187.7,1008,57.7,15,513,1.8,5,60,Partially cloudy,partly-cloudy-day,remote
"37.326655,120.667771",2022-07-02T17:00:00,84.2,93.1,75.8,75.9,0,0,,0,0,18.3,7.8,145,1007.8,35.5,17.9,345,1.2,3,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T18:00:00,79.6,79.6,72.9,80.15,0,0,,0,0,15.9,11.2,163.7,1008,10.2,15,223,0.8,2,30,Clear,clear-day,remote
"37.326655,120.667771",2022-07-02T19:00:00,75.8,75.8,72.2,88.63,0,0,,0,0,19.2,11.9,160.3,1008,13.6,15,74,0.3,1,30,Clear,clear-day,remote
"37.326655,120.667771",2022-07-02T20:00:00,79.2,79.2,75.5,88.29,0,0,,0,0,18.3,6.1,164,1008.3,87,15.5,2,0,0,10,Partially cloudy,partly-cloudy-night,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-02T21:00:00,72.9,72.9,71.3,94.67,0,0,,0,0,21.3,10.7,159.2,1009,88.2,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"37.326655,120.667771",2022-07-02T22:00:00,72.4,72.4,71.3,96.41,0,0,,0,0,21.9,9.8,162.4,1010,100,15,0,,0,3,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-02T23:00:00,76.4,76.4,73.8,91.54,0,0,,0,0,21.8,7.8,175,1009.2,83.8,15.3,0,,0,3,Partially cloudy,partly-cloudy-night,"54753099999,54863099999"
"37.326655,120.667771",2022-07-03T00:00:00,72.2,72.2,70.8,95.24,0,0,,0,0,22.6,11.2,167.8,1010,100,15,0,,0,3,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T01:00:00,72.2,72.2,70.4,94.08,0,0,,0,0,20.4,10.3,172,1010,100,15,0,,0,3,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T02:00:00,76,76,73.3,91.23,0,0,,0,0,20.4,7.7,182,1008.8,98.4,15.8,0,,0,3,Overcast,cloudy,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-03T03:00:00,72.2,72.2,70.6,94.66,0,0,,0,0,16.6,8.3,159.5,1009,100,15,0,,0,3,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T04:00:00,71.9,71.9,70.8,96.4,0,0,,0,0,16.8,7.8,158.2,1008,97.4,10.9,0,,0,3,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T05:00:00,75.3,75.3,72.7,91.68,0,0,,0,0,20.4,6.3,172,1008.2,89.7,13.5,1,0,0,3,Partially cloudy,partly-cloudy-day,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-03T06:00:00,72.4,72.4,71,95.24,0,0,,0,0,16.6,8.1,163.3,1008,94.2,12,46,0.2,0,3,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T07:00:00,74.2,74.2,71.3,90.75,0,0,,0,0,16.8,10.7,170.9,1008,97.7,15,140,0.5,1,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T08:00:00,79.1,79.1,73.3,82.64,0,0,,0,0,19.1,9.3,161,1007.7,95.3,16.4,244,0.9,2,10,Overcast,cloudy,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-03T09:00:00,79.6,79.6,70.6,74.05,0,0,,0,0,15.9,12.8,181.1,1008,100,15,506,1.8,5,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T10:00:00,81.6,85.4,70.2,68.57,0,0,,0,0,15,13,177,1008,97.8,15,687,2.5,7,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T11:00:00,80.6,85.5,73.9,80.19,0,0,,0,0,20.8,8.4,179,1007.9,100,16.6,818,2.9,8,10,Overcast,cloudy,"54751099999,54753099999,54863099999"
"37.326655,120.667771",2022-07-03T12:00:00,82.7,86.6,69.9,65.4,0,0,,0,0,14.8,13,174.6,1008,100,15,571,2.1,6,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T13:00:00,83.2,87.3,69.9,64.27,0,0,,0,0,16.3,14.3,164.9,1007,100,15,643,2.3,6,10,Overcast,cloudy,remote
"37.326655,120.667771",2022-07-03T14:00:00,82.8,89.7,74.4,75.81,0,0,,0,0,20.8,9.2,182,1007.2,100,17.6,333,1.2,3,10,Overcast,cloudy,"54751099999,54753099999,54863099999"
