name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.694934,120.86013",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,23.7,4.5,130,1007,50,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,0,16.3,4.5,140,1007,0,3.7,0,,0,3,Clear,clear-night,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T02:00:00,73.2,73.2,72.6,98.11,0,0,,0,0,21.6,3.3,138,1008.2,27.9,6.1,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54863099999"
"36.694934,120.86013",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,,0,0,4.3,6.7,150,1007,50,3.1,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,0,5.8,11.2,160,1007,89,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T05:00:00,74.8,74.8,74.4,98.89,0.003,100,rain,0,0,21.6,5.7,167,1008.5,88,6,1,0,0,10,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54863099999"
"36.694934,120.86013",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,5.4,11.2,160,1008,89,6.2,69,0.2,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,0,7.6,11.2,170,1008,89,6.2,235,0.8,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T08:00:00,76.5,76.5,75.7,97.48,0,0,,0,0,21.6,4.8,170,1009.5,88,7.5,384,1.4,4,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.694934,120.86013",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,0,6.3,8.9,180,1008,89,6.2,552,2,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.694934,120.86013",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,6.7,8.9,150,1008,89,6.2,731,2.6,7,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
