name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.694934,120.86013",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0.012,100,rain,0,0,25.3,6.7,160,1011,100,6.2,0,,0,10,"Rain, Overcast",rain,ZSQD
"36.694934,120.86013",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0.008,100,rain,0,0,21.7,11.2,150,1010,50,4.3,0,,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.694934,120.86013",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,14.5,11.2,150,1010,100,4.3,0,,0,10,Overcast,cloudy,ZSQD
"36.694934,120.86013",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,0,15.7,4.5,200,1011,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.694934,120.86013",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,0,16.8,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.694934,120.86013",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,0,12.1,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.694934,120.86013",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,0,4.7,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.694934,120.86013",2022-11-28T07:00:00,57.1,57.1,57.1,100,0,0,,0,0,5.6,2.2,160,1010,88,1.9,0,,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.694934,120.86013",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,0,0,5.1,6.7,330,1011,88,1.2,9,0,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.694934,120.86013",2022-11-28T09:00:00,58.9,58.9,56.7,92.53,0.004,100,rain,0,0,10.5,3.8,221.1,1011,100,15,70,0.3,1,10,"Rain, Overcast",rain,
"36.694934,120.86013",2022-11-28T10:00:00,60.3,60.3,56.7,87.9,0,100,rain,0,0,11.4,7.2,253,1011,100,15,139,0.5,1,10,"Rain, Overcast",rain,
"36.694934,120.86013",2022-11-28T11:00:00,58.4,58.4,56.6,93.73,0.039,100,rain,0,0,10.7,5.8,271.8,1011,100,4.7,37,0.1,0,10,"Rain, Overcast",rain,
"36.694934,120.86013",2022-11-28T12:00:00,57.1,57.1,56.2,96.8,0.134,100,rain,0,0,12.1,7.4,291.8,1011,100,6.1,17,0.1,0,10,"Rain, Overcast",rain,
"36.694934,120.86013",2022-11-28T13:00:00,56.4,56.4,54.1,91.85,0.051,100,rain,0,0,16.1,10.7,316.4,1011,100,8.1,32,0.1,0,10,"Rain, Overcast",rain,
