name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.193169,120.388654",2022-07-01T00:00:00,73.8,73.8,71.7,92.98,0,0,,0,0,3.4,2.5,212.1,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.193169,120.388654",2022-07-01T01:00:00,73.1,73.1,71.1,93.53,0,0,,0,0,14.8,7.2,186.6,1007,95.6,13.7,0,,0,10,Overcast,cloudy,remote
"37.193169,120.388654",2022-07-01T02:00:00,73.1,73.1,71.7,95.25,0.035,100,rain,0,0,22.4,2.2,130,1007.6,92.7,18.6,0,,0,10,"Rain, Overcast",rain,54753099999
"37.193169,120.388654",2022-07-01T03:00:00,71,71,69.5,95.21,0,0,,0,0,8.3,4.7,173.6,1007,51.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.193169,120.388654",2022-07-01T04:00:00,70.4,70.4,69.2,95.79,0,0,,0,0,6.5,4.7,159.5,1008,71.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.193169,120.388654",2022-07-01T05:00:00,72.8,72.8,71.9,97.01,0,0,,0,0,22.4,0,143.9,1007.8,17.2,9.9,1,0,0,10,Clear,clear-day,54753099999
"37.193169,120.388654",2022-07-01T06:00:00,71.9,71.9,69.2,91.22,0,0,,0,0,8.5,5.6,159.9,1009,5.2,15,70,0.3,1,10,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T07:00:00,74.7,74.7,68.8,81.78,0,0,,0,0,7.2,4.9,166.5,1009,63,15,237,0.9,2,10,Partially cloudy,partly-cloudy-day,remote
"37.193169,120.388654",2022-07-01T08:00:00,79.4,79.4,76.7,91.48,0,0,,0,0,15.7,6.7,180,1008.4,83.9,8.1,416,1.5,4,10,Partially cloudy,partly-cloudy-day,54753099999
"37.193169,120.388654",2022-07-01T09:00:00,80.1,83.6,70.6,72.75,0,0,,0,0,9.8,7.6,176.8,1009,100,15,578,2.1,6,30,Overcast,cloudy,remote
"37.193169,120.388654",2022-07-01T10:00:00,82.8,87.3,70.8,67.04,0,0,,0,0,9.8,7.6,190.1,1009,100,15,716,2.6,7,30,Overcast,cloudy,remote
"37.193169,120.388654",2022-07-01T11:00:00,85,90,70.6,62.16,0,0,rain,0,0,9.2,7.4,194.2,1008,83.3,4.7,801,2.9,8,30,Partially cloudy,partly-cloudy-day,remote
"37.193169,120.388654",2022-07-01T12:00:00,86.3,91.5,70.6,59.7,0,0,,0,0,11.4,8.5,181.9,1008,3.6,9.4,902,3.2,9,30,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T13:00:00,87,92.4,70.6,58.35,0,0,rain,0,0,13.9,11,182.7,1008,19,5.2,921,3.3,9,30,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T14:00:00,74.6,74.6,73.1,95.28,0.012,100,rain,0,0,20.1,8.9,120,1009.3,18,18.6,865,3.1,9,30,Rain,rain,54753099999
"37.193169,120.388654",2022-07-01T15:00:00,86.6,92.4,71.1,60.12,0,0,rain,0,0,16.6,12.5,188,1007,17.3,7.2,756,2.7,8,30,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T16:00:00,85.4,91.1,71.5,63.35,0,0,,0,0,16.3,13,184.6,1007,6.8,8.9,606,2.2,6,30,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T17:00:00,74.9,74.9,72.8,93.01,0.303,100,rain,0,0,20.1,6.7,140,1008.3,5,18.6,431,1.6,4,60,Rain,rain,54753099999
"37.193169,120.388654",2022-07-01T18:00:00,81.1,85.6,72.4,75.09,0,0,,0,0,18.1,10.7,182,1007,5,10.3,245,0.9,2,60,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T19:00:00,78.5,78.5,72.2,81.05,0,0,,0,0,19.9,9.6,181.3,1008,10.7,15,79,0.3,1,30,Clear,clear-day,remote
"37.193169,120.388654",2022-07-01T20:00:00,74.9,74.9,74.6,98.8,0,0,,0,0,20.1,2.2,190,1007.9,3.2,13,3,0,0,30,Clear,clear-night,54753099999
"37.193169,120.388654",2022-07-01T21:00:00,73.8,73.8,71.9,93.55,0,0,rain,0,0,17.9,8.3,146.2,1009,11.9,3.1,0,,0,30,Clear,clear-night,remote
"37.193169,120.388654",2022-07-01T22:00:00,73.5,73.5,72.6,97.01,0,0,,0,0,19.5,10.3,142.5,1009,46.2,13.8,0,,0,30,Partially cloudy,partly-cloudy-night,remote
