name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.193169,120.388654",2022-11-28T00:00:00,55.7,55.7,54.4,95.52,0,0,,0,0,26.8,13,151.8,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.193169,120.388654",2022-11-28T01:00:00,55.7,55.7,54.8,96.78,0,0,,0,0,24.8,13,151.6,1012,100,13.4,0,,0,10,Overcast,cloudy,remote
"37.193169,120.388654",2022-11-28T02:00:00,55.7,55.7,55.1,98.06,0.004,100,rain,0,0,23.7,12.1,148.9,1011,100,0.2,0,,0,10,"Rain, Overcast",rain,remote
"37.193169,120.388654",2022-11-28T03:00:00,56,56,55.5,98.06,0,0,,0,0,19.9,10.1,147.8,1010,100,0.1,0,,0,10,Overcast,fog,remote
"37.193169,120.388654",2022-11-28T04:00:00,56,56,55.7,98.7,0,0,,0,0,15.7,6,172.2,1011,100,0.2,0,,0,10,Overcast,fog,remote
"37.193169,120.388654",2022-11-28T05:00:00,55.7,55.7,55.5,99.35,0,0,,0,0,2.2,2.2,194.5,1010,100,8,0,,0,10,Overcast,cloudy,remote
"37.193169,120.388654",2022-11-28T06:00:00,55.7,55.7,55.3,98.7,0.012,100,rain,0,0,4,3.1,255,1011,100,6.7,0,,0,10,"Rain, Overcast",rain,remote
"37.193169,120.388654",2022-11-28T07:00:00,55.5,55.5,55.1,98.7,0.024,100,rain,0,0,1.3,0.9,224.7,1010,100,8.4,0,,0,10,"Rain, Overcast",rain,remote
"37.193169,120.388654",2022-11-28T08:00:00,55.7,55.7,55.1,98.06,0.024,100,rain,0,0,2.5,2.2,185,1010,100,4.1,5,0,0,10,"Rain, Overcast",rain,remote
"37.193169,120.388654",2022-11-28T09:00:00,55.5,55.5,54.9,98.06,0.039,85.7,rain,0,0,6.5,4.5,268.7,1011,100,11.5,11,0,0,10,"Rain, Overcast",rain,
"37.193169,120.388654",2022-11-28T10:00:00,55.8,55.8,54.9,96.79,0.063,85.7,rain,0,0,12.5,7.6,277.8,1012,100,4,43,0.2,0,10,"Rain, Overcast",rain,
