name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.085273,119.887377",2022-07-01T00:00:00,72.2,72.2,70.1,92.93,0,0,,0,0,8.1,5.1,235.6,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.085273,119.887377",2022-07-01T01:00:00,71.9,71.9,69.2,91.22,0,0,,0,0,2.7,2.5,229.3,1007,100,15,0,,0,3,Overcast,cloudy,remote
"37.085273,119.887377",2022-07-01T02:00:00,72.5,72.5,71.1,95.24,0.018,100,rain,0,0,27.8,2.2,120,1007.4,95.1,11.4,0,,0,10,"Rain, Overcast",rain,"54753099999,54843099999"
"37.085273,119.887377",2022-07-01T03:00:00,71,71,65.9,84.11,0,0,,0,0,3.4,3.4,215.4,1007,99.1,15,0,,0,10,Overcast,cloudy,remote
"37.085273,119.887377",2022-07-01T04:00:00,70.4,70.4,65,83.03,0,0,rain,0,0,2.7,2.9,166.8,1008,5,12.6,0,,0,10,Clear,clear-night,remote
"37.085273,119.887377",2022-07-01T05:00:00,72.1,72.1,71.4,97.87,0,0,,0,0,20.2,1.1,140,1007.6,25.7,6,1,0,0,10,Partially cloudy,partly-cloudy-day,"54753099999,54843099999"
"37.085273,119.887377",2022-07-01T06:00:00,71.5,71.5,65.4,81.05,0,0,,0,0,6.5,3.8,155.2,1009,34.6,15,66,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.085273,119.887377",2022-07-01T07:00:00,74.4,74.4,66.5,76.36,0,0,,0,0,6.5,4.5,145.8,1008,100,15,229,0.8,2,5,Overcast,cloudy,remote
"37.085273,119.887377",2022-07-01T08:00:00,78.7,78.7,74.8,87.78,0,0,,0,0,14.6,6.7,180,1008.4,100,6.3,380,1.4,4,10,Overcast,cloudy,"54753099999,54843099999"
"37.085273,119.887377",2022-07-01T09:00:00,79.2,79.2,69.9,73.11,0,0,,0,0,8.3,6.3,172.5,1009,100,15,552,2,6,10,Overcast,cloudy,remote
