name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.35,120.2",2022-07-01T00:00:00,73.3,73.3,71.5,94.1,0,0,,0,0,4.9,4.3,201.1,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.35,120.2",2022-07-01T01:00:00,72.9,72.9,71.3,94.67,0,0,,0,0,8.5,4.3,205.9,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.35,120.2",2022-07-01T02:00:00,72.8,72.8,71.5,95.88,0.047,100,rain,0,0,22.4,2.5,116,1007.5,100,17.7,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.35,120.2",2022-07-01T03:00:00,72.2,72.2,69.9,92.36,0,0,,0,0,2,2,187,1007,71.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.35,120.2",2022-07-01T04:00:00,71.5,71.5,69.3,92.91,0,0,,0,0,2.7,2.7,143.4,1008,76.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.35,120.2",2022-07-01T05:00:00,72.5,72.5,71.7,97.4,0,0,,0,0,22.4,0.9,120,1007.8,4.2,9,1,0,0,10,Clear,clear-day,"54751099999,54753099999"
"37.35,120.2",2022-07-01T06:00:00,73.1,73.1,69.7,89.05,0,0,,0,0,8.7,4.5,153,1009,5.3,15,69,0.2,1,10,Clear,clear-day,remote
"37.35,120.2",2022-07-01T07:00:00,75.5,75.5,67.9,77.41,0,0,,0,0,8.9,6.3,159.1,1009,98.3,15,235,0.8,2,3,Overcast,cloudy,remote
"37.35,120.2",2022-07-01T08:00:00,79.3,79.3,76.5,91.11,0.001,100,rain,0,0,16.6,6.4,172,1008.4,99.6,8.5,403,1.5,4,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.35,120.2",2022-07-01T09:00:00,80,80,69.7,70.97,0,0,,0,0,10.1,8.5,172.7,1009,100,15,551,2,6,10,Overcast,cloudy,remote
"37.35,120.2",2022-07-01T10:00:00,82.7,86.8,70.2,66.21,0,0,,0,0,9.6,8.1,185.4,1009,100,15,703,2.5,7,30,Overcast,cloudy,remote
"37.35,120.2",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,0,15.7,4.5,300,1008.7,5.5,9.3,769,2.8,8,30,Clear,clear-day,54751099999
"37.35,120.2",2022-07-01T12:00:00,87.2,92.3,70.2,57.31,0,0,,0,0,11.9,9.2,173.1,1008,1.8,15,921,3.3,9,30,Clear,clear-day,remote
"37.35,120.2",2022-07-01T13:00:00,87,92.7,71,59.07,0,0,,0,0,13.4,11.9,172.2,1007,8.8,10.4,923,3.3,9,30,Clear,clear-day,remote
"37.35,120.2",2022-07-01T14:00:00,74.8,74.8,73.5,95.68,0.012,100,rain,0,0,19.5,8.9,128,1009.2,7.8,16.5,867,3.1,9,30,Rain,rain,"54751099999,54753099999"
"37.35,120.2",2022-07-01T15:00:00,86.3,91.8,71,60.44,0,0,,0,0,14.5,11.9,205.3,1007,11,14.2,759,2.7,8,30,Clear,clear-day,remote
"37.35,120.2",2022-07-01T16:00:00,86.1,91.7,71.1,61.16,0,0,rain,0,0,14.3,11.4,200.8,1007,13.5,3,610,2.2,6,30,Clear,clear-day,remote
"37.35,120.2",2022-07-01T17:00:00,74.8,74.8,72.9,93.77,0.276,100,rain,0,0,19.5,6.7,141,1008.3,5,18.6,433,1.6,4,60,Rain,rain,"54751099999,54753099999"
"37.35,120.2",2022-07-01T18:00:00,80.9,85.3,72.2,75.07,0,0,rain,0,0,15.4,9.2,185.2,1007,3,3.6,249,0.9,2,30,Clear,clear-day,remote
"37.35,120.2",2022-07-01T19:00:00,78.3,78.3,71.9,80.55,0,0,,0,0,18.6,9.2,172.4,1007,0.4,15,81,0.3,1,30,Clear,clear-day,remote
"37.35,120.2",2022-07-01T20:00:00,74.9,74.9,74.5,98.56,0,0,,0,0,19.5,2.5,189,1007.8,0.1,12.7,3,0,0,30,Clear,clear-night,"54751099999,54753099999"
"37.35,120.2",2022-07-01T21:00:00,76,76,71.5,85.98,0,0,,0,0,20.6,7.8,157.7,1009,0,14,0,,0,30,Clear,clear-night,remote
"37.35,120.2",2022-07-01T22:00:00,74.7,74.7,72.1,91.32,0,0,,0,0,22.6,9.8,157.6,1009,3.3,15,0,,0,30,Clear,clear-night,remote
"37.35,120.2",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,0,20.1,6.7,190,1009.5,29.9,6.2,0,,0,30,"Rain, Partially cloudy",rain,54753099999
"37.35,120.2",2022-07-02T00:00:00,74,74,72.8,95.85,0,0,,0,0,21.7,10.1,153.2,1009,58.2,13.7,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.35,120.2",2022-07-02T01:00:00,74.2,74.2,72.4,94.13,0.008,100,rain,0,0,21,11.4,162.8,1009,83.8,15,0,,0,30,"Rain, Partially cloudy",rain,remote
"37.35,120.2",2022-07-02T02:00:00,77.3,77.3,77,98.98,0,0,,0,0,19.5,4.8,195,1008.9,70.2,6.4,0,,0,30,Partially cloudy,partly-cloudy-night,"54751099999,54753099999"
"37.35,120.2",2022-07-02T03:00:00,73.8,73.8,72.4,95.27,0,0,,0,0,13.9,8.3,156.9,1008,48.4,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.35,120.2",2022-07-02T04:00:00,73.1,73.1,72.1,96.42,0,0,,0,0,12.5,6.9,165.4,1008,72.6,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.35,120.2",2022-07-02T05:00:00,76.1,76.1,74.6,94.94,0,0,,0,0,15.7,3.1,189,1009.5,77.1,11.7,1,0,0,30,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.35,120.2",2022-07-02T06:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,8.5,6.7,151.1,1009,72.1,15,46,0.2,0,30,Partially cloudy,partly-cloudy-day,remote
"37.35,120.2",2022-07-02T07:00:00,75.8,75.8,72.6,89.71,0,0,,0,0,10.1,8.7,154.5,1009,56.7,15,174,0.6,2,30,Partially cloudy,partly-cloudy-day,remote
"37.35,120.2",2022-07-02T08:00:00,78.4,78.4,72.1,80.96,0,0,,0,0,15.7,9.3,177,1009.9,90.2,18.6,364,1.3,4,60,Overcast,cloudy,"54751099999,54753099999"
"37.35,120.2",2022-07-02T09:00:00,80,80,73.5,80.66,0.035,100,rain,0,0,11.4,10.7,156.1,1009,17.3,15,520,1.9,5,60,Rain,rain,remote
"37.35,120.2",2022-07-02T10:00:00,81.9,87.6,73.5,75.62,0.02,100,rain,0,0,12.5,11.4,160.9,1009,5,15,737,2.7,7,60,Rain,rain,remote
"37.35,120.2",2022-07-02T11:00:00,84.6,91.5,73.4,69.17,0,0,rain,0,0,16,6.4,190,1009.9,1.9,18.6,857,3.1,9,60,Clear,clear-day,"54751099999,54753099999"
"37.35,120.2",2022-07-02T12:00:00,86.8,94.1,72.9,63.52,0.035,100,rain,0,0,12.1,11.6,182.9,1008,1,15,919,3.3,9,60,Rain,rain,remote
"37.35,120.2",2022-07-02T13:00:00,87.7,94.8,72.4,60.62,0.031,100,rain,0,0,13.2,12.1,189.1,1008,16.8,9.1,920,3.3,9,60,Rain,rain,remote
"37.35,120.2",2022-07-02T14:00:00,88.3,97.8,74.7,64.28,0,0,rain,0,0,17.9,8.3,155,1008.4,29.9,18.6,864,3.1,9,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.35,120.2",2022-07-02T15:00:00,87,94,72.6,62.4,0,0,rain,0,0,14.1,13.2,189.4,1007,25.4,14.2,756,2.7,8,60,Partially cloudy,partly-cloudy-day,remote
"37.35,120.2",2022-07-02T16:00:00,85.9,92.9,72.9,65.37,0.02,100,rain,0,0,14.3,13.4,184.6,1007,30,10.5,605,2.2,6,60,"Rain, Partially cloudy",rain,remote
"37.35,120.2",2022-07-02T17:00:00,86.7,98.1,76.9,72.95,0,0,,0,0,17.9,8.3,156,1007.4,28.9,18.6,422,1.5,4,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.35,120.2",2022-07-02T18:00:00,81.2,86.2,72.9,76.02,0.016,100,rain,0,0,16.1,11.9,172.3,1007,4.4,15,240,0.9,2,30,Rain,rain,remote
"37.35,120.2",2022-07-02T19:00:00,78,78,72.2,82.51,0,0,,0,0,21.5,12.3,165.3,1007,5,15,80,0.3,1,30,Clear,clear-day,remote
"37.35,120.2",2022-07-02T20:00:00,80.2,85.8,76.1,87.41,0,0,,0,0,17.9,5.4,161,1008,83.1,16.5,3,0,0,3,Partially cloudy,partly-cloudy-night,"54751099999,54753099999"
"37.35,120.2",2022-07-02T21:00:00,74.7,74.7,70.6,86.97,0,0,,0,0,25.3,12.3,161.9,1008,100,15,0,,0,3,Overcast,cloudy,remote
"37.35,120.2",2022-07-02T22:00:00,74,74,71,90.19,0,0,,0,0,24.8,11.2,159.8,1009,100,15,0,,0,3,Overcast,cloudy,remote
"37.35,120.2",2022-07-02T23:00:00,76.7,76.7,73.7,90.29,0,0,,0,0,22.4,8.9,180,1008.8,67.4,18.6,0,,0,3,Partially cloudy,partly-cloudy-night,54753099999
"37.35,120.2",2022-07-03T00:00:00,73.1,73.1,71.3,94.1,0,0,,0,0,26.2,10.1,157.6,1009,100,15,0,,0,3,Overcast,cloudy,remote
"37.35,120.2",2022-07-03T01:00:00,72.9,72.9,70.8,92.95,0,0,,0,0,25.3,11.2,158.1,1009,100,15,0,,0,3,Overcast,cloudy,remote
"37.35,120.2",2022-07-03T02:00:00,76.5,76.5,73.3,89.81,0,0,,0,0,21.8,8.9,180,1008.5,100,17.9,0,,0,3,Overcast,cloudy,"54751099999,54753099999"
"37.35,120.2",2022-07-03T03:00:00,72.6,72.6,70.8,94.09,0,0,,0,0,23.5,9.8,154.9,1008,100,15,0,,0,3,Overcast,cloudy,remote
"37.35,120.2",2022-07-03T04:00:00,71.9,71.9,70.6,95.82,0,0,,0,0,22.8,9.2,150.3,1008,99.9,14,0,,0,3,Overcast,cloudy,remote
