name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.982023,120.702103",2022-07-01T00:00:00,74.9,74.9,70.6,86.45,0,0,,0,0,20.8,8.9,170.6,1006,100,15,0,,0,3,Overcast,cloudy,remote
"36.982023,120.702103",2022-07-01T01:00:00,72.8,72.8,70.2,91.81,0,0,,0,0,17,8.5,211.3,1007,97.1,15,0,,0,10,Overcast,cloudy,remote
"36.982023,120.702103",2022-07-01T02:00:00,72.7,72.7,72.1,97.82,0.01,100,rain,0,0,22.4,2.2,137,1008.3,44.5,10.5,0,,0,3,"Rain, Partially cloudy",rain,"54753099999,54863099999"
"36.982023,120.702103",2022-07-01T03:00:00,71.1,71.1,69.5,94.63,0,0,,0,0,9.2,4,169,1007,41.1,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.982023,120.702103",2022-07-01T04:00:00,71,71,69.7,95.8,0,0,,0,0,7.6,4.9,145.5,1008,14.8,15,0,,0,10,Clear,clear-night,remote
"36.982023,120.702103",2022-07-01T05:00:00,74.3,74.3,73.8,98.32,0.003,100,rain,0,0,22.4,3.3,170,1008.5,16.5,7.2,2,0,0,10,Rain,rain,"54753099999,54863099999"
"36.982023,120.702103",2022-07-01T06:00:00,73.1,73.1,70.2,90.71,0,0,,0,0,5.4,3.6,160.2,1009,5.8,15,70,0.3,1,10,Clear,clear-day,remote
"36.982023,120.702103",2022-07-01T07:00:00,75.8,75.8,70.4,83.38,0,0,,0,0,6.3,5.1,138.5,1009,80.6,15,237,0.9,2,10,Partially cloudy,partly-cloudy-day,remote
"36.982023,120.702103",2022-07-01T08:00:00,77.1,77.1,76.1,96.75,0,0,,0,0,20.6,5.1,173,1009.4,93.7,8.1,408,1.5,4,30,Overcast,cloudy,"54753099999,54863099999"
"36.982023,120.702103",2022-07-01T09:00:00,81.2,85.9,72.4,74.65,0,0,,0,0,8.1,6.7,155.1,1009,78.1,15,559,2,6,30,Partially cloudy,partly-cloudy-day,remote
"36.982023,120.702103",2022-07-01T10:00:00,84.3,89.9,71.9,66.39,0,0,,0,0,8.5,6.5,175.4,1008,100,15,730,2.6,7,30,Overcast,cloudy,remote
"36.982023,120.702103",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,6.7,170,1010.4,100,3.1,822,3,8,30,Overcast,cloudy,54863099999
"36.982023,120.702103",2022-07-01T12:00:00,87.7,93.6,71,57.73,0,0,rain,0,0,11,8.3,172.3,1008,12.4,10.3,895,3.2,9,30,Clear,clear-day,remote
"36.982023,120.702103",2022-07-01T13:00:00,88.2,94.4,71.1,57.1,0,0,,0,0,13,10.7,168.5,1008,21.8,7.8,918,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"36.982023,120.702103",2022-07-01T14:00:00,76.4,76.4,75.8,97.85,0.003,100,rain,0,0,18.5,8.9,164,1009.5,34.1,7.3,838,3,8,60,"Rain, Partially cloudy",rain,"54753099999,54863099999"
"36.982023,120.702103",2022-07-01T15:00:00,85.7,92.7,72.9,65.75,0,0,,0,0,14.5,13.6,166.5,1008,12.6,11.6,749,2.7,7,60,Clear,clear-day,remote
"36.982023,120.702103",2022-07-01T16:00:00,84.5,91,72.9,68.46,0,0,rain,0,0,15.7,13.9,174.7,1008,3.2,9.8,601,2.2,6,60,Clear,clear-day,remote
"36.982023,120.702103",2022-07-01T17:00:00,76,76,75,96.79,0.082,100,rain,0,0,18.5,10,169,1009,4.2,7.8,428,1.5,4,30,Rain,rain,"54753099999,54863099999"
"36.982023,120.702103",2022-07-01T18:00:00,81.1,86.3,73.8,78.82,0,0,,0,0,16.3,10.5,166.3,1008,1.5,15,240,0.9,2,60,Clear,clear-day,remote
"36.982023,120.702103",2022-07-01T19:00:00,76.7,76.7,73.5,89.75,0,0,,0,0,19,10.1,158.6,1008,2.3,11.3,74,0.3,1,30,Clear,clear-day,remote
"36.982023,120.702103",2022-07-01T20:00:00,75.6,75.6,75.2,98.81,0,0,,0,0,18.5,3.9,190,1009.8,25.5,6.3,2,0,0,30,Partially cloudy,partly-cloudy-night,"54753099999,54863099999"
"36.982023,120.702103",2022-07-01T21:00:00,74.4,74.4,73.1,95.86,0,0,,0,0,19.7,10.7,152.2,1009,73.5,13.2,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"36.982023,120.702103",2022-07-01T22:00:00,74.4,74.4,72.6,94.13,0,0,,0,0,18.1,10.5,156.5,1010,84.5,11.4,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"36.982023,120.702103",2022-07-01T23:00:00,76,76,75.6,98.7,0.01,100,rain,0,0,18.5,6.7,168,1010.2,93.5,7.1,0,,0,30,"Rain, Overcast",rain,"54753099999,54863099999"
"36.982023,120.702103",2022-07-02T00:00:00,74.2,74.2,72.1,92.99,0,0,,0,0,17,10.3,157.5,1010,82.7,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"36.982023,120.702103",2022-07-02T01:00:00,74,74,72.2,94.12,0,0,,0,0,18.1,9.6,160.8,1009,74.7,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
