name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.982023,120.702103",2022-11-28T00:00:00,56.9,56.9,55.1,93.69,0.004,100,rain,0,0,25.1,11.6,143.7,1013,100,12.4,0,,0,10,"Rain, Overcast",rain,remote
"36.982023,120.702103",2022-11-28T01:00:00,56.7,56.7,55.7,96.17,0.008,100,rain,0,0,23.7,11,139.7,1012,100,12.2,0,,0,10,"Rain, Overcast",rain,remote
"36.982023,120.702103",2022-11-28T02:00:00,56.9,56.9,56.2,97.43,0.004,100,rain,0,0,21,10.3,134,1011,100,10.9,0,,0,10,"Rain, Overcast",rain,remote
"36.982023,120.702103",2022-11-28T03:00:00,57.5,57.5,56.7,97.44,0,0,,0,0,17.4,8.7,139.9,1010,100,12.1,0,,0,10,Overcast,cloudy,remote
"36.982023,120.702103",2022-11-28T04:00:00,57.6,57.6,56.7,96.81,0,0,,0,0,16.8,7.2,166.4,1010,100,12.4,0,,0,10,Overcast,cloudy,remote
"36.982023,120.702103",2022-11-28T05:00:00,56.7,56.7,56.2,98.07,0,0,,0,0,7.4,4.3,168,1010,100,15,0,,0,10,Overcast,cloudy,remote
"36.982023,120.702103",2022-11-28T06:00:00,56.6,56.6,55.8,97.43,0,0,,0,0,4,3.1,266.8,1011,100,15,0,,0,10,Overcast,cloudy,remote
"36.982023,120.702103",2022-11-28T07:00:00,56.2,56.2,55.5,97.43,0.004,100,rain,0,0,4,3.6,297.9,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.982023,120.702103",2022-11-28T08:00:00,56.7,56.7,55.7,96.17,0,0,,0,0,0.9,0.4,315.1,1011,100,15,6,0,0,10,Overcast,cloudy,remote
"36.982023,120.702103",2022-11-28T09:00:00,57.6,57.6,56,94.32,0.004,85.7,rain,0,0,9.4,4,179,1011,100,15,43,0.2,0,10,"Rain, Overcast",rain,
"36.982023,120.702103",2022-11-28T10:00:00,57.5,57.5,56.4,96.18,0.031,85.7,rain,0,0,9.2,4.7,264.9,1011,100,8.3,45,0.2,0,10,"Rain, Overcast",rain,
"36.982023,120.702103",2022-11-28T11:00:00,57.5,57.5,56,94.94,0.043,85.7,rain,0,0,9.8,5.6,287.2,1011,100,7.9,65,0.2,1,10,"Rain, Overcast",rain,
"36.982023,120.702103",2022-11-28T12:00:00,56.2,56.2,53.9,91.84,0.079,85.7,rain,0,0,14.3,11.2,307,1011,100,6.3,82,0.3,1,10,"Rain, Overcast",rain,
"36.982023,120.702103",2022-11-28T13:00:00,55.3,55.3,52.4,90.01,0.02,85.7,rain,0,0,18.1,11.2,305.6,1011,99.9,15,62,0.2,1,10,"Rain, Overcast",rain,
"36.982023,120.702103",2022-11-28T14:00:00,54.9,54.9,52.2,90.59,0.004,85.7,rain,0,0,15.7,10.1,318.8,1011,100,15,35,0.1,0,10,"Rain, Overcast",rain,
"36.982023,120.702103",2022-11-28T15:00:00,52.6,52.6,49.2,88.11,0.008,0,rain,0,0,18.8,12.8,354.1,1012,99.8,15,21,0.1,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T16:00:00,50.3,50.3,46.1,85.63,0.004,0,rain,0,0,23.3,13.2,352.7,1013,100,15,30,0.1,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T17:00:00,48.6,42.6,44.1,84.37,0,0,,0,0,28.6,16.3,351.4,1014,100,15,1,0,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T18:00:00,47.6,41.2,42.5,82.57,0,0,,0,0,31.1,16.3,357.1,1016,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T19:00:00,47,40.7,41.6,81.4,0,0,,0,0,31.3,15.4,358.1,1016,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T20:00:00,46.3,39.6,40.7,80.78,0,0,,0,0,30.4,16.1,354.8,1017,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T21:00:00,46.3,39.6,39.8,78.01,0,0,,0,0,28.4,16.1,352.8,1017,98.5,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T22:00:00,45.2,39.3,39.3,79.57,0,0,,0,0,28.6,12.5,346.4,1018,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-28T23:00:00,45,38.8,38.6,77.9,0,0,,0,0,29.3,13.4,343.1,1019,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-29T00:00:00,45,39.1,37.5,74.67,0,0,,0,0,28,12.3,346.6,1020,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-29T01:00:00,44.9,38,36.6,72.56,0,0,,0,0,30,15.4,354.7,1019,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-29T02:00:00,44.7,37.1,35.7,70.51,0,0,,0,0,29.8,18.1,355.6,1020,100,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-29T03:00:00,44.1,36.1,34.4,68.46,0,9.5,,0,0,29.3,19,1,1021,99.9,15,0,,0,10,Overcast,cloudy,
"36.982023,120.702103",2022-11-29T04:00:00,43.4,35.3,32.1,64.07,0,9.5,,0,0,29.1,18.8,359,1021,99.7,15,0,,0,10,Overcast,cloudy,
