name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.788087,120.992918",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,21.5,4.5,130,1007,50,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,0,22.4,4.5,140,1007,0,3.7,0,,0,3,Clear,clear-night,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T02:00:00,72.7,72.7,72.3,98.62,0,0,,0,0,22.2,2.5,140,1008.4,86.4,7.1,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54863099999"
"36.788087,120.992918",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,,0,0,16.3,6.7,150,1007,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,0,15.2,11.2,160,1007,89,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T05:00:00,74.9,74.9,74.5,98.83,0.004,100,rain,0,0,22.2,4.8,169,1008.7,88,6.2,1,0,0,10,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54863099999"
"36.788087,120.992918",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,10.5,11.2,160,1008,89,6.2,70,0.3,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,0,10.5,11.2,170,1008,89,6.2,177,0.6,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T08:00:00,76.3,76.3,75.8,98.47,0,0,,0,0,22.2,4.6,170,1009.7,88,7.9,210,0.8,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.788087,120.992918",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,0,11.6,8.9,180,1008,89,6.2,290,1,3,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,10.7,8.9,150,1008,89,6.2,605,2.2,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.788087,120.992918",2022-07-01T11:00:00,77.4,77.4,76.7,97.85,0,0,,0,0,17.9,6.8,170,1010.3,25,3.4,860,3.1,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.788087,120.992918",2022-07-01T12:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,17,13.4,160,1008,27.5,6.2,913,3.3,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
