name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.750085,121.318432",2022-07-01T00:00:00,72.6,72.6,71,94.66,0,0,rain,0,,13.2,9.6,140.1,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T01:00:00,72.6,72.6,71.1,95.24,0,0,,0,,23.5,11.2,154.4,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T02:00:00,72.6,72.6,72.2,98.79,0,0,,,,22.4,2.2,140,1008.5,100,7.5,0,,0,10,Overcast,cloudy,54863099999
"36.750085,121.318432",2022-07-01T03:00:00,72.1,72.1,70.8,95.82,0,0,,0,,21.7,11,181.3,1008,100,15,0,,0,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T04:00:00,72.1,72.1,71.1,97,0,0,,0,,19.2,8.7,182.8,1008,99.1,14.2,0,,0,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T05:00:00,74.9,74.9,74.6,98.8,0.004,100,rain,0,,22.4,4.5,170,1008.8,66.5,6.2,2,0,0,10,"Rain, Partially cloudy",rain,54863099999
"36.750085,121.318432",2022-07-01T06:00:00,72.6,72.6,71.7,97,0,0,,0,,12.1,5.8,173.9,1009,99.5,1.1,57,0.2,1,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T07:00:00,73.1,73.1,71.5,94.68,0,0,,0,,10.7,6.3,182.6,1010,100,15,109,0.4,1,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T08:00:00,76.2,76.2,75.8,98.81,0,0,rain,,,22.4,4.5,170,1009.8,100,8.1,155,0.6,2,10,Overcast,cloudy,54863099999
"36.750085,121.318432",2022-07-01T09:00:00,74,74,72.8,95.85,0,0,,0,,15.9,7.2,192.4,1009,99.8,4.5,164,0.6,2,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-07-01T10:00:00,75.3,75.3,73.1,93.02,0,0,,0,,13,7.6,176.2,1009,51.5,15,309,1.1,3,10,Partially cloudy,partly-cloudy-day,remote
"36.750085,121.318432",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,,0,,17.9,6.7,170,1010.4,23.3,3.1,826,3,8,30,Partially cloudy,partly-cloudy-day,54863099999
"36.750085,121.318432",2022-07-01T12:00:00,78,78,73.1,85.05,0,0,,0,,19.5,12.1,173.9,1009,26.5,3.6,892,3.2,9,30,Partially cloudy,partly-cloudy-day,remote
"36.750085,121.318432",2022-07-01T13:00:00,77.6,77.6,73.7,87.64,0,0,,0,,21,15,168.5,1009,26.2,3.4,865,3.1,9,30,Partially cloudy,partly-cloudy-day,remote
"36.750085,121.318432",2022-07-01T14:00:00,77.1,77.1,76.7,98.81,0,0,,,,17.9,8.9,180,1009.6,42.2,3.1,818,2.9,8,30,Partially cloudy,partly-cloudy-day,54863099999
"36.750085,121.318432",2022-07-01T15:00:00,77.6,77.6,74,88.71,0,0,,0,,23.7,15.9,177.3,1009,28.7,15,713,2.6,7,30,Partially cloudy,partly-cloudy-day,remote
