name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.750085,121.318432",2022-11-28T00:00:00,57.5,57.5,55.7,93.71,0.016,100,rain,0,,26.8,15,146.4,1013,100,9.1,0,,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T01:00:00,58,58,56.6,94.95,0.012,100,rain,0,,24.2,13.6,140.6,1013,100,12.1,0,,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T02:00:00,58.9,58.9,57.8,96.2,0.008,100,rain,,,20.6,12.1,148.7,1012,100,12,0,,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T03:00:00,59.1,59.1,58.2,96.83,0.004,100,rain,0,,19.7,9.8,164.4,1011,100,12.1,0,,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T04:00:00,59.6,59.6,58.7,96.84,0,0,,0,,22.1,10.5,178,1011,100,12.1,0,,0,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-11-28T05:00:00,59.8,59.8,58.7,96.22,0,0,,0,,23,11.2,185.1,1011,100,14.1,0,,0,10,Overcast,cloudy,remote
"36.750085,121.318432",2022-11-28T06:00:00,59.6,59.6,58.6,96.22,0.004,100,rain,0,,22.8,10.7,193.5,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T07:00:00,59.3,59.3,58.4,96.83,0.008,100,rain,0,,17.9,7.8,211.2,1011,100,14.8,0,,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T08:00:00,59.1,59.1,58.4,97.46,0.016,100,rain,,,16.3,7.4,217.7,1011,100,14.7,6,0,0,10,"Rain, Overcast",rain,remote
"36.750085,121.318432",2022-11-28T09:00:00,59.1,59.1,58.2,96.83,0.008,90.5,rain,0,,12.3,6.5,226.3,1011,100,15,22,0.1,0,10,"Rain, Overcast",rain,
"36.750085,121.318432",2022-11-28T10:00:00,59.4,59.4,57.8,94.37,0.004,90.5,rain,0,,9.6,6,239.7,1011,100,15,39,0.1,0,10,"Rain, Overcast",rain,
"36.750085,121.318432",2022-11-28T11:00:00,58.7,58.7,57.5,95.58,0.055,90.5,rain,0,,7.6,5.1,290.8,1011,100,4.7,20,0.1,0,10,"Rain, Overcast",rain,
"36.750085,121.318432",2022-11-28T12:00:00,58.4,58.4,57.5,96.82,0.079,90.5,rain,0,,13.2,6.3,279.2,1010,100,3.1,10,0,0,10,"Rain, Overcast",rain,
"36.750085,121.318432",2022-11-28T13:00:00,58,58,57.1,96.82,0.098,90.5,rain,0,,16.1,8.7,278.7,1010,100,4.5,12,0,0,10,"Rain, Overcast",rain,
