name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.468528,120.35644",2022-07-01T00:00:00,74.2,74.2,71.9,92.42,0,0,,0,,4.9,4.5,200.4,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.468528,120.35644",2022-07-01T01:00:00,74,74,71.9,92.98,0,0,,0,,13.6,8.7,216.1,1006,89.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.468528,120.35644",2022-07-01T02:00:00,72.9,72.9,71.6,95.58,0.041,100,rain,,,22.4,2.4,123,1007.6,99.8,18.2,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.468528,120.35644",2022-07-01T03:00:00,73.1,73.1,70.2,90.71,0,0,,0,,7.4,5.6,221.8,1007,88.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.468528,120.35644",2022-07-01T04:00:00,72.8,72.8,69,87.95,0,0,,0,,5.4,4.7,206.5,1007,100,15,0,,0,3,Overcast,cloudy,remote
"37.468528,120.35644",2022-07-01T05:00:00,72.6,72.6,71.8,97.22,0,0,,0,,22.4,0.5,120,1007.8,26.1,9.5,1,0,0,3,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.468528,120.35644",2022-07-01T06:00:00,73.7,73.7,69.2,85.85,0,0,,0,,5.6,4,188.4,1008,4.6,15,71,0.3,1,10,Clear,clear-day,remote
"37.468528,120.35644",2022-07-01T07:00:00,75.3,75.3,69.9,83.34,0,0,,0,,7.4,5.6,153.8,1008,60.3,15,239,0.9,2,10,Partially cloudy,partly-cloudy-day,remote
"37.468528,120.35644",2022-07-01T08:00:00,79.4,79.4,76.6,91.28,0,0,,,,16.1,6.6,176,1008.4,100,8.3,411,1.5,4,10,Overcast,cloudy,"54751099999,54753099999"
"37.468528,120.35644",2022-07-01T09:00:00,79.4,79.4,70.1,73.13,0,0,,0,,7.4,6.5,172.6,1008,100,15,557,2,6,10,Overcast,cloudy,remote
"37.468528,120.35644",2022-07-01T10:00:00,80.9,84.5,70.4,70.62,0,0,,0,,6.9,5.8,202.6,1008,100,15,704,2.5,7,10,Overcast,cloudy,remote
"37.468528,120.35644",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,,15.7,4.5,300,1008.7,50.1,9.3,728,2.6,7,10,Partially cloudy,partly-cloudy-day,54751099999
"37.468528,120.35644",2022-07-01T12:00:00,80.7,84.2,70.2,70.61,0,0,rain,0,,8.9,6,303.9,1008,5.5,8.5,918,3.3,9,10,Clear,clear-day,remote
"37.468528,120.35644",2022-07-01T13:00:00,80,80,70.4,72.73,0,0,rain,0,,9.8,5.8,323,1008,21.5,8.3,923,3.3,9,3,Partially cloudy,partly-cloudy-day,remote
"37.468528,120.35644",2022-07-01T14:00:00,74.7,74.7,73.3,95.49,0.012,100,rain,,,19.8,8.9,124,1009.2,31.7,17.5,831,3,8,10,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.468528,120.35644",2022-07-01T15:00:00,78.5,78.5,71.3,78.62,0,0,rain,0,,10.5,4.9,326.8,1007,33.7,7.1,724,2.6,7,3,Partially cloudy,partly-cloudy-day,remote
"37.468528,120.35644",2022-07-01T16:00:00,78,78,71.3,80.03,0,0,rain,0,,9.6,5.6,311.1,1007,48,1,553,2,6,3,Partially cloudy,partly-cloudy-day,remote
"37.468528,120.35644",2022-07-01T17:00:00,74.9,74.9,72.8,93.41,0.289,100,rain,0,,19.8,6.7,141,1008.3,49.3,18.6,366,1.3,4,8,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.468528,120.35644",2022-07-01T18:00:00,76.4,76.4,71.7,85.47,0,0,,0,,7.4,2.9,352.9,1007,49.6,5.3,196,0.7,2,8,Partially cloudy,partly-cloudy-day,remote
"37.468528,120.35644",2022-07-01T19:00:00,76.6,76.6,71.9,85.48,0,0,,0,,5.8,3.1,104.9,1007,2.6,15,68,0.2,1,30,Clear,clear-day,remote
"37.468528,120.35644",2022-07-01T20:00:00,74.9,74.9,74.5,98.68,0,0,,,,19.8,2.4,189,1007.9,0.2,12.9,3,0,0,30,Clear,clear-night,"54751099999,54753099999"
"37.468528,120.35644",2022-07-01T21:00:00,78,78,71.9,81.51,0,0,,0,,10.3,7.4,143.8,1008,0,15,0,,0,30,Clear,clear-night,remote
"37.468528,120.35644",2022-07-01T22:00:00,76.7,76.7,71.9,84.98,0,0,,0,,17,9.2,161.5,1008,1.3,15,0,,0,30,Clear,clear-night,remote
"37.468528,120.35644",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,,20.1,6.7,190,1009.5,3,6.2,0,,0,30,Rain,rain,54753099999
"37.468528,120.35644",2022-07-02T00:00:00,75.3,75.3,72.9,92.46,0.004,100,rain,0,,24.4,13.9,152.1,1008,15.4,15,0,,0,30,Rain,rain,remote
"37.468528,120.35644",2022-07-02T01:00:00,75.1,75.1,72.9,93.01,0.028,100,rain,0,,22.6,13.4,157.8,1009,44.4,10.2,0,,0,30,"Rain, Partially cloudy",rain,remote
"37.468528,120.35644",2022-07-02T02:00:00,77.5,77.5,77.1,98.9,0,0,,,,19.8,4.6,197,1008.9,20.3,6.3,0,,0,30,Partially cloudy,partly-cloudy-night,"54751099999,54753099999"
"37.468528,120.35644",2022-07-02T03:00:00,74.9,74.9,72.6,92.44,0,0,,0,,16.6,11.4,154.9,1008,11.4,15,0,,0,30,Clear,clear-night,remote
"37.468528,120.35644",2022-07-02T04:00:00,74.7,74.7,72.6,93,0,0,,0,,13.4,8.7,159.4,1008,18.4,15,0,,0,30,Clear,clear-night,remote
"37.468528,120.35644",2022-07-02T05:00:00,76.2,76.2,74.6,94.58,0,0,,0,,15.7,2.7,194,1009.5,7.9,12.3,1,0,0,30,Clear,clear-day,"54751099999,54753099999"
"37.468528,120.35644",2022-07-02T06:00:00,75.3,75.3,72.6,91.34,0,0,,0,,11.9,8.9,148.5,1008,4.4,15,69,0.2,1,30,Clear,clear-day,remote
