name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.764636,120.607062",2022-07-01T00:00:00,75.1,75.1,72.2,90.78,0,0,,0,,8.5,7.4,199.3,1005,100,15,0,,0,3,Overcast,cloudy,remote
"37.764636,120.607062",2022-07-01T01:00:00,74.2,74.2,71.7,91.86,0,0,,0,,11,8.9,246,1006,96.7,15,0,,0,10,Overcast,cloudy,remote
"37.764636,120.607062",2022-07-01T02:00:00,71.3,71.3,70.8,98.42,0.091,100,rain,,,22.4,3.7,63,1007.3,100,14,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.764636,120.607062",2022-07-01T03:00:00,73.1,73.1,71.1,93.53,0,0,,0,,14.1,9.8,243.6,1007,96.7,15,0,,0,10,Overcast,cloudy,remote
"37.764636,120.607062",2022-07-01T04:00:00,72.9,72.9,70.6,92.38,0,0,,0,,11.6,8.5,245.9,1007,98.2,15,0,,0,10,Overcast,cloudy,remote
"37.764636,120.607062",2022-07-01T05:00:00,71.2,71.2,70.9,99.01,0,0,,0,,22.4,4.5,120,1007.7,52.7,5.3,1,0,0,10,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.764636,120.607062",2022-07-01T06:00:00,73.3,73.3,69,86.36,0,0,,0,,10.1,7.4,233.9,1008,5,15,71,0.3,1,3,Clear,clear-day,remote
"37.764636,120.607062",2022-07-01T07:00:00,74.2,74.2,68.8,83.28,0,0,,0,,8.3,6.5,217.9,1009,5,15,247,0.9,2,3,Clear,clear-day,remote
"37.764636,120.607062",2022-07-01T08:00:00,78.8,78.8,75.5,89.63,0.003,100,rain,,,20.2,5.2,140,1008.2,96.4,10.2,434,1.6,4,3,"Rain, Overcast",rain,"54751099999,54753099999"
"37.764636,120.607062",2022-07-01T09:00:00,76.9,76.9,69.9,78.97,0,0,,0,,4,2.2,179.7,1008,100,15,571,2.1,6,10,Overcast,cloudy,remote
"37.764636,120.607062",2022-07-01T10:00:00,78.3,78.3,70.2,76.24,0,0,,0,,4,0.9,247.6,1008,99.9,15,706,2.5,7,10,Overcast,cloudy,remote
"37.764636,120.607062",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,,15.7,4.5,300,1008.7,100,9.3,785,2.8,8,10,Overcast,cloudy,54751099999
"37.764636,120.607062",2022-07-01T12:00:00,77.1,77.1,69.9,78.5,0,0,,0,,7.6,5.8,5.5,1008,7.3,14.2,889,3.2,9,3,Clear,clear-day,remote
"37.764636,120.607062",2022-07-01T13:00:00,77.3,77.3,70.8,80.47,0,0,rain,0,,11.2,8.7,21,1008,9.1,3.5,922,3.3,9,3,Clear,clear-day,remote
"37.764636,120.607062",2022-07-01T14:00:00,75.8,75.8,75,97.26,0.012,100,rain,,,17.1,8.9,160,1008.6,20.7,8.2,835,3,8,10,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.764636,120.607062",2022-07-01T15:00:00,76.2,76.2,71.7,85.99,0,0,rain,0,,11,6.3,343.3,1007,46.2,1.7,686,2.5,7,3,Partially cloudy,partly-cloudy-day,remote
"37.764636,120.607062",2022-07-01T16:00:00,76.2,76.2,71.7,85.99,0,0,rain,0,,9.8,5.6,336.7,1007,47.7,4.2,564,2,6,3,Partially cloudy,partly-cloudy-day,remote
"37.764636,120.607062",2022-07-01T17:00:00,74.3,74.3,73.4,96.88,0.168,100,rain,0,,17.1,6.7,147,1008.4,61.3,18.6,386,1.4,4,3,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.764636,120.607062",2022-07-01T18:00:00,75.3,75.3,71.7,88.6,0,0,rain,0,,6.9,4.5,279.6,1007,53.8,4,222,0.8,2,3,Partially cloudy,partly-cloudy-day,remote
"37.764636,120.607062",2022-07-01T19:00:00,73.5,73.5,71.3,92.97,0,0,rain,0,,3.1,2.5,276.1,1007,57.7,4,68,0.2,1,3,Partially cloudy,partly-cloudy-day,remote
"37.764636,120.607062",2022-07-01T20:00:00,74.9,74.9,74.2,97.61,0,0,,,,17.1,3.7,183,1007.5,55.3,11.4,2,0,0,10,Partially cloudy,partly-cloudy-night,"54751099999,54753099999"
"37.764636,120.607062",2022-07-01T21:00:00,75.3,75.3,71.5,88.06,0,0,,0,,3.6,3.6,135.2,1008,0.4,15,0,,0,30,Clear,clear-night,remote
"37.764636,120.607062",2022-07-01T22:00:00,75.8,75.8,71.3,85.97,0,0,rain,0,,9.2,6,170.7,1008,0.2,7.5,0,,0,30,Clear,clear-night,remote
"37.764636,120.607062",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,,20.1,6.7,190,1009.5,3.8,6.2,0,,0,30,Rain,rain,54753099999
"37.764636,120.607062",2022-07-02T00:00:00,74.6,74.6,72.1,91.87,0.024,100,rain,0,,12.5,8.1,166.9,1008,3,15,0,,0,30,Rain,rain,remote
"37.764636,120.607062",2022-07-02T01:00:00,73.7,73.7,71.9,94.11,0.102,100,rain,0,,16.1,8.9,176.1,1008,61.6,12.3,0,,0,30,"Rain, Partially cloudy",rain,remote
"37.764636,120.607062",2022-07-02T02:00:00,76.2,76.2,76.1,99.61,0,0,rain,,,17.1,6,173,1008.8,15.7,7.1,0,,0,30,Clear,clear-night,"54751099999,54753099999"
"37.764636,120.607062",2022-07-02T03:00:00,74.4,74.4,72.2,92.99,0,0,,0,,9.4,6.9,157.7,1008,0.2,15,0,,0,30,Clear,clear-night,remote
"37.764636,120.607062",2022-07-02T04:00:00,74.4,74.4,72.2,92.99,0.004,100,rain,0,,7.4,5.6,173.5,1008,3.8,15,0,,0,30,Rain,rain,remote
"37.764636,120.607062",2022-07-02T05:00:00,75.2,75.2,74.6,98.06,0,0,,0,,15.7,6.8,146,1009.3,4.8,6.3,2,0,0,30,Clear,clear-day,"54751099999,54753099999"
"37.764636,120.607062",2022-07-02T06:00:00,75.3,75.3,72.6,91.34,0,0,,0,,10.5,7.8,158.7,1008,3,15,74,0.3,1,30,Clear,clear-day,remote
"37.764636,120.607062",2022-07-02T07:00:00,77.4,77.4,72.6,85.02,0,0,,0,,8.5,7.8,175.8,1008,0.1,15,241,0.9,2,30,Clear,clear-day,remote
"37.764636,120.607062",2022-07-02T08:00:00,79.3,79.3,71.4,76.88,0,0,,,,15.7,10.5,167,1009.7,5,18.6,429,1.5,4,60,Clear,clear-day,"54751099999,54753099999"
