name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.193013,121.159985",2022-11-28T00:00:00,54.2,54.2,53,95.49,0.004,100,rain,0,0,24.4,8.9,148,1013,100,12.8,0,,0,10,"Rain, Overcast",rain,remote
"37.193013,121.159985",2022-11-28T01:00:00,54.2,54.2,53.1,96.13,0,0,,0,0,25.1,9.4,147.2,1013,100,9.1,0,,0,10,Overcast,cloudy,remote
"37.193013,121.159985",2022-11-28T02:00:00,54.2,54.2,53.7,98.05,0,0,rain,0,0,22.8,7.2,147.2,1012,100,3.7,0,,0,10,Overcast,cloudy,remote
"37.193013,121.159985",2022-11-28T03:00:00,54.6,54.6,54.2,98.7,0,0,,0,0,23.9,7.4,144.5,1011,100,0.2,0,,0,10,Overcast,fog,remote
"37.193013,121.159985",2022-11-28T04:00:00,56,56,55.7,98.7,0.004,100,rain,0,0,21.3,6.7,180.1,1011,100,0.1,0,,0,10,"Rain, Overcast",rain,remote
"37.193013,121.159985",2022-11-28T05:00:00,56.9,56.9,56.4,98.07,0,0,,0,0,19.9,5.8,193.6,1010,100,2.5,0,,0,10,Overcast,cloudy,remote
"37.193013,121.159985",2022-11-28T06:00:00,56.9,56.9,56.2,97.43,0.004,100,rain,0,0,8.3,4,207.9,1010,100,10.1,0,,0,10,"Rain, Overcast",rain,remote
"37.193013,121.159985",2022-11-28T07:00:00,56.7,56.7,56,97.43,0.004,100,rain,0,0,6.3,3.8,229.5,1011,100,10.6,0,,0,10,"Rain, Overcast",rain,remote
"37.193013,121.159985",2022-11-28T08:00:00,56.9,56.9,56.2,97.43,0.004,100,rain,0,0,5.4,3.8,218.3,1011,100,12.6,5,0,0,10,"Rain, Overcast",rain,remote
"37.193013,121.159985",2022-11-28T09:00:00,57.1,57.1,56.4,97.44,0.004,81,rain,0,0,7.4,4.7,186.3,1011,100,15,19,0.1,0,10,"Rain, Overcast",rain,
"37.193013,121.159985",2022-11-28T10:00:00,56.9,56.9,56.2,97.43,0.012,81,rain,0,0,13.2,3.8,240.8,1011,100,8.7,30,0.1,0,10,"Rain, Overcast",rain,
"37.193013,121.159985",2022-11-28T11:00:00,56.7,56.7,55.8,96.8,0.047,81,rain,0,0,8.1,3.4,219.3,1011,100,5.6,28,0.1,0,10,"Rain, Overcast",rain,
"37.193013,121.159985",2022-11-28T12:00:00,57.3,57.3,55.8,94.93,0.028,81,rain,0,0,11.9,4.9,259.5,1010,100,9.9,54,0.2,1,10,"Rain, Overcast",rain,
"37.193013,121.159985",2022-11-28T13:00:00,56.9,56.9,54.8,92.47,0.02,81,rain,0,0,13.2,6.3,296.9,1010,100,11.9,37,0.1,0,10,"Rain, Overcast",rain,
"37.193013,121.159985",2022-11-28T14:00:00,53.1,53.1,51,92.35,0.02,81,rain,0,0,15.7,11.4,335.8,1011,100,0.7,63,0.2,1,10,"Rain, Overcast",rain,
"37.193013,121.159985",2022-11-28T15:00:00,49.5,45.2,47.4,92.24,0.004,38.1,rain,0,0,20.8,11,338.2,1012,100,13.3,11,0,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T16:00:00,48.8,43.7,45.8,89.13,0,38.1,,0,0,24.2,12.8,338.7,1014,100,15,10,0,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T17:00:00,47.2,41,44.1,89.05,0.004,38.1,rain,0,0,27.1,15.2,347.5,1014,100,15,1,0,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T18:00:00,46.1,38.8,42.7,87.78,0,38.1,,0,0,31.8,18.6,351.3,1015,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T19:00:00,45.9,38.8,41.8,85.38,0,38.1,,0,0,31.5,17.4,353.5,1016,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T20:00:00,45.6,37.6,40.2,81.29,0,38.1,,0,0,32.2,21,352.7,1017,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T21:00:00,45.4,38.2,40,81.28,0,0,,0,0,31.3,17.2,357.2,1016,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T22:00:00,44.5,37.7,39.1,81.21,0,0,,0,0,31.1,14.5,353.5,1017,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-28T23:00:00,44.5,36.9,38,77.85,0,0,,0,0,32,17.9,349.2,1018,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T00:00:00,44.5,37,36.6,73.57,0,0,,0,0,32,17.2,349.7,1019,98.6,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T01:00:00,44.1,35.7,35.1,70.45,0,0,,0,0,32.7,21.3,357.1,1018,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T02:00:00,43.4,34.7,33.9,68.87,0,0,,0,0,31.1,21.5,356.6,1020,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T03:00:00,42.5,33.4,31.2,63.96,0,4.8,,0,0,31.3,21.7,356.9,1021,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T04:00:00,41.3,31.6,28.7,60.6,0,4.8,,0,0,32.2,22.6,358.9,1021,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T05:00:00,40,30,27.2,59.98,0,4.8,,0,0,30.2,21.9,1.3,1022,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T06:00:00,38,27.6,24.7,58.37,0,4.8,,0,0,28.6,21.3,0.6,1024,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T07:00:00,36.2,25.1,22.2,56.38,0,4.8,,0,0,29.1,21.7,2.5,1025,100,15,0,,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T08:00:00,35.7,24.5,22.2,57.6,0,4.8,,0,0,28.4,21.3,2.3,1026,100,15,49,0.2,0,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T09:00:00,35.5,24,22.2,58.01,0,0,,0,0,29.1,22.1,0.7,1027,100,15,151,0.5,2,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T10:00:00,35.3,23.6,20.6,54.55,0,0,,0,0,30.2,22.8,359.7,1028,99.5,15,260,0.9,3,10,Overcast,cloudy,
"37.193013,121.159985",2022-11-29T11:00:00,34.6,22.2,17.7,49.63,0,0,,0,0,30.9,25.1,355.1,1029,78.9,15,423,1.5,4,10,Partially cloudy,partly-cloudy-day,
