name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.392829,121.604559",2022-07-01T00:00:00,74.7,74.7,72.1,91.32,0,0,,0,,25.1,16.3,152,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-01T01:00:00,74.2,74.2,71,89.65,0,0,,0,,21,11.6,163.9,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-01T02:00:00,72.6,72.6,72.2,98.79,0,0,,,,22.4,2.2,140,1008.5,100,7.5,0,,0,10,Overcast,cloudy,54863099999
"37.392829,121.604559",2022-07-01T03:00:00,73.8,73.8,70.6,89.63,0,0,,0,,22.4,14.3,189.6,1007,97.5,15,0,,0,3,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-01T04:00:00,72.2,72.2,70.2,93.5,0,0,rain,0,,20.1,12.5,197.7,1008,97.9,3.9,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-01T05:00:00,74.9,74.9,74.6,98.8,0.004,100,rain,0,,22.4,4.5,170,1008.8,91,6.2,1,0,0,10,"Rain, Overcast",rain,54863099999
"37.392829,121.604559",2022-07-01T06:00:00,72.9,72.9,70.6,92.38,0,0,,0,,12.3,8.1,198,1009,37.8,15,57,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.392829,121.604559",2022-07-01T07:00:00,74.2,74.2,70.6,88.55,0,0,,0,,10.1,8.1,197.5,1009,89.5,15,232,0.8,2,10,Partially cloudy,partly-cloudy-day,remote
"37.392829,121.604559",2022-07-01T08:00:00,76.2,76.2,75.8,98.81,0,0,,,,22.4,4.5,170,1009.8,56.5,8.1,392,1.4,4,10,Partially cloudy,partly-cloudy-day,54863099999
"37.392829,121.604559",2022-07-01T09:00:00,76.4,76.4,71.5,84.96,0,0,rain,0,,8.1,6.9,186.7,1009,99.2,3.9,593,2.1,6,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-01T10:00:00,78.2,78.2,72.1,81.52,0,0,,0,,7.6,6.3,163,1009,5,14,713,2.6,7,30,Clear,clear-day,remote
"37.392829,121.604559",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,,0,,17.9,6.7,170,1010.4,2.3,3.1,867,3.1,9,30,Clear,clear-day,54863099999
"37.392829,121.604559",2022-07-01T12:00:00,81.6,86.4,72.2,73.33,0,0,,0,,11.4,8.9,164.5,1008,0.7,15,918,3.3,9,30,Clear,clear-day,remote
"37.392829,121.604559",2022-07-01T13:00:00,84.3,89.4,71.1,64.79,0,0,,0,,13,10.7,173.4,1008,26.9,15,917,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.392829,121.604559",2022-07-01T14:00:00,77.1,77.1,76.7,98.81,0,0,,,,17.9,8.9,180,1009.6,1.8,3.1,860,3.1,9,30,Clear,clear-day,54863099999
"37.392829,121.604559",2022-07-01T15:00:00,83.2,88.9,72.6,70.43,0,0,,0,,20.6,16.8,179.9,1008,3.6,15,748,2.7,7,30,Clear,clear-day,remote
"37.392829,121.604559",2022-07-01T16:00:00,82.5,88.1,72.9,72.97,0,0,,0,,20.4,15.9,182,1008,4.9,15,598,2.2,6,30,Clear,clear-day,remote
"37.392829,121.604559",2022-07-01T17:00:00,76.4,76.4,75.8,98.22,0,0,,0,,17.9,11.2,180,1009.3,2.8,3.7,421,1.5,4,60,Clear,clear-day,54863099999
"37.392829,121.604559",2022-07-01T18:00:00,79.4,79.4,73.3,81.61,0,0,,0,,22.8,15.7,180.4,1008,5,15,235,0.8,2,30,Clear,clear-day,remote
"37.392829,121.604559",2022-07-01T19:00:00,77.1,77.1,72.9,87.09,0,0,,0,,23.3,14.8,177.7,1008,4.5,15,71,0.3,1,30,Clear,clear-day,remote
"37.392829,121.604559",2022-07-01T20:00:00,75.8,75.8,75.5,98.81,0,0,,,,17.9,4.5,190,1010.5,14.8,3.7,2,0,0,30,Clear,clear-night,54863099999
"37.392829,121.604559",2022-07-01T21:00:00,75.1,75.1,72.4,91.33,0,0,,0,,23.7,15,180.2,1009,68.4,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.392829,121.604559",2022-07-01T22:00:00,75.3,75.3,71.7,88.6,0,0,,0,,24.2,15.9,189,1010,96.9,15,0,,0,30,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-01T23:00:00,75.5,75.5,74.9,98.21,0,0,,0,,17.9,6.7,160,1010.4,94.8,7.5,0,,0,30,Overcast,cloudy,54863099999
"37.392829,121.604559",2022-07-02T00:00:00,75.5,75.5,71.5,87.54,0,0,,0,,22.8,14.1,186.3,1009,63.9,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.392829,121.604559",2022-07-02T01:00:00,75.1,75.1,71.3,88.06,0,0,,0,,25.1,14.5,184.4,1009,1.1,15,0,,0,8,Clear,clear-night,remote
"37.392829,121.604559",2022-07-02T02:00:00,74.9,74.9,74.6,98.8,0.028,100,rain,,,17.9,6.7,200,1009.8,61.6,5,0,,0,8,"Rain, Partially cloudy",rain,54863099999
"37.392829,121.604559",2022-07-02T03:00:00,74.7,74.7,71.3,89.12,0,0,rain,0,,21,14.8,190.6,1008,100,13.3,0,,0,8,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-02T04:00:00,72.9,72.9,71,93.52,0,0,rain,0,,17.4,11.4,190.5,1008,98.8,4.1,0,,0,3,Overcast,cloudy,remote
"37.392829,121.604559",2022-07-02T05:00:00,72.2,72.2,70.8,95.24,0.287,100,rain,0,,22.4,6.7,270,1010.7,100,11.8,1,0,0,3,"Rain, Overcast",rain,54863099999
