name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.182501,121.409982",2022-07-01T00:00:00,73.7,73.7,72.1,94.69,0,0,rain,0,0,18.1,9.4,144.7,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-01T01:00:00,73.7,73.7,70.8,90.73,0,0,rain,0,0,28,11.6,161.2,1007,100,13,0,,0,10,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-01T02:00:00,72.6,72.6,72.2,98.79,0,0,,0,0,22.4,2.2,140,1008.5,100,7.5,0,,0,10,Overcast,cloudy,54863099999
"37.182501,121.409982",2022-07-01T03:00:00,72.1,72.1,70.6,95.23,0,0,,0,0,21.9,10.1,174.9,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-01T04:00:00,71.5,71.5,70.1,95.22,0,0,,0,0,25.9,13.6,176.8,1008,96.6,9.1,0,,0,10,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-01T05:00:00,74.9,74.9,74.6,98.8,0.004,100,rain,0,0,22.4,4.5,170,1008.8,85.7,6.2,2,0,0,10,"Rain, Partially cloudy",rain,54863099999
"37.182501,121.409982",2022-07-01T06:00:00,72.6,72.6,70.6,93.51,0,0,,0,0,15.4,7.8,182.5,1009,62.9,15,53,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.182501,121.409982",2022-07-01T07:00:00,74.2,74.2,70.8,89.1,0,0,,0,0,11.9,7.8,186.3,1009,88.6,15,192,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"37.182501,121.409982",2022-07-01T08:00:00,76.2,76.2,75.8,98.81,0,0,,0,0,22.4,4.5,170,1009.8,88.8,8.1,349,1.3,3,10,Partially cloudy,partly-cloudy-day,54863099999
"37.182501,121.409982",2022-07-01T09:00:00,78.7,78.7,72.8,82.05,0,0,,0,0,13.6,10.1,179.7,1009,68.8,10.7,552,2,6,30,Partially cloudy,partly-cloudy-day,remote
"37.182501,121.409982",2022-07-01T10:00:00,80.5,85.1,73.3,78.77,0,0,,0,0,13.6,11,180.3,1009,33.4,10.8,657,2.4,7,30,Partially cloudy,partly-cloudy-day,remote
"37.182501,121.409982",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,6.7,170,1010.4,11.5,3.1,760,2.7,8,30,Clear,clear-day,54863099999
"37.182501,121.409982",2022-07-01T12:00:00,84.8,90.8,72.1,65.65,0,0,,0,0,16.6,13.2,176.4,1009,0.7,15,910,3.3,9,30,Clear,clear-day,remote
"37.182501,121.409982",2022-07-01T13:00:00,84.8,90.9,72.2,66.05,0,0,rain,0,0,19.5,15.9,182,1009,5,8.6,923,3.3,9,30,Clear,clear-day,remote
"37.182501,121.409982",2022-07-01T14:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,8.9,180,1009.6,6.4,3.1,861,3.1,9,30,Clear,clear-day,54863099999
"37.182501,121.409982",2022-07-01T15:00:00,83.4,89.8,73.5,72.18,0,0,,0,0,22.1,16.6,180.3,1008,13.4,15,747,2.7,7,60,Clear,clear-day,remote
"37.182501,121.409982",2022-07-01T16:00:00,82.3,88,73.1,73.85,0,0,,0,0,23,17,180.2,1008,9.4,15,592,2.1,6,30,Clear,clear-day,remote
"37.182501,121.409982",2022-07-01T17:00:00,76.4,76.4,75.8,98.22,0,0,,0,0,17.9,11.2,180,1009.3,20.5,3.7,417,1.5,4,30,Partially cloudy,partly-cloudy-day,54863099999
"37.182501,121.409982",2022-07-01T18:00:00,78.3,78.3,73.3,84.56,0,0,,0,0,25.9,14.1,177.1,1008,18.6,15,224,0.8,2,30,Clear,clear-day,remote
"37.182501,121.409982",2022-07-01T19:00:00,75.6,75.6,72.9,91.35,0,0,,0,0,27.1,13.4,169.6,1009,32.7,15,66,0.2,1,30,Partially cloudy,partly-cloudy-day,remote
"37.182501,121.409982",2022-07-01T20:00:00,75.8,75.8,75.5,98.81,0,0,,0,0,17.9,4.5,190,1010.5,90,3.7,1,0,0,30,Partially cloudy,partly-cloudy-night,54863099999
"37.182501,121.409982",2022-07-01T21:00:00,74.4,74.4,71.5,90.75,0,0,,0,0,26.4,14.3,176.8,1010,100,15,0,,0,30,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-01T22:00:00,74.2,74.2,71.7,91.86,0,0,,0,0,26.6,12.5,180.3,1010,100,15,0,,0,30,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-01T23:00:00,75.5,75.5,74.9,98.21,0,0,,0,0,17.9,6.7,160,1010.4,100,7.5,0,,0,30,Overcast,cloudy,54863099999
"37.182501,121.409982",2022-07-02T00:00:00,74.2,74.2,71.7,91.86,0,0,,0,0,29.3,11.9,181.3,1010,92.1,15,0,,0,30,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-02T01:00:00,74.2,74.2,71.7,91.86,0,0,,0,0,29.8,11.9,174.5,1010,50.1,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.182501,121.409982",2022-07-02T02:00:00,74.9,74.9,74.6,98.8,0.028,100,rain,0,0,17.9,6.7,200,1009.8,100,5,0,,0,30,"Rain, Overcast",rain,54863099999
"37.182501,121.409982",2022-07-02T03:00:00,73.7,73.7,71.1,91.84,0,0,,0,0,21.3,11.4,179.7,1009,100,15,0,,0,8,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-02T04:00:00,72.4,72.4,71.1,95.82,0,0,,0,0,19.7,11.6,174,1009,100,1.4,0,,0,3,Overcast,cloudy,remote
"37.182501,121.409982",2022-07-02T05:00:00,72.2,72.2,70.8,95.24,0.287,100,rain,0,0,22.4,6.7,270,1010.7,100,11.8,0,,0,3,"Rain, Overcast",rain,54863099999
"37.182501,121.409982",2022-07-02T06:00:00,72.2,72.2,70.8,95.24,0,0,rain,0,0,17.2,8.9,188.5,1010,100,7,15,0.1,0,3,Overcast,cloudy,remote
