name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"38.16087,120.758455",2022-07-01T00:00:00,71.3,71.3,70.1,95.81,0,0,,0,,9.4,9.6,38.1,1005,100,15,0,,0,5,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T01:00:00,70.4,70.4,69.3,96.38,0,0,,0,,5.1,5.1,100.9,1006,100,15,0,,0,3,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T02:00:00,70.7,70.7,70.6,99.45,0.109,100,rain,,,22.4,4.2,41,1007.2,100,12.6,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"38.16087,120.758455",2022-07-01T03:00:00,69.9,69.9,69.3,98.17,0,0,,0,,1.3,0.9,94.2,1007,100,15,0,,0,10,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T04:00:00,70.6,70.6,69.5,96.38,0,0,,0,,5.4,5.1,197.7,1007,98.7,15,0,,0,10,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T05:00:00,70.7,70.7,70.6,99.66,0,0,,0,,22.4,6,120,1007.6,99.9,3.9,3,0,0,10,Overcast,cloudy,"54751099999,54753099999"
"38.16087,120.758455",2022-07-01T06:00:00,71.9,71.9,69.3,91.78,0,0,,0,,13,10.1,249.2,1008,9.2,15,29,0.1,0,10,Clear,clear-day,remote
"38.16087,120.758455",2022-07-01T07:00:00,71.7,71.7,68.6,90.1,0,0,,0,,12.5,9.8,229.3,1008,5,15,251,0.9,3,3,Clear,clear-day,remote
"38.16087,120.758455",2022-07-01T08:00:00,78.6,78.6,75.1,89.05,0.003,100,rain,,,21.6,4.7,127,1008.1,15.3,10.8,440,1.6,4,3,Rain,rain,"54751099999,54753099999"
"38.16087,120.758455",2022-07-01T09:00:00,72.1,72.1,69,90.11,0,0,,0,,10.7,8.9,213.9,1008,96,15,612,2.2,6,3,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T10:00:00,72.4,72.4,69.3,90.12,0,0,,0,,11.2,9.4,219.1,1009,100,15,712,2.6,7,3,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,,15.7,4.5,300,1008.7,100,9.3,802,2.9,8,3,Overcast,cloudy,54751099999
"38.16087,120.758455",2022-07-01T12:00:00,73.1,73.1,69,86.89,0,0,,0,,3.8,3.6,239.4,1008,92.9,15,867,3.1,9,3,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T13:00:00,73.5,73.5,69,85.84,0,0,,0,,2,1.8,148.4,1008,7.3,15,910,3.3,9,5,Clear,clear-day,remote
"38.16087,120.758455",2022-07-01T14:00:00,76.2,76.2,75.5,97.89,0.012,100,rain,,,16.2,8.9,173,1008.3,85.4,4.9,868,3.1,9,3,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"38.16087,120.758455",2022-07-01T15:00:00,74.9,74.9,71.1,88.05,0,0,,0,,9.6,8.5,81.5,1008,100,15,746,2.7,7,3,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T16:00:00,75.1,75.1,71.9,89.68,0,0,,0,,10.5,8.5,82.9,1007,100,15,576,2.1,6,3,Overcast,cloudy,remote
"38.16087,120.758455",2022-07-01T17:00:00,74.1,74.1,73.6,98.13,0.125,100,rain,0,,16.2,6.7,149,1008.4,18.2,18.6,367,1.3,4,3,Rain,rain,"54751099999,54753099999"
"38.16087,120.758455",2022-07-01T18:00:00,74.9,74.9,72.4,91.88,0,0,,0,,6.9,6.9,110.5,1007,83.1,15,243,0.9,2,8,Partially cloudy,partly-cloudy-day,remote
"38.16087,120.758455",2022-07-01T19:00:00,74.6,74.6,72.2,92.43,0,0,,0,,6.3,6.3,144.3,1007,81.5,15,74,0.3,1,8,Partially cloudy,partly-cloudy-day,remote
"38.16087,120.758455",2022-07-01T20:00:00,74.9,74.9,74.1,97.23,0,0,,,,16.2,4.2,181,1007.4,4.9,10.8,3,0,0,3,Clear,clear-night,"54751099999,54753099999"
"38.16087,120.758455",2022-07-01T21:00:00,74,74,71,90.19,0,0,,0,,6.7,6.7,180.7,1008,0.7,14.9,0,,0,3,Clear,clear-night,remote
"38.16087,120.758455",2022-07-01T22:00:00,73.5,73.5,70.6,90.72,0,0,,0,,6.9,6.9,166.7,1008,0.3,15,0,,0,3,Clear,clear-night,remote
"38.16087,120.758455",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,,20.1,6.7,190,1009.5,22.8,6.2,0,,0,3,"Rain, Partially cloudy",rain,54753099999
"38.16087,120.758455",2022-07-02T00:00:00,71.1,71.1,69.9,95.8,0.008,100,rain,0,,6.7,6.7,130.9,1008,85.8,15,0,,0,30,"Rain, Partially cloudy",rain,remote
