name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.423104,120.687165",2022-07-01T00:00:00,74.9,74.9,71.9,90.22,0,0,,0,0,2.7,2,215.1,1006,93.6,15,0,,0,10,Overcast,cloudy,remote
"37.423104,120.687165",2022-07-01T01:00:00,74.2,74.2,71,89.65,0,0,,0,0,13.2,7.4,182.8,1007,72.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.423104,120.687165",2022-07-01T02:00:00,72.3,72.3,71.3,96.75,0.062,100,rain,0,0,22.4,3,98,1007.4,99.6,16.4,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.423104,120.687165",2022-07-01T03:00:00,71.7,71.7,69.3,92.35,0,0,,0,0,13.9,6,220.5,1007,98,15,0,,0,10,Overcast,cloudy,remote
"37.423104,120.687165",2022-07-01T04:00:00,71,71,69,93.47,0,0,,0,0,10.7,5.6,206.7,1008,94.3,15,0,,0,3,Overcast,cloudy,remote
"37.423104,120.687165",2022-07-01T05:00:00,72,72,71.4,97.95,0,0,,0,0,22.4,2.2,120,1007.7,39.1,7.7,1,0,0,10,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.423104,120.687165",2022-07-01T06:00:00,72.1,72.1,69.2,90.67,0,0,,0,0,7.6,4.9,194.3,1009,2.7,15,69,0.2,1,10,Clear,clear-day,remote
"37.423104,120.687165",2022-07-01T07:00:00,74.6,74.6,69.3,83.81,0,0,,0,0,6.9,4.9,193.1,1009,5.1,15,246,0.9,2,10,Clear,clear-day,remote
"37.423104,120.687165",2022-07-01T08:00:00,79.1,79.1,76.2,90.6,0.001,100,rain,0,0,17.8,6,161,1008.3,8,9.1,435,1.6,4,10,Rain,rain,"54751099999,54753099999"
"37.423104,120.687165",2022-07-01T09:00:00,80.5,83.9,70.1,70.59,0,0,,0,0,9.2,6.3,188.6,1009,87.5,15,612,2.2,6,10,Partially cloudy,partly-cloudy-day,remote
"37.423104,120.687165",2022-07-01T10:00:00,82.8,87.2,70.6,66.63,0,0,,0,0,9.2,6.7,196.3,1009,99.9,15,703,2.5,7,30,Overcast,cloudy,remote
"37.423104,120.687165",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,0,15.7,4.5,300,1008.7,100,9.3,776,2.8,8,30,Overcast,cloudy,54751099999
"37.423104,120.687165",2022-07-01T12:00:00,86.3,90.9,69.7,57.9,0,0,,0,0,11,7.8,189.3,1008,23.5,12.4,834,3,8,30,Partially cloudy,partly-cloudy-day,remote
"37.423104,120.687165",2022-07-01T13:00:00,87.5,92.2,69.5,55.29,0,0,,0,0,11.6,8.9,182.3,1008,33.1,12.1,922,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.423104,120.687165",2022-07-01T14:00:00,75.1,75.1,74,96.22,0.012,100,rain,0,0,18.7,8.9,139,1008.9,14.6,13.6,848,3.1,8,30,Rain,rain,"54751099999,54753099999"
"37.423104,120.687165",2022-07-01T15:00:00,86.6,91.8,70.4,58.66,0,0,,0,0,13.6,11.2,189.4,1007,17.3,15,756,2.7,8,30,Clear,clear-day,remote
"37.423104,120.687165",2022-07-01T16:00:00,85.2,90.3,70.8,62.18,0,0,,0,0,13.9,10.7,188.6,1007,24.7,15,604,2.2,6,30,Partially cloudy,partly-cloudy-day,remote
"37.423104,120.687165",2022-07-01T17:00:00,74.6,74.6,73.1,94.83,0.239,100,rain,0,0,18.7,6.7,143,1008.3,7.4,18.6,425,1.5,4,30,Rain,rain,"54751099999,54753099999"
"37.423104,120.687165",2022-07-01T18:00:00,82.5,87.5,71.9,70.36,0,0,,0,0,15.9,8.9,181.7,1007,5,15,246,0.9,2,60,Clear,clear-day,remote
"37.423104,120.687165",2022-07-01T19:00:00,79.2,79.2,72.1,78.68,0,0,,0,0,12.1,6.9,177.1,1008,74.1,15,79,0.3,1,30,Partially cloudy,partly-cloudy-day,remote
"37.423104,120.687165",2022-07-01T20:00:00,74.9,74.9,74.4,98.23,0,0,,0,0,18.7,3,187,1007.7,4.9,12.2,2,0,0,30,Clear,clear-night,"54751099999,54753099999"
"37.423104,120.687165",2022-07-01T21:00:00,76.6,76.6,71.3,83.94,0,0,,0,0,9.4,6.5,163.7,1009,5,15,0,,0,30,Clear,clear-night,remote
"37.423104,120.687165",2022-07-01T22:00:00,74.4,74.4,72.1,92.43,0,0,,0,0,14.5,8.1,168.2,1009,27.6,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.423104,120.687165",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,0,20.1,6.7,190,1009.5,56.2,6.2,0,,0,30,"Rain, Partially cloudy",rain,54753099999
"37.423104,120.687165",2022-07-02T00:00:00,73.7,73.7,71.5,92.97,0.004,100,rain,0,0,15.4,8.9,177.1,1009,87.2,15,0,,0,30,"Rain, Partially cloudy",rain,remote
"37.423104,120.687165",2022-07-02T01:00:00,73.7,73.7,71,91.28,0.004,100,rain,0,0,15.7,9.6,181.7,1009,98.9,15,0,,0,30,"Rain, Overcast",rain,remote
"37.423104,120.687165",2022-07-02T02:00:00,76.9,76.9,76.7,99.19,0,0,,0,0,18.7,5.2,187,1008.8,99.1,6.6,0,,0,30,Overcast,cloudy,"54751099999,54753099999"
"37.423104,120.687165",2022-07-02T03:00:00,74,74,71.3,91.3,0,0,,0,0,15,6.5,186.1,1008,81.5,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.423104,120.687165",2022-07-02T04:00:00,74,74,71.3,91.3,0,0,,0,0,11.9,6.7,190.5,1008,83.3,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.423104,120.687165",2022-07-02T05:00:00,75.8,75.8,74.6,96.01,0,0,rain,0,0,15.7,4.4,174,1009.4,79.9,9.9,1,0,0,30,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.423104,120.687165",2022-07-02T06:00:00,74.6,74.6,71.7,90.76,0.004,100,rain,0,0,8.1,5.8,188.8,1009,32.7,15,45,0.2,0,30,"Rain, Partially cloudy",rain,remote
"37.423104,120.687165",2022-07-02T07:00:00,76.7,76.7,72.4,86.54,0,0,,0,0,8.3,6.9,188.7,1009,26.5,15,214,0.8,2,30,Partially cloudy,partly-cloudy-day,remote
"37.423104,120.687165",2022-07-02T08:00:00,78.7,78.7,71.8,79.53,0,0,,0,0,15.7,9.7,174,1009.9,29.5,18.6,399,1.4,4,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.423104,120.687165",2022-07-02T09:00:00,79.2,79.2,72.8,80.61,0.075,100,rain,0,0,11,9.8,177.3,1009,46.7,9.9,566,2,6,60,"Rain, Partially cloudy",rain,remote
"37.423104,120.687165",2022-07-02T10:00:00,80.3,84.7,72.9,78.28,0.055,100,rain,0,0,12.1,10.1,180.3,1009,34.6,15,654,2.4,7,60,"Rain, Partially cloudy",rain,remote
"37.423104,120.687165",2022-07-02T11:00:00,84.3,90.9,73.2,69.53,0,0,,0,0,16.4,6,190,1009.9,73.8,18.6,810,2.9,8,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.423104,120.687165",2022-07-02T12:00:00,85,92,73.3,68.1,0.063,100,rain,0,0,11.9,9.6,196.3,1009,51.5,15,862,3.1,9,60,"Rain, Partially cloudy",rain,remote
"37.423104,120.687165",2022-07-02T13:00:00,85.9,92.9,72.9,65.37,0.091,100,rain,0,0,13.9,12.1,201.3,1008,21.2,10.1,879,3.2,9,60,"Rain, Partially cloudy",rain,remote
"37.423104,120.687165",2022-07-02T14:00:00,87.5,96.9,74.8,66.1,0,0,,0,0,17.9,7.5,135,1008.4,35.1,18.6,856,3.1,9,60,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.423104,120.687165",2022-07-02T15:00:00,86.1,92.4,72.1,63.05,0,0,,0,0,17,15,200.2,1007,29.8,15,728,2.6,7,60,Partially cloudy,partly-cloudy-day,remote
