name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.383929,120.736672",2022-07-01T00:00:00,74.9,74.9,71.9,90.22,0,0,,0,0,2.7,2,215.1,1006,93.6,15,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-07-01T01:00:00,74.2,74.2,71,89.65,0,0,,0,0,13.2,7.4,182.8,1007,72.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.383929,120.736672",2022-07-01T02:00:00,72.2,72.2,71.4,97.23,0.053,100,rain,0,0,22.4,2.9,103,1007.6,99.6,14.7,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999,54863099999"
"37.383929,120.736672",2022-07-01T03:00:00,71.7,71.7,69.3,92.35,0,0,,0,0,13.9,6,220.5,1007,98,15,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-07-01T04:00:00,71,71,69,93.47,0,0,,0,0,10.7,5.6,206.7,1008,94.3,15,0,,0,3,Overcast,cloudy,remote
"37.383929,120.736672",2022-07-01T05:00:00,72.5,72.5,71.9,98.18,0.001,100,rain,0,0,22.4,2.7,139,1007.9,39.1,7.3,1,0,0,10,"Rain, Partially cloudy",rain,"54751099999,54753099999,54863099999"
"37.383929,120.736672",2022-07-01T06:00:00,72.1,72.1,69.2,90.67,0,0,,0,0,7.6,4.9,194.3,1009,2.7,15,69,0.2,1,10,Clear,clear-day,remote
"37.383929,120.736672",2022-07-01T07:00:00,74.6,74.6,69.3,83.81,0,0,,0,0,6.9,4.9,193.1,1009,5.1,15,246,0.9,2,10,Clear,clear-day,remote
"37.383929,120.736672",2022-07-01T08:00:00,78.6,78.6,76,91.91,0.001,100,rain,0,0,18.8,5.7,161,1008.6,8,9,435,1.6,4,10,Rain,rain,"54751099999,54753099999,54863099999"
"37.383929,120.736672",2022-07-01T09:00:00,80.5,83.9,70.1,70.59,0,0,,0,0,9.2,6.3,188.6,1009,87.5,15,612,2.2,6,10,Partially cloudy,partly-cloudy-day,remote
