name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.383929,120.736672",2022-11-28T00:00:00,55.1,55.1,53,92.42,0.004,100,rain,0,0,25.9,10.1,164,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.383929,120.736672",2022-11-28T01:00:00,55.1,55.1,53.5,94.26,0,0,,0,0,25.9,10.5,162.4,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-11-28T02:00:00,54.9,54.9,53.9,96.14,0,0,,0,0,21,9.2,159.9,1011,100,11.7,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-11-28T03:00:00,54.9,54.9,54.2,97.41,0,0,,0,0,17.2,7.8,171.1,1010,100,8.3,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-11-28T04:00:00,55.1,55.1,54.4,97.41,0,0,,0,0,11.2,5.4,184.7,1010,100,4.1,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-11-28T05:00:00,55.1,55.1,54.6,98.05,0,0,,0,0,1.6,1.3,216.3,1010,100,4,0,,0,10,Overcast,cloudy,remote
"37.383929,120.736672",2022-11-28T06:00:00,55.3,55.3,54.8,98.06,0.008,100,rain,0,0,4.5,3.6,237.3,1011,100,3.4,0,,0,10,"Rain, Overcast",rain,remote
"37.383929,120.736672",2022-11-28T07:00:00,55.3,55.3,54.9,98.7,0.043,100,rain,0,0,2.9,2.7,196.2,1010,100,1.4,0,,0,10,"Rain, Overcast",rain,remote
"37.383929,120.736672",2022-11-28T08:00:00,55.7,55.7,55.1,98.06,0.047,100,rain,0,0,8.1,5.4,184.1,1010,100,1.1,2,0,0,10,"Rain, Overcast",rain,remote
"37.383929,120.736672",2022-11-28T09:00:00,55.7,55.7,55.1,98.06,0.067,100,rain,0,0,8.3,4.7,261.9,1011,100,4.6,13,0,0,10,"Rain, Overcast",rain,
"37.383929,120.736672",2022-11-28T10:00:00,55.7,55.7,55.1,98.06,0.008,100,rain,0,0,9.2,4.5,258,1011,100,9.5,18,0.1,0,10,"Rain, Overcast",rain,
"37.383929,120.736672",2022-11-28T11:00:00,55.8,55.8,54.6,95.53,0.004,100,rain,0,0,14.5,6.5,282.6,1011,100,3.3,54,0.2,1,10,"Rain, Overcast",rain,
"37.383929,120.736672",2022-11-28T12:00:00,53.9,53.9,52.8,96.12,0.004,100,rain,0,0,13.2,7.2,301.9,1011,100,2.7,22,0.1,0,10,"Rain, Overcast",rain,
"37.383929,120.736672",2022-11-28T13:00:00,50.4,50.4,49,94.78,0.004,100,rain,0,0,16.8,12.3,343.6,1012,100,0.4,56,0.2,1,10,"Rain, Overcast",rain,
"37.383929,120.736672",2022-11-28T14:00:00,47.9,42.9,46.1,93.45,0,100,rain,0,0,19,11.6,350.3,1012,100,4.7,12,0,0,10,"Rain, Overcast",rain,
"37.383929,120.736672",2022-11-28T15:00:00,47,41.8,44.5,90.9,0,0,rain,0,0,18.8,11.6,352.6,1013,100,15,18,0.1,0,10,Overcast,cloudy,
"37.383929,120.736672",2022-11-28T16:00:00,46.3,40.3,43.4,89.63,0.004,0,rain,0,0,22.6,13.6,350,1015,100,15,9,0,0,10,Overcast,cloudy,
"37.383929,120.736672",2022-11-28T17:00:00,45.4,38.8,42.5,89.59,0,0,,0,0,26.2,14.8,350.1,1016,100,15,3,0,0,10,Overcast,cloudy,
"37.383929,120.736672",2022-11-28T18:00:00,44.9,38.1,41.3,87.11,0,0,,0,0,27.7,15,352.3,1016,100,15,0,,0,10,Overcast,cloudy,
"37.383929,120.736672",2022-11-28T19:00:00,44.9,38.3,40.4,84.13,0,0,,0,0,25.9,14.3,350.3,1017,100,15,0,,0,10,Overcast,cloudy,
"37.383929,120.736672",2022-11-28T20:00:00,44.5,37.4,39.3,81.78,0,0,,0,0,26.4,15.9,352.1,1018,100,15,0,,0,10,Overcast,cloudy,
"37.383929,120.736672",2022-11-28T21:00:00,44.1,38.3,38.6,80.61,0,0,,0,0,23.5,11.2,351.2,1018,16.9,15,0,,0,10,Clear,clear-night,
