name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.136161,120.205208",2022-11-28T00:00:00,56,56,54.9,96.16,0,0,,0,0,23.9,11.9,151.3,1012,99.7,15,0,,0,10,Overcast,cloudy,remote
"37.136161,120.205208",2022-11-28T01:00:00,56,56,54.9,96.16,0,0,,0,0,23.5,12.3,147.3,1011,100,14.9,0,,0,10,Overcast,cloudy,remote
"37.136161,120.205208",2022-11-28T02:00:00,56,56,55.5,98.06,0,0,,0,0,22.1,11.2,149.8,1011,100,0.2,0,,0,10,Overcast,fog,remote
"37.136161,120.205208",2022-11-28T03:00:00,56.4,56.4,55.7,97.43,0,0,,0,0,19.9,8.9,155.8,1010,100,0.4,0,,0,10,Overcast,fog,remote
"37.136161,120.205208",2022-11-28T04:00:00,56,56,55.5,98.06,0,0,,0,0,17.4,5.8,182.5,1011,100,4.8,0,,0,10,Overcast,cloudy,remote
"37.136161,120.205208",2022-11-28T05:00:00,55.7,55.7,55.3,98.7,0,0,,0,0,2.9,2.9,232.7,1010,100,13.7,0,,0,10,Overcast,cloudy,remote
"37.136161,120.205208",2022-11-28T06:00:00,55.3,55.3,55.1,99.35,0.024,100,rain,0,0,7.6,4,285.5,1011,100,4.1,0,,0,10,"Rain, Overcast",rain,remote
"37.136161,120.205208",2022-11-28T07:00:00,54.8,54.8,54.6,99.35,0.039,100,rain,0,0,1.3,0.4,112,1010,100,0.4,0,,0,10,"Rain, Overcast",rain,remote
"37.136161,120.205208",2022-11-28T08:00:00,54.9,54.9,54.6,98.7,0.055,100,rain,0,0,4,3.1,158.1,1010,100,1.1,3,0,0,10,"Rain, Overcast",rain,remote
"37.136161,120.205208",2022-11-28T09:00:00,55.3,55.3,54.6,97.42,0.024,95.2,rain,0,0,9.8,5.8,270.6,1012,100,2.8,30,0.1,0,10,"Rain, Overcast",rain,
"37.136161,120.205208",2022-11-28T10:00:00,53.7,53.7,52.8,96.76,0.039,95.2,rain,0,0,16.3,10.7,282.1,1012,100,0.2,26,0.1,0,10,"Rain, Overcast",rain,
"37.136161,120.205208",2022-11-28T11:00:00,52.4,52.4,51.5,96.74,0.012,95.2,rain,0,0,16.8,8.5,282.6,1012,100,0.1,18,0.1,0,10,"Rain, Overcast",rain,
"37.136161,120.205208",2022-11-28T12:00:00,53.1,53.1,52.1,96.11,0.004,95.2,rain,0,0,16.3,10.7,311.9,1012,100,0.1,60,0.2,1,10,"Rain, Overcast",rain,
"37.136161,120.205208",2022-11-28T13:00:00,50.4,50.4,48.8,94.15,0.004,95.2,rain,0,0,21,14.8,355,1012,100,10.2,19,0.1,0,10,"Rain, Overcast",rain,
"37.136161,120.205208",2022-11-28T14:00:00,49.4,44,47,91.61,0,95.2,rain,0,0,21,14.3,357.6,1013,100,15,30,0.1,0,10,"Rain, Overcast",rain,
"37.136161,120.205208",2022-11-28T15:00:00,47.7,41.9,44.9,89.69,0,0,,0,0,22.1,14.3,358.5,1014,100,15,12,0,0,10,Overcast,cloudy,
"37.136161,120.205208",2022-11-28T16:00:00,47,40.6,43.6,87.83,0,0,,0,0,25.5,16.1,356.7,1015,100,15,22,0.1,0,10,Overcast,cloudy,
"37.136161,120.205208",2022-11-28T17:00:00,45.9,38.7,42.7,88.38,0,0,,0,0,29.1,17.9,354.9,1016,100,15,5,0,0,10,Overcast,cloudy,
