name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.727108,120.873699",2022-07-01T00:00:00,75.5,75.5,71.9,88.61,0,0,,0,0,8.3,6.9,153.4,1006,100,15,0,,0,10,Overcast,cloudy,remote
"37.727108,120.873699",2022-07-01T01:00:00,74.2,74.2,71.9,92.42,0,0,,0,0,6.7,3.6,165.4,1006,95.3,15,0,,0,10,Overcast,cloudy,remote
"37.727108,120.873699",2022-07-01T02:00:00,71,71,70.7,98.93,0.1,100,rain,0,0,22.4,4,52,1007.2,99.9,13.3,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.727108,120.873699",2022-07-01T03:00:00,72.4,72.4,71,95.24,0,0,,0,0,12.8,7.2,257.6,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.727108,120.873699",2022-07-01T04:00:00,72.6,72.6,71.1,95.24,0,0,,0,0,11.2,6.9,249.4,1007,99.5,15,0,,0,10,Overcast,cloudy,remote
"37.727108,120.873699",2022-07-01T05:00:00,70.9,70.9,70.7,99.33,0,0,,0,0,22.4,5.2,120,1007.6,70.6,4.6,1,0,0,10,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.727108,120.873699",2022-07-01T06:00:00,73.7,73.7,70.4,89.62,0,0,,0,0,7.6,4.5,226.1,1008,5,15,58,0.2,1,10,Clear,clear-day,remote
"37.727108,120.873699",2022-07-01T07:00:00,75.3,75.3,69.5,82.33,0,0,,0,0,6.3,4.5,211,1009,2,15,250,0.9,3,10,Clear,clear-day,remote
"37.727108,120.873699",2022-07-01T08:00:00,78.7,78.7,75.3,89.34,0.003,100,rain,0,0,20.9,5,133,1008.2,25.1,10.5,438,1.6,4,10,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.727108,120.873699",2022-07-01T09:00:00,78.5,78.5,69.9,74.86,0,0,,0,0,5.8,3.1,131.4,1009,98.8,15,609,2.2,6,10,Overcast,cloudy,remote
"37.727108,120.873699",2022-07-01T10:00:00,80.7,84.3,70.4,71.04,0,0,,0,0,6.9,2.5,142.5,1009,95.2,15,699,2.5,7,10,Overcast,cloudy,remote
"37.727108,120.873699",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,0,15.7,4.5,300,1008.7,100,9.3,814,2.9,8,10,Overcast,cloudy,54751099999
"37.727108,120.873699",2022-07-01T12:00:00,81.6,85.6,70.6,69.41,0,0,,0,0,7.8,3.6,66.4,1008,34.2,12.1,806,2.9,8,10,Partially cloudy,partly-cloudy-day,remote
"37.727108,120.873699",2022-07-01T13:00:00,82.3,86.5,70.6,67.81,0,0,,0,0,8.9,5.4,87.7,1008,21.5,12.1,915,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"37.727108,120.873699",2022-07-01T14:00:00,76,76,75.2,97.57,0.012,100,rain,0,0,16.6,8.9,167,1008.4,96.8,6.5,827,3,8,30,"Rain, Overcast",rain,"54751099999,54753099999"
"37.727108,120.873699",2022-07-01T15:00:00,80.1,83.9,71.5,75.01,0,0,rain,0,0,5.8,0.4,96.7,1007,6.8,3.5,257,0.9,3,30,Clear,clear-day,remote
"37.727108,120.873699",2022-07-01T16:00:00,81.8,86.2,71.5,71.15,0,0,rain,0,0,12.8,4.9,227.3,1007,13.2,3.2,608,2.2,6,30,Clear,clear-day,remote
"37.727108,120.873699",2022-07-01T17:00:00,74.2,74.2,73.5,97.5,0.146,100,rain,0,0,16.6,6.7,148,1008.4,15.5,18.6,430,1.5,4,30,Rain,rain,"54751099999,54753099999"
"37.727108,120.873699",2022-07-01T18:00:00,80.1,84.2,72.4,77.32,0,0,rain,0,0,13,4.7,240.9,1007,7.7,2.7,247,0.9,2,30,Clear,clear-day,remote
"37.727108,120.873699",2022-07-01T19:00:00,78.5,78.5,72.8,82.54,0,0,,0,0,9.6,4,235,1007,5,5.6,80,0.3,1,30,Clear,clear-day,remote
"37.727108,120.873699",2022-07-01T20:00:00,74.9,74.9,74.1,97.42,0,0,,0,0,16.6,4,182,1007.4,3.5,11.1,3,0,0,30,Clear,clear-night,"54751099999,54753099999"
"37.727108,120.873699",2022-07-01T21:00:00,77.4,77.4,72.1,83.48,0,0,,0,0,4,3.8,138,1008,3.5,15,0,,0,30,Clear,clear-night,remote
"37.727108,120.873699",2022-07-01T22:00:00,76.6,76.6,71.7,84.97,0,0,,0,0,11.9,6.7,165.8,1009,3.1,15,0,,0,30,Clear,clear-night,remote
"37.727108,120.873699",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,0,20.1,6.7,190,1009.5,1,6.2,0,,0,30,Rain,rain,54753099999
"37.727108,120.873699",2022-07-02T00:00:00,74.7,74.7,72.4,92.44,0.024,100,rain,0,0,12.1,6.9,173.2,1009,1.8,15,0,,0,30,Rain,rain,remote
"37.727108,120.873699",2022-07-02T01:00:00,73.7,73.7,71.9,94.11,0.063,100,rain,0,0,16.6,8.3,179.2,1009,7.3,12.9,0,,0,30,Rain,rain,remote
"37.727108,120.873699",2022-07-02T02:00:00,75.9,75.9,75.9,99.74,0,0,,0,0,16.6,6.2,169,1008.7,11.9,7.2,0,,0,30,Clear,clear-night,"54751099999,54753099999"
"37.727108,120.873699",2022-07-02T03:00:00,73.8,73.8,71.7,92.98,0,0,,0,0,10.5,5.8,180.1,1008,3.9,15,0,,0,30,Clear,clear-night,remote
"37.727108,120.873699",2022-07-02T04:00:00,73.7,73.7,71.9,94.11,0,0,,0,0,7.6,5.4,173.5,1008,1,15,0,,0,30,Clear,clear-night,remote
"37.727108,120.873699",2022-07-02T05:00:00,75,75,74.6,98.69,0,0,,0,0,15.7,7.5,138,1009.3,2.3,5.3,2,0,0,30,Clear,clear-day,"54751099999,54753099999"
"37.727108,120.873699",2022-07-02T06:00:00,75.1,75.1,72.6,91.89,0,0,,0,0,8.3,6.3,179.7,1008,0,15,76,0.3,1,30,Clear,clear-day,remote
"37.727108,120.873699",2022-07-02T07:00:00,77.8,77.8,72.8,84.52,0,0,,0,0,7.6,6.5,176.3,1009,0,15,244,0.9,2,60,Clear,clear-day,remote
"37.727108,120.873699",2022-07-02T08:00:00,79.4,79.4,71.2,76.1,0,0,,0,0,15.7,10.7,164,1009.7,5,18.6,432,1.6,4,60,Clear,clear-day,"54751099999,54753099999"
"37.727108,120.873699",2022-07-02T09:00:00,81.1,85.4,71.9,73.73,0.055,100,rain,0,0,6.7,4.3,178.1,1009,52.1,9.5,610,2.2,6,30,"Rain, Partially cloudy",rain,remote
