name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.56,121.09",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,,17.4,4.5,130,1007,50,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,,28.2,4.5,140,1007,0,3.7,0,,0,3,Clear,clear-night,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T02:00:00,73,73,72.5,98.35,0,0,,,,21.9,2.9,139,1008.3,88.2,6.5,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54863099999"
"36.56,121.09",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,,0,,22.6,6.7,150,1007,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,,18.1,11.2,160,1007,89,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T05:00:00,74.8,74.8,74.5,98.86,0.004,100,rain,0,,21.9,5.3,168,1008.6,88,6.1,2,0,0,10,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54863099999"
"36.56,121.09",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,,0,,16.8,11.2,160,1008,89,6.2,64,0.2,1,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,,17.9,11.2,170,1008,89,6.2,113,0.4,1,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T08:00:00,76.4,76.4,75.8,97.95,0,0,,,,21.9,4.7,170,1009.6,88,7.7,239,0.9,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.56,121.09",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,,17.7,8.9,180,1008,89,6.2,369,1.3,4,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,,15.2,8.9,150,1008,89,6.2,750,2.7,8,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T11:00:00,77.9,77.9,76.7,96.36,0,0,,0,,17.9,6.9,170,1010.1,25,3.9,857,3.1,9,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.56,121.09",2022-07-01T12:00:00,84.2,96.1,78.8,83.9,0,0,,0,,21,13.4,160,1008,27.5,6.2,914,3.3,9,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T13:00:00,84.2,94.2,77,79.06,0,0,,0,,23.9,15.7,160,1008,27.5,6.2,914,3.3,9,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T14:00:00,77.9,77.9,76.6,95.82,0,0,,,,17.9,8.7,179,1009.3,25,3.4,855,3.1,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.56,121.09",2022-07-01T15:00:00,82.4,90.9,77,83.79,0,0,,0,,26.4,15.7,150,1007,50,6.2,742,2.7,7,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T16:00:00,80.6,87.1,77,88.84,0,0,,0,,26.6,13.4,160,1007,27.5,6.2,597,2.1,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.56,121.09",2022-07-01T17:00:00,76.5,76.5,75.8,97.63,0,0,,0,,18.1,11,178,1009,25,4,419,1.5,4,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
