name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.404959,120.227931",2022-11-28T00:00:00,56.6,56.6,54.2,91.86,0.008,100,rain,0,,27.1,15.7,157.9,1012,100,12.8,0,,0,10,"Rain, Overcast",rain,remote
"37.404959,120.227931",2022-11-28T01:00:00,56.9,56.9,54.6,91.87,0,0,,0,,26.6,16.3,156.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.404959,120.227931",2022-11-28T02:00:00,56.7,56.7,54.9,93.69,0,0,,,,23.5,14.5,158.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.404959,120.227931",2022-11-28T03:00:00,56.6,56.6,55.1,94.92,0,0,,0,,18.6,11,168.2,1010,100,9.4,0,,0,10,Overcast,cloudy,remote
"37.404959,120.227931",2022-11-28T04:00:00,56,56,55.1,96.79,0,0,rain,0,,9.8,6.3,198.9,1011,100,9.7,0,,0,10,Overcast,cloudy,remote
"37.404959,120.227931",2022-11-28T05:00:00,55.8,55.8,55.1,97.42,0.004,100,rain,0,,5.6,5.1,225.5,1010,100,9.8,0,,0,10,"Rain, Overcast",rain,remote
"37.404959,120.227931",2022-11-28T06:00:00,54.8,54.8,54.4,98.7,0.047,100,rain,0,,9.4,6.5,256,1011,100,2.1,0,,0,10,"Rain, Overcast",rain,remote
"37.404959,120.227931",2022-11-28T07:00:00,54.6,54.6,54.2,98.7,0.091,100,rain,0,,4.5,4.3,178.4,1010,100,0.4,0,,0,10,"Rain, Overcast",rain,remote
"37.404959,120.227931",2022-11-28T08:00:00,54.8,54.8,54.4,98.7,0.035,100,rain,,,6.3,4,224.7,1010,100,9.9,9,0,0,10,"Rain, Overcast",rain,remote
"37.404959,120.227931",2022-11-28T09:00:00,54.2,54.2,53.9,98.69,0.012,100,rain,0,,9.8,6.7,254.8,1011,100,0.6,26,0.1,0,10,"Rain, Overcast",rain,
"37.404959,120.227931",2022-11-28T10:00:00,53.3,53.3,52.8,98.04,0.016,100,rain,0,,16.6,11.9,256.5,1012,100,0.2,51,0.2,1,10,"Rain, Overcast",rain,
"37.404959,120.227931",2022-11-28T11:00:00,52.8,52.8,52.4,98.69,0.024,100,rain,0,,15.4,9.6,330,1012,100,0.5,11,0,0,10,"Rain, Overcast",rain,
"37.404959,120.227931",2022-11-28T12:00:00,51.5,51.5,50.3,95.44,0.012,100,rain,0,,19.5,17.4,0.4,1012,100,3.4,31,0.1,0,10,"Rain, Overcast",rain,
