name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.705843,120.917186",2022-07-01T00:00:00,72.9,72.9,71.3,94.67,0,0,,0,,12.3,9.4,128.9,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.705843,120.917186",2022-07-01T01:00:00,71.9,71.9,70.8,96.4,0,0,,0,,12.1,8.9,126.9,1006,98.5,15,0,,0,3,Overcast,cloudy,remote
"37.705843,120.917186",2022-07-01T02:00:00,71.1,71.1,70.7,98.8,0.098,100,rain,,,22.4,3.9,55,1007.2,95.4,13.5,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.705843,120.917186",2022-07-01T03:00:00,72.8,72.8,70.2,91.81,0,0,,0,,13.6,9.2,261.2,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.705843,120.917186",2022-07-01T04:00:00,71.9,71.9,70.2,94.65,0,0,,0,,8.5,6.5,272.6,1007,99.5,15,0,,0,10,Overcast,cloudy,remote
"37.705843,120.917186",2022-07-01T05:00:00,71,71,70.8,99.25,0,0,,0,,22.4,5.1,120,1007.6,92.3,4.8,1,0,0,10,Overcast,cloudy,"54751099999,54753099999"
"37.705843,120.917186",2022-07-01T06:00:00,72.8,72.8,69.9,90.69,0,0,,0,,6.5,4.7,192.5,1008,5,15,40,0.1,0,10,Clear,clear-day,remote
"37.705843,120.917186",2022-07-01T07:00:00,73.5,73.5,69.7,87.98,0,0,,0,,5.6,4.9,192.9,1009,0.4,15,251,0.9,3,10,Clear,clear-day,remote
"37.705843,120.917186",2022-07-01T08:00:00,78.8,78.8,75.4,89.42,0.003,100,rain,,,20.7,5,135,1008.2,28.3,10.4,439,1.6,4,10,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.705843,120.917186",2022-07-01T09:00:00,75.8,75.8,70.2,82.87,0,0,,0,,4.3,3.4,118.5,1009,86.8,15,608,2.2,6,10,Partially cloudy,partly-cloudy-day,remote
