name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.705843,120.917186",2022-11-28T00:00:00,56.2,56.2,53,88.87,0.004,100,rain,0,,25.1,13.6,162.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.705843,120.917186",2022-11-28T01:00:00,56.6,56.6,53.3,88.88,0,0,,0,,28,15.4,164.1,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.705843,120.917186",2022-11-28T02:00:00,56.6,56.6,53.9,90.66,0,0,,,,25.1,14.1,157.7,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.705843,120.917186",2022-11-28T03:00:00,56.6,56.6,54.1,91.25,0,0,,0,,20.1,11,156.1,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.705843,120.917186",2022-11-28T04:00:00,56.2,56.2,54.2,93.06,0,0,,0,,13.2,7.8,188.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.705843,120.917186",2022-11-28T05:00:00,56.4,56.4,54.8,94.29,0.004,100,rain,0,,5.1,3.8,234,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.705843,120.917186",2022-11-28T06:00:00,56.4,56.4,54.9,94.91,0.008,100,rain,0,,4.7,4.7,237.1,1010,100,8.3,0,,0,10,"Rain, Overcast",rain,remote
"37.705843,120.917186",2022-11-28T07:00:00,56,56,54.9,96.16,0.039,100,rain,0,,4.5,4.3,226.2,1010,100,4.3,0,,0,10,"Rain, Overcast",rain,remote
"37.705843,120.917186",2022-11-28T08:00:00,56.2,56.2,55.3,96.79,0.051,100,rain,,,5.8,5.4,205,1010,100,5.9,3,0,0,10,"Rain, Overcast",rain,remote
"37.705843,120.917186",2022-11-28T09:00:00,56.4,56.4,55.5,96.79,0.035,100,rain,0,,6,5.6,266.4,1011,100,15,11,0,0,10,"Rain, Overcast",rain,
"37.705843,120.917186",2022-11-28T10:00:00,56.4,56.4,55.5,96.79,0.012,100,rain,0,,13.2,8.7,279.2,1011,100,15,18,0.1,0,10,"Rain, Overcast",rain,
"37.705843,120.917186",2022-11-28T11:00:00,55.5,55.5,54.8,97.42,0.008,100,rain,0,,18.3,12.5,298.2,1011,100,5.1,28,0.1,0,10,"Rain, Overcast",rain,
"37.705843,120.917186",2022-11-28T12:00:00,53.3,53.3,52.2,96.11,0.004,100,rain,0,,16.1,14.3,333.3,1011,100,11.2,23,0.1,0,10,"Rain, Overcast",rain,
"37.705843,120.917186",2022-11-28T13:00:00,50.6,50.6,48.5,92.27,0.008,100,rain,0,,22.8,20.8,346.4,1012,100,15,22,0.1,0,10,"Rain, Overcast",rain,
"37.705843,120.917186",2022-11-28T14:00:00,49.9,43.5,46.8,89.18,0.004,100,rain,,,22.6,20.1,350.7,1012,100,15,17,0.1,0,10,"Rain, Overcast",rain,
"37.705843,120.917186",2022-11-28T15:00:00,49,42.2,45.6,87.93,0,9.5,,0,,22.8,20.4,347.8,1013,100,15,28,0.1,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T16:00:00,48.3,41,44.7,87.29,0.004,9.5,rain,0,,24.8,22.1,347.2,1015,100,15,23,0.1,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T17:00:00,47.7,39.8,44,86.67,0,9.5,,0,,29.1,24.8,346.3,1016,100,15,3,0,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T18:00:00,47.7,40,42.9,83.16,0,9.5,,0,,28.2,23.3,346.9,1017,100,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T19:00:00,47.7,39.9,42.5,82.02,0,9.5,,0,,28.4,24.4,347.3,1017,100,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T20:00:00,47.4,39.6,41.1,78.65,0,9.5,,,,28,23.3,348.5,1018,100,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T21:00:00,47.4,40.6,40.2,75.95,0,0,,0,,22.6,17.9,351.5,1018,77.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.705843,120.917186",2022-11-28T22:00:00,47.4,40,39.3,73.34,0,0,,0,,25.5,20.8,345.9,1018,95.6,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-28T23:00:00,47.6,40.1,38,69.34,0,0,,0,,27.5,21.7,346.8,1019,100,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-29T00:00:00,47.7,39.8,37.3,66.96,0,0,,0,,28.2,24.6,349.1,1020,100,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-29T01:00:00,47,38.6,36.2,65.93,0,0,,0,,28.4,25.9,352.8,1020,100,15,0,,0,10,Overcast,cloudy,
"37.705843,120.917186",2022-11-29T02:00:00,45.9,36.9,34.4,63.94,0,0,,,,30.4,27.5,354.2,1021,100,15,0,,0,10,Overcast,cloudy,
