name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.24,121.34",2022-07-01T00:00:00,73.8,73.8,71.1,91.29,0,0,,0,0,19.9,9.8,133,1006,100,15,0,,0,3,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T01:00:00,73.5,73.5,70.8,91.28,0,0,,0,0,20.1,6.7,163.3,1007,100,15,0,,0,10,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T02:00:00,72.6,72.6,72.2,98.79,0,0,rain,0,0,22.4,2.2,140,1008.5,100,7.5,0,,0,10,Overcast,cloudy,54863099999
"37.24,121.34",2022-07-01T03:00:00,71.9,71.9,70.2,94.65,0,0,,0,0,14.1,6,187.4,1007,85.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.24,121.34",2022-07-01T04:00:00,71.1,71.1,69.7,95.22,0,0,,0,0,19.7,9.2,190.2,1008,98.2,9.3,0,,0,10,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T05:00:00,74.9,74.9,74.6,98.8,0.004,100,rain,0,0,22.4,4.5,170,1008.8,72,6.2,1,0,0,10,"Rain, Partially cloudy",rain,54863099999
"37.24,121.34",2022-07-01T06:00:00,72.8,72.8,70.6,92.95,0,0,,0,0,11.4,5.8,188.1,1009,48.4,15,54,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
"37.24,121.34",2022-07-01T07:00:00,74.9,74.9,70.6,86.45,0,0,,0,0,9.4,5.8,190.3,1009,97.8,15,222,0.8,2,10,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T08:00:00,76.2,76.2,75.8,98.81,0,0,,0,0,22.4,4.5,170,1009.8,94.2,8.1,386,1.4,4,10,Overcast,cloudy,54863099999
"37.24,121.34",2022-07-01T09:00:00,79.4,79.4,72.2,78.69,0,0,,0,0,10.3,7.6,182.6,1009,91.2,15,549,2,5,30,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T10:00:00,82.1,87.5,72.8,73.38,0,0,,0,0,10.1,8.1,177.2,1009,4.7,15,731,2.6,7,30,Clear,clear-day,remote
"37.24,121.34",2022-07-01T11:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,6.7,170,1010.4,11.3,3.1,867,3.1,9,30,Clear,clear-day,54863099999
"37.24,121.34",2022-07-01T12:00:00,85.9,91.5,71.1,61.51,0,0,,0,0,14.5,11.9,177,1008,3.8,15,922,3.3,9,30,Clear,clear-day,remote
"37.24,121.34",2022-07-01T13:00:00,85.9,91.9,71.7,62.65,0,0,rain,0,0,17.4,14.5,180.4,1008,2.7,10.7,924,3.3,9,30,Clear,clear-day,remote
"37.24,121.34",2022-07-01T14:00:00,77.1,77.1,76.7,98.81,0,0,,0,0,17.9,8.9,180,1009.6,6.8,3.1,863,3.1,9,60,Clear,clear-day,54863099999
"37.24,121.34",2022-07-01T15:00:00,84.1,90.3,72.8,68.84,0,0,,0,0,20.1,16.1,177.8,1008,5,15,750,2.7,8,60,Clear,clear-day,remote
"37.24,121.34",2022-07-01T16:00:00,82.8,88.7,72.9,72.13,0,0,,0,0,21.7,16.6,180.7,1008,2.4,15,600,2.2,6,60,Clear,clear-day,remote
"37.24,121.34",2022-07-01T17:00:00,76.4,76.4,75.8,98.22,0,0,,0,0,17.9,11.2,180,1009.3,22.2,3.7,423,1.5,4,60,Partially cloudy,partly-cloudy-day,54863099999
"37.24,121.34",2022-07-01T18:00:00,79.1,79.1,73.3,82.58,0,0,,0,0,23.3,12.3,175.3,1008,4,15,232,0.8,2,60,Clear,clear-day,remote
"37.24,121.34",2022-07-01T19:00:00,76.2,76.2,72.9,89.73,0,0,,0,0,23.5,10.3,172.2,1009,8.9,15,70,0.3,1,30,Clear,clear-day,remote
"37.24,121.34",2022-07-01T20:00:00,75.8,75.8,75.5,98.81,0,0,,0,0,17.9,4.5,190,1010.5,44.2,3.7,2,0,0,30,Partially cloudy,partly-cloudy-night,54863099999
"37.24,121.34",2022-07-01T21:00:00,74,74,72.2,94.12,0,0,,0,0,21.5,8.1,175,1010,99.6,15,0,,0,30,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T22:00:00,74.7,74.7,71.7,90.22,0,0,,0,0,22.8,10.7,182.8,1010,99.7,15,0,,0,30,Overcast,cloudy,remote
"37.24,121.34",2022-07-01T23:00:00,75.5,75.5,74.9,98.21,0,0,,0,0,17.9,6.7,160,1010.4,100,7.5,0,,0,30,Overcast,cloudy,54863099999
"37.24,121.34",2022-07-02T00:00:00,74.4,74.4,71.1,89.65,0,0,,0,0,25.3,11.6,186.1,1010,99.5,15,0,,0,30,Overcast,cloudy,remote
"37.24,121.34",2022-07-02T01:00:00,74,74,71.5,91.86,0,0,,0,0,27.3,10.1,180.5,1010,71.1,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.24,121.34",2022-07-02T02:00:00,74.9,74.9,74.6,98.8,0.028,100,rain,0,0,17.9,6.7,200,1009.8,100,5,0,,0,8,"Rain, Overcast",rain,54863099999
"37.24,121.34",2022-07-02T03:00:00,73.3,73.3,71.1,92.96,0,0,,0,0,16.3,6.7,186.6,1009,100,15,0,,0,8,Overcast,cloudy,remote
"37.24,121.34",2022-07-02T04:00:00,72.1,72.1,71,96.41,0,0,,0,0,13.2,6.3,188.3,1009,100,12.5,0,,0,8,Overcast,cloudy,remote
"37.24,121.34",2022-07-02T05:00:00,72.2,72.2,70.8,95.24,0.287,100,rain,0,0,22.4,6.7,270,1010.7,100,11.8,1,0,0,8,"Rain, Overcast",rain,54863099999
"37.24,121.34",2022-07-02T06:00:00,72.1,72.1,71,96.41,0,0,,0,0,9.4,5.6,190.6,1010,100,5.5,16,0.1,0,3,Overcast,cloudy,remote
"37.24,121.34",2022-07-02T07:00:00,73.1,73.1,71.5,94.68,0,0,rain,0,0,9.6,5.6,172.2,1010,100,10.1,55,0.2,1,30,Overcast,cloudy,remote
"37.24,121.34",2022-07-02T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,22.4,4.5,220,1010.9,100,18.6,135,0.5,1,30,Overcast,cloudy,54863099999
"37.24,121.34",2022-07-02T09:00:00,75.1,75.1,72.2,90.78,0,0,,0,0,14.5,8.7,167.9,1010,81.2,15,210,0.8,2,30,Partially cloudy,partly-cloudy-day,remote
"37.24,121.34",2022-07-02T10:00:00,78,78,72.6,83.51,0,0,,0,0,17,11.9,187.1,1010,82.9,15,496,1.8,5,30,Partially cloudy,partly-cloudy-day,remote
"37.24,121.34",2022-07-02T11:00:00,77.3,77.3,74.6,91.41,0.004,100,rain,0,0,22.4,8.9,180,1011.7,66.3,17.4,528,1.9,5,60,"Rain, Partially cloudy",rain,54863099999
"37.24,121.34",2022-07-02T12:00:00,83.6,89.7,72.9,70.47,0,0,,0,0,17.9,14.8,186.5,1009,15.1,15,811,2.9,8,60,Clear,clear-day,remote
"37.24,121.34",2022-07-02T13:00:00,84.5,90.7,72.6,67.63,0,0,,0,0,19,16.3,189.8,1009,19.7,15,917,3.3,9,60,Clear,clear-day,remote
"37.24,121.34",2022-07-02T14:00:00,76.7,76.7,74.9,94.18,0,0,,0,0,22.4,11.2,180,1010.6,20.8,14.3,856,3.1,9,60,Partially cloudy,partly-cloudy-day,54863099999
"37.24,121.34",2022-07-02T15:00:00,83,88.1,71.7,68.72,0,0,,0,0,21,17.2,191.8,1008,9.3,15,748,2.7,7,30,Clear,clear-day,remote
"37.24,121.34",2022-07-02T16:00:00,81.9,86.6,71.7,71.17,0,0,,0,0,20.1,16.3,190.4,1008,19.7,15,602,2.2,6,30,Clear,clear-day,remote
"37.24,121.34",2022-07-02T17:00:00,76.7,76.7,74.6,93.06,0,0,,0,0,20.1,8.9,170,1009.7,17.4,14.9,411,1.5,4,30,Clear,clear-day,54863099999
"37.24,121.34",2022-07-02T18:00:00,78,78,72.2,82.51,0,0,,0,0,20.4,12.3,186,1008,10.8,15,235,0.8,2,30,Clear,clear-day,remote
"37.24,121.34",2022-07-02T19:00:00,75.1,75.1,72.1,90.23,0,0,,0,0,23.7,11.2,181,1008,19.6,15,71,0.3,1,10,Clear,clear-day,remote
"37.24,121.34",2022-07-02T20:00:00,75.8,75.8,74,94.16,0,0,,0,0,20.1,4.5,170,1009.9,21,9.3,2,0,0,3,Partially cloudy,partly-cloudy-night,54863099999
"37.24,121.34",2022-07-02T21:00:00,72.6,72.6,71.3,95.83,0,0,,0,0,22.4,8.1,179.8,1010,53.2,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
