name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.682963,120.324707",2022-07-01T00:00:00,74.4,74.4,71.5,90.75,0,0,,0,,9.2,8.7,226.6,1005,100,15,0,,0,3,Overcast,cloudy,remote
"37.682963,120.324707",2022-07-01T01:00:00,74,74,71.5,91.86,0,0,,0,,15.4,12.5,234.8,1006,80.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"37.682963,120.324707",2022-07-01T02:00:00,73.1,73.1,71.7,95.38,0.038,100,rain,,,22.4,2.3,127,1007.6,100,18.5,0,,0,10,"Rain, Overcast",rain,"54751099999,54753099999"
"37.682963,120.324707",2022-07-01T03:00:00,74,74,70.8,89.64,0,0,,0,,12.5,10.3,241.9,1007,99.8,15,0,,0,10,Overcast,cloudy,remote
"37.682963,120.324707",2022-07-01T04:00:00,73.8,73.8,69.5,86.39,0,0,,0,,10.5,8.7,237.4,1007,99.9,15,0,,0,10,Overcast,cloudy,remote
"37.682963,120.324707",2022-07-01T05:00:00,72.7,72.7,71.8,97.09,0,0,,0,,22.4,0.2,120,1007.8,57.4,9.8,1,0,0,10,Partially cloudy,partly-cloudy-day,"54751099999,54753099999"
"37.682963,120.324707",2022-07-01T06:00:00,73.5,73.5,69.2,86.37,0,0,,0,,12.5,9.6,223.1,1008,5,15,70,0.3,1,10,Clear,clear-day,remote
"37.682963,120.324707",2022-07-01T07:00:00,73.7,73.7,69.2,85.85,0,0,,0,,10.5,8.5,212.8,1008,8.1,15,243,0.9,2,3,Clear,clear-day,remote
"37.682963,120.324707",2022-07-01T08:00:00,79.4,79.4,76.7,91.41,0,0,,,,15.8,6.7,178,1008.4,100,8.2,430,1.5,4,3,Overcast,cloudy,"54751099999,54753099999"
"37.682963,120.324707",2022-07-01T09:00:00,74.6,74.6,69.9,85.37,0,0,,0,,3.8,3.6,196.6,1008,100,15,574,2.1,6,3,Overcast,cloudy,remote
"37.682963,120.324707",2022-07-01T10:00:00,75.5,75.5,70.6,84.9,0,0,,0,,2,1.8,277.1,1008,100,15,727,2.6,7,10,Overcast,cloudy,remote
"37.682963,120.324707",2022-07-01T11:00:00,82.7,90.4,75.8,79.89,0,0,,0,,15.7,4.5,300,1008.7,93.8,9.3,728,2.6,7,3,Overcast,cloudy,54751099999
"37.682963,120.324707",2022-07-01T12:00:00,75.8,75.8,70.4,83.38,0,0,,0,,5.1,4.9,338.2,1008,4.1,12.2,908,3.3,9,3,Clear,clear-day,remote
"37.682963,120.324707",2022-07-01T13:00:00,75.3,75.3,69.9,83.34,0,0,,0,,4.9,4.3,358.4,1008,12.7,10,927,3.3,9,3,Clear,clear-day,remote
"37.682963,120.324707",2022-07-01T14:00:00,74.6,74.6,73.2,95.36,0.012,100,rain,,,20,8.9,122,1009.3,23,18.2,857,3.1,9,3,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.682963,120.324707",2022-07-01T15:00:00,73.8,73.8,71.3,91.85,0,0,,0,,4.3,2.2,12,1008,70.7,9.6,729,2.6,7,3,Partially cloudy,partly-cloudy-day,remote
"37.682963,120.324707",2022-07-01T16:00:00,74.6,74.6,71.5,90.21,0,0,rain,0,,5.1,4.3,22.8,1007,52.7,1.1,560,2,6,3,Partially cloudy,partly-cloudy-day,remote
"37.682963,120.324707",2022-07-01T17:00:00,74.9,74.9,72.8,93.16,0.298,100,rain,0,,20,6.7,140,1008.3,84.2,18.6,391,1.4,4,3,"Rain, Partially cloudy",rain,"54751099999,54753099999"
"37.682963,120.324707",2022-07-01T18:00:00,74.6,74.6,71.1,89.11,0,0,rain,0,,3.1,1.8,145.5,1007,22.6,1.4,222,0.8,2,3,Partially cloudy,partly-cloudy-day,remote
"37.682963,120.324707",2022-07-01T19:00:00,73.1,73.1,71.1,93.53,0,0,,0,,5.6,5.4,138.7,1007,23.4,9.6,79,0.3,1,3,Partially cloudy,partly-cloudy-day,remote
"37.682963,120.324707",2022-07-01T20:00:00,74.9,74.9,74.6,98.76,0,0,,,,20,2.3,190,1007.9,25.9,13,3,0,0,10,Partially cloudy,partly-cloudy-night,"54751099999,54753099999"
"37.682963,120.324707",2022-07-01T21:00:00,74.2,74.2,71.3,90.75,0,0,,0,,7.4,7.2,129.3,1008,34.5,15,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.682963,120.324707",2022-07-01T22:00:00,74.9,74.9,71.7,89.67,0,0,rain,0,,9.2,7.8,161.5,1008,40.3,5,0,,0,30,Partially cloudy,partly-cloudy-night,remote
"37.682963,120.324707",2022-07-01T23:00:00,77.3,77.3,77.3,100,0.035,100,rain,0,,20.1,6.7,190,1009.5,6.3,6.2,0,,0,30,Rain,rain,54753099999
