name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.392829,121.604559",2022-11-28T00:00:00,55.7,55.7,52.6,89.43,0,0,,0,,23.7,11.2,165.4,1013,97.4,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-11-28T01:00:00,55.7,55.7,53,90.62,0,0,,0,,28.4,13.9,161.1,1013,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-11-28T02:00:00,55.8,55.8,53.3,91.23,0,0,,,,27.7,13,163.3,1012,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-11-28T03:00:00,56.2,56.2,54.1,92.45,0,0,,0,,25.7,12.5,152.5,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-11-28T04:00:00,56.6,56.6,54.9,94.3,0,0,,0,,16.3,8.1,171.4,1010,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-11-28T05:00:00,57.6,57.6,56.2,94.94,0,0,rain,0,,13.2,7.2,207.2,1011,100,15,0,,0,10,Overcast,cloudy,remote
"37.392829,121.604559",2022-11-28T06:00:00,57.8,57.8,56.6,95.56,0.004,100,rain,0,,5.6,4.9,215.9,1010,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.392829,121.604559",2022-11-28T07:00:00,57.5,57.5,56.6,96.81,0.024,100,rain,0,,5.4,5.1,255.3,1011,100,5.5,0,,0,10,"Rain, Overcast",rain,remote
"37.392829,121.604559",2022-11-28T08:00:00,57.1,57.1,56.2,96.8,0.031,100,rain,,,4,3.8,237.6,1011,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"37.392829,121.604559",2022-11-28T09:00:00,57.6,57.6,56.6,96.18,0.016,95.2,rain,0,,5.8,5.4,179.7,1010,100,9.1,16,0.1,0,10,"Rain, Overcast",rain,
"37.392829,121.604559",2022-11-28T10:00:00,57.6,57.6,56.6,96.18,0.035,95.2,rain,0,,6.9,4.9,258,1011,100,3.9,21,0.1,0,10,"Rain, Overcast",rain,
"37.392829,121.604559",2022-11-28T11:00:00,57.6,57.6,56.7,96.81,0.079,95.2,rain,0,,6.3,4.7,239.9,1011,100,4.8,50,0.2,1,10,"Rain, Overcast",rain,
"37.392829,121.604559",2022-11-28T12:00:00,57.6,57.6,56.4,95.56,0.028,95.2,rain,0,,13.4,8.7,288.1,1010,100,11.7,112,0.4,1,10,"Rain, Overcast",rain,
"37.392829,121.604559",2022-11-28T13:00:00,55.8,55.8,54.8,96.15,0.012,95.2,rain,0,,18.8,14.8,311.2,1010,100,6.5,25,0.1,0,10,"Rain, Overcast",rain,
"37.392829,121.604559",2022-11-28T14:00:00,52.4,52.4,50.6,93.57,0.016,95.2,rain,,,22.4,20.1,332.9,1011,100,15,17,0.1,0,10,"Rain, Overcast",rain,
"37.392829,121.604559",2022-11-28T15:00:00,51.7,51.7,49,90.47,0.008,42.9,rain,0,,19.9,15.9,327,1012,100,11.2,13,0,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T16:00:00,50.3,50.3,47.2,89.19,0.016,42.9,rain,0,,22.4,20.4,331.5,1013,100,14,5,0,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T17:00:00,49.2,42.3,45.6,87.34,0.008,42.9,rain,0,,24.2,21.3,340.8,1015,100,15,1,0,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T18:00:00,48.5,41,44.1,84.94,0,42.9,,0,,28,23,343.1,1016,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T19:00:00,48.5,41.2,43.1,81.51,0,42.9,,0,,27.5,22.1,345.5,1016,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T20:00:00,48.3,40.6,42.3,79.82,0,42.9,,,,29.3,24.4,344.9,1017,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T21:00:00,48.1,40.9,41.6,78.16,0,0,,0,,26.6,21,350.1,1017,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T22:00:00,47.9,40.7,41.1,77.07,0,0,,0,,26.4,21,348.3,1017,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-28T23:00:00,47.9,40.2,39.6,72.88,0,0,,0,,29.8,23.9,348.5,1018,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T00:00:00,47.9,40,38.2,68.9,0,0,,0,,31.3,24.8,347.7,1019,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T01:00:00,47.2,38.8,37.3,68.33,0,0,,0,,30.2,26.4,353.9,1019,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T02:00:00,46.3,37.3,35.5,65.84,0,0,,,,31.5,28,352.1,1021,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T03:00:00,45.4,35.9,32.6,60.72,0,38.1,,0,,32.7,29.1,350.6,1021,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T04:00:00,44.3,34.6,31.7,61.02,0,38.1,,0,,31.5,28.2,356.7,1021,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T05:00:00,42.7,32.4,29.4,59.04,0,38.1,,0,,30.6,28.4,358,1022,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T06:00:00,40.7,29.7,26.7,57.04,0,38.1,,0,,30.9,28.6,353.5,1025,100,15,0,,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T07:00:00,39.1,27.4,26.3,59.85,0,38.1,,0,,31.1,29.1,1,1025,100,15,1,0,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T08:00:00,37.5,25.3,26,62.83,0,38.1,,,,30.6,28.9,2.9,1026,100,15,49,0.2,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T09:00:00,36.8,24.3,24.9,61.8,0,33.3,,0,,30.9,28.6,358.7,1028,100,15,118,0.4,1,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T10:00:00,36.6,24.1,24.3,60.85,0,33.3,,0,,31.5,28.6,356.2,1028,100,15,210,0.8,2,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T11:00:00,36.8,24.5,23.6,58.63,0,33.3,,0,,31.1,27.7,350.7,1029,100,15,355,1.3,4,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T12:00:00,36.2,23.6,23.4,59.44,0,33.3,,0,,32.2,28.9,349.5,1028,100,15,359,1.3,4,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T13:00:00,36,23.4,22.7,58.09,0,33.3,,0,,31.8,28.2,347.3,1029,100,12.9,360,1.3,4,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T14:00:00,36,23.5,22.5,57.65,0.004,33.3,rain,,,32,28,345.4,1029,100,15,298,1.1,3,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T15:00:00,35.7,23.2,21.5,55.87,0,42.9,snow,0,,31.5,26.8,342.9,1030,100,9.9,157,0.6,2,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T16:00:00,35.9,24.5,23.3,59.84,0,42.9,snow,0,,30.4,22.4,335.2,1030,100,10.2,45,0.2,0,10,Overcast,cloudy,
"37.392829,121.604559",2022-11-29T17:00:00,36.2,23.1,20.9,53.45,0,42.9,,0,,33.1,31.5,318.8,1031,67.1,15,8,0,0,10,Partially cloudy,wind,
"37.392829,121.604559",2022-11-29T18:00:00,35.5,22.2,19.8,52.53,0,42.9,,0,,36.5,31.1,321.6,1032,94.9,15,0,,0,10,Overcast,wind,
"37.392829,121.604559",2022-11-29T19:00:00,34.2,19.8,19.7,54.81,0,42.9,,0,,38.9,34.4,323.8,1033,100,15,0,,0,10,Overcast,wind,
"37.392829,121.604559",2022-11-29T20:00:00,33.2,18.6,17.5,52.16,0,42.9,,,,39.8,33.1,320.8,1034,97.5,15,0,,0,10,Overcast,wind,
"37.392829,121.604559",2022-11-29T21:00:00,32.6,18.2,17.9,54.14,0,66.7,"rain,snow",0,,36.5,31.3,325.8,1034,99.9,15,0,,0,10,"Snow, Rain, Overcast",rain,
"37.392829,121.604559",2022-11-29T22:00:00,31.7,16.7,17.7,55.7,0,66.7,"rain,snow",0,,36.9,32.4,327.1,1035,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-29T23:00:00,30.6,15.6,16.4,55.11,0,66.7,"rain,snow",0,,35.3,30.6,321.6,1036,99.3,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T00:00:00,30.6,15.7,17,56.41,0,66.7,"rain,snow",0,,35.1,30.2,322.1,1036,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T01:00:00,30.6,16.1,17.5,57.74,0,66.7,"rain,snow",0,,32.4,28.4,321.1,1035,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T02:00:00,30.3,15.6,17.3,58.14,0,66.7,"rain,snow",,,32.4,28.6,319.6,1036,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T03:00:00,29.9,15,17.3,58.99,0,81,"rain,snow",0,,31.8,28.9,318,1036,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T04:00:00,29.4,14.4,17.9,61.72,0,81,"rain,snow",0,,31.1,28.4,316,1036,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T05:00:00,29.2,14.2,17.9,62.18,0.004,81,"rain,snow",0,,30.9,28.4,317,1036,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T06:00:00,29.2,14.2,18.4,63.64,0,81,"rain,snow",0,,31.5,28.2,320.4,1037,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T07:00:00,29.4,14.7,18.2,62.69,0,81,"rain,snow",0,,29.8,27.1,322,1037,100,15,0,,0,10,"Snow, Rain, Overcast",snow,
"37.392829,121.604559",2022-11-30T08:00:00,29.6,15.3,18.8,63.69,0,81,"rain,snow",,,28.2,25.5,325.5,1038,100,12.6,30,0.1,0,10,"Snow, Rain, Overcast",snow,
