name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.86,116.26",2022-07-01T00:00:00,76.2,76.2,68.4,76.99,0,0,,0,0,4.3,3.6,137.1,1006,70.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.86,116.26",2022-07-01T01:00:00,76,76,68.4,77.46,0,0,,0,0,9.4,4.7,174.1,1006,5.6,15,0,,0,10,Clear,clear-night,remote
"36.86,116.26",2022-07-01T02:00:00,71.5,71.5,69.8,94.43,0,0,,0,0,19.2,2.2,206,1006.7,5.1,1.4,0,,0,10,Clear,clear-night,"54715099999,54823099999"
"36.86,116.26",2022-07-01T03:00:00,74,74,68.4,82.75,0,0,,0,0,6.9,4.3,193.2,1006,5,15,0,,0,10,Clear,clear-night,remote
"36.86,116.26",2022-07-01T04:00:00,73.1,73.1,68.4,85.29,0,0,,0,0,2.7,2.7,184.4,1006,5,15,0,,0,10,Clear,clear-night,remote
"36.86,116.26",2022-07-01T05:00:00,70.4,70.4,69.5,96.98,0.004,100,rain,0,0,15.7,2.2,330,1006.9,5,0.6,0,,0,10,"Rain, Fog",rain,54715099999
"36.86,116.26",2022-07-01T06:00:00,74.4,74.4,68.6,82.27,0,0,,0,0,1.1,0.9,8.4,1007,5,15,37,0.1,0,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T07:00:00,77.4,77.4,68.4,73.84,0,0,,0,0,3.8,2.9,11.6,1007,5,15,193,0.7,2,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T08:00:00,76.7,76.7,71.9,84.98,0,0,,0,0,4.5,2.2,190,1008.3,0,1.9,384,1.4,4,10,Clear,clear-day,54715099999
"36.86,116.26",2022-07-01T09:00:00,84.1,86.1,65.6,53.8,0,0,,0,0,5.1,5.4,24.7,1008,0,15,570,2.1,6,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T10:00:00,86.8,88.3,64.3,47.23,0,0,,0,0,4.9,5.1,33.9,1007,0,15,733,2.6,7,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T11:00:00,83.6,87.3,69.2,61.98,0,0,,0,0,8.9,2.2,50,1008.4,0,9.9,857,3.1,9,10,Clear,clear-day,54715099999
"36.86,116.26",2022-07-01T12:00:00,92.7,94.2,63.6,38.21,0,0,,0,0,4.3,3.1,41.8,1006,5.9,15,928,3.3,9,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T13:00:00,95.1,96.6,63.1,34.88,0,0,,0,0,3.6,1.8,47.3,1006,8.4,15,945,3.4,9,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T14:00:00,89.3,95.5,71,54.85,0,0,,0,0,8.9,2.2,240,1007.1,17.1,16.2,907,3.3,9,10,Clear,clear-day,54715099999
"36.86,116.26",2022-07-01T15:00:00,95.6,96.6,62,33.02,0,0,,0,0,5.4,3.6,280.1,1005,3.6,15,815,2.9,8,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T16:00:00,95.4,96,61.1,32.17,0,0,,0,0,5.4,4,279.5,1005,5,15,677,2.4,7,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T17:00:00,91.1,94,66.3,44.14,0,0,,0,0,9.9,3.2,239,1005.6,10.5,16.9,504,1.8,5,10,Clear,clear-day,"54715099999,54823099999"
"36.86,116.26",2022-07-01T18:00:00,94.4,94.4,60.3,32.41,0,0,,0,0,3.6,4,278.9,1005,25.8,15,314,1.1,3,10,Partially cloudy,partly-cloudy-day,remote
"36.86,116.26",2022-07-01T19:00:00,92.2,92.8,62,36.7,0,0,,0,0,4,3.4,295.2,1005,17.9,15,129,0.5,1,10,Clear,clear-day,remote
"36.86,116.26",2022-07-01T20:00:00,83.9,88.4,70.2,63.5,0,0,,0,0,9.9,3.2,69,1006.6,0,12,11,0,0,10,Clear,clear-night,"54715099999,54823099999"
"36.86,116.26",2022-07-01T21:00:00,84.8,86.3,64.3,50.31,0,0,,0,0,14.5,8.3,45,1006,0,15,0,,0,10,Clear,clear-night,remote
"36.86,116.26",2022-07-01T22:00:00,83.6,85.3,64.8,53.39,0,0,,0,0,12.1,6.5,55.5,1007,0,15,0,,0,10,Clear,clear-night,remote
"36.86,116.26",2022-07-01T23:00:00,80.3,83.2,68.6,67.59,0,0,,0,0,11.2,4.5,120,1008.3,1.4,13,0,,0,10,Clear,clear-night,54823099999
"36.86,116.26",2022-07-02T00:00:00,82.1,84.1,65.4,57,0,0,,0,0,12.1,5.8,83.1,1007,0,15,0,,0,10,Clear,clear-night,remote
"36.86,116.26",2022-07-02T01:00:00,81.4,83.5,65.9,59.45,0,0,,0,0,12.8,6,84.1,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.86,116.26",2022-07-02T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,8.9,2.2,40,1007.3,0,3.1,0,,0,3,Clear,clear-night,54715099999
"36.86,116.26",2022-07-02T03:00:00,79.8,79.8,66.5,63.86,0,0,,0,0,5.8,4.7,90.2,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.86,116.26",2022-07-02T04:00:00,79.2,79.2,66.3,64.6,0,0,,0,0,5.8,4.7,96.8,1007,0,15,0,,0,3,Clear,clear-night,remote
"36.86,116.26",2022-07-02T05:00:00,74,74,72.2,94.12,0,0,,0,0,6.7,2.2,150,1007.8,0,1.2,0,,0,3,Clear,clear-day,54715099999
"36.86,116.26",2022-07-02T06:00:00,80,80,66.6,63.88,0,0,,0,0,4.3,3.4,59.6,1007,0,15,37,0.1,0,3,Clear,clear-day,remote
"36.86,116.26",2022-07-02T07:00:00,83.6,86,66.5,56.48,0,0,,0,0,4.9,4.5,52.2,1008,0,15,195,0.7,2,10,Clear,clear-day,remote
"36.86,116.26",2022-07-02T08:00:00,84,90,72.6,68.63,0,0,,0,0,10.2,3.5,124,1008.2,5.4,6.1,385,1.4,4,10,Clear,clear-day,"54715099999,54823099999"
"36.86,116.26",2022-07-02T09:00:00,90.1,93.2,66.8,46.53,0,0,,0,0,4.5,4.7,98.7,1007,5.5,15,569,2,6,10,Clear,clear-day,remote
"36.86,116.26",2022-07-02T10:00:00,93.1,96,65.7,40.74,0,0,,0,0,4.3,4.7,91.5,1007,5,15,730,2.6,7,10,Clear,clear-day,remote
"36.86,116.26",2022-07-02T11:00:00,92.1,98.1,70.1,48.91,0,0,,0,0,11.2,3.5,167,1007.8,26.3,12.2,851,3.1,9,10,Partially cloudy,partly-cloudy-day,"54715099999,54823099999"
"36.86,116.26",2022-07-02T12:00:00,97.6,100.5,64.7,34.17,0,0,,0,0,4.7,5.6,112.6,1006,100,15,921,3.3,9,10,Overcast,cloudy,remote
"36.86,116.26",2022-07-02T13:00:00,97.2,99.5,63.8,33.48,0,0,,0,0,4.7,4.9,110.6,1005,100,15,565,2,6,10,Overcast,cloudy,remote
"36.86,116.26",2022-07-02T14:00:00,94.6,101.6,70.5,45.92,0,0,,0,0,11.2,1.3,80,1005.8,100,11.6,354,1.3,4,10,Overcast,cloudy,"54715099999,54823099999"
"36.86,116.26",2022-07-02T15:00:00,94.7,98.3,66.5,39.73,0,0,,0,0,6.5,8.3,160.3,1005,100,15,249,0.9,2,30,Overcast,cloudy,remote
"36.86,116.26",2022-07-02T16:00:00,90.1,94.5,68.6,49.51,0,0,,0,0,15,10.7,199.8,1005,100,15,64,0.2,1,30,Overcast,cloudy,remote
