name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.86,116.26",2022-11-28T00:00:00,41.1,35.1,38.6,90.67,0.031,100,rain,0,0,15,9.8,357.7,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T01:00:00,41.3,35.7,38.4,89.41,0.008,100,rain,0,0,11.6,8.9,340.2,1013,100,12.6,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T02:00:00,41.1,35.9,38.4,90.03,0.047,100,rain,0,0,11,8.1,334.2,1014,100,7.8,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T03:00:00,41.3,37.2,38.7,90.67,0.035,100,rain,0,0,8.9,6,350.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T04:00:00,41.8,37.1,38.9,89.43,0.004,100,rain,0,0,11,7.4,352.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T05:00:00,42.2,37.3,39.1,88.82,0.004,100,rain,0,0,11.6,7.8,357,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T06:00:00,42,36.3,39.1,89.44,0.008,100,rain,0,0,14.3,9.6,345.3,1014,100,13.5,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T07:00:00,41.8,36.4,38.4,87.56,0.008,100,rain,0,0,14.1,8.7,11,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"36.86,116.26",2022-11-28T08:00:00,42.5,38.1,38.2,84.57,0,0,,0,0,11.6,7.2,17.2,1014,100,15,11,0,0,10,Overcast,cloudy,remote
"36.86,116.26",2022-11-28T09:00:00,43.8,38.2,38.2,80.59,0,0,,0,0,14.8,10.3,346.2,1016,100,15,79,0.3,1,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T10:00:00,45,40.2,38,76.27,0,0,,0,0,13.2,9.2,14,1015,100,15,121,0.4,1,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T11:00:00,48.6,44.3,38.7,68.5,0,0,,0,0,13.4,10.1,359,1016,95,15,401,1.4,4,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T12:00:00,50.6,50.6,39.3,64.98,0,0,,0,0,15.9,12.1,3.2,1016,76.1,15,407,1.5,4,10,Partially cloudy,partly-cloudy-day,
"36.86,116.26",2022-11-28T13:00:00,52.4,52.4,39.1,60.38,0,0,,0,0,16.6,13.2,356.8,1016,28.4,15,470,1.7,5,10,Partially cloudy,partly-cloudy-day,
"36.86,116.26",2022-11-28T14:00:00,52.6,52.6,36.8,54.72,0,0,,0,0,16.6,13.4,346,1017,94.8,15,434,1.6,4,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T15:00:00,52.8,52.8,33.5,47.8,0,0,,0,0,20.6,15.2,349.8,1017,100,15,293,1.1,3,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T16:00:00,52.2,52.2,34.4,50.54,0,0,,0,0,17.4,11,348.8,1018,99.9,15,119,0.4,1,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T17:00:00,50.1,50.1,35.1,56.33,0,0,,0,0,18.3,9.6,3.7,1019,100,15,34,0.1,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T18:00:00,48.8,45.2,36,61.19,0,0,,0,0,19.5,8.3,7.5,1019,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T19:00:00,48.5,44.8,37.1,64.71,0,0,,0,0,20.4,8.3,5.9,1020,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T20:00:00,48.1,45.5,37.3,66.06,0,0,,0,0,14.5,5.8,10.5,1021,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T21:00:00,47,44,37.1,68.31,0,0,,0,0,12.3,6.3,342.7,1022,56.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.86,116.26",2022-11-28T22:00:00,45.2,41.2,35.9,69.57,0,0,,0,0,15.2,7.4,350.3,1023,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-28T23:00:00,44.9,37.4,9,22.78,0,0,,0,0,34.2,17.7,3.1,1023,92.2,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T00:00:00,42,34.3,4.2,20.39,0,0,,0,0,28.9,15.4,359,1025,99.9,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T01:00:00,38.9,30,7.6,26.83,0,0,,0,0,27.5,16.6,25.3,1026,4.8,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T02:00:00,35.3,25.2,3.5,25.6,0,0,,0,0,32,17,26.1,1026,3.7,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T03:00:00,33.9,23.6,2.4,25.79,0,0,,0,0,29.8,16.3,27.5,1028,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T04:00:00,32.1,21.3,0.2,25.06,0,0,,0,0,29.5,16.1,34.5,1029,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T05:00:00,30.3,18.7,0,26.73,0,0,,0,0,31.3,17,36.9,1030,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T06:00:00,29.2,17.4,0.4,28.4,0,0,,0,0,31.3,16.8,35.8,1030,68.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"36.86,116.26",2022-11-29T07:00:00,28.7,16.8,1.5,30.54,0,0,,0,0,31.1,16.3,33.6,1032,4.7,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T08:00:00,29,17.5,3.3,32.71,0,0,,0,0,28.9,15.7,37.4,1033,3.7,15,34,0.1,0,10,Clear,clear-day,
"36.86,116.26",2022-11-29T09:00:00,30.1,18,-0.5,26.25,0,0,,0,0,25.9,18.3,35.5,1034,7.5,15,191,0.7,2,10,Clear,clear-day,
"36.86,116.26",2022-11-29T10:00:00,31.5,20,-1.8,23.33,0,0,,0,0,23,17.9,33.2,1035,100,15,349,1.3,3,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T11:00:00,33,22.2,-2.7,21.1,0,0,,0,0,21,17,30,1036,100,15,396,1.4,4,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T12:00:00,33.5,22.8,-3.9,19.45,0,0,,0,0,21,17.2,25.1,1035,100,13.3,303,1.1,3,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T13:00:00,33.3,22.6,-5.2,18.44,0,0,,0,0,20.6,17.2,22.4,1035,100,15,217,0.8,2,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T14:00:00,34.1,23.4,-6.1,17.15,0,0,,0,0,20.4,17.4,19.3,1035,100,15,423,1.5,4,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T15:00:00,33.7,23.6,-6.4,17.1,0,0,,0,0,19.5,15.4,19.1,1036,93.2,15,335,1.2,3,10,Overcast,cloudy,
"36.86,116.26",2022-11-29T16:00:00,33.3,24.8,-7.2,16.75,0,0,,0,0,19.9,11.2,25.6,1036,48.1,15,184,0.7,2,10,Partially cloudy,partly-cloudy-day,
"36.86,116.26",2022-11-29T17:00:00,31.7,23.8,-5.2,19.68,0,0,,0,0,17,9.2,33,1037,4.8,15,44,0.2,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T18:00:00,29.6,19.2,-5,21.67,0,0,,0,0,21.3,13.2,50.6,1038,0.1,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T19:00:00,28.5,16.7,-14.2,14.41,0,0,,0,0,26.4,16.1,10.3,1040,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T20:00:00,25.4,13.8,-9.5,20.64,0,0,,0,0,20.8,13.6,47,1042,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T21:00:00,22.9,12.6,-12.6,19.7,0,0,,0,0,17.7,9.8,44.2,1043,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T22:00:00,22,10.9,-15.1,18.03,0,0,,0,0,17,10.7,49,1044,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-29T23:00:00,21.3,10.3,-17.1,16.81,0,0,,0,0,19,10.3,42.2,1044,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-30T00:00:00,20.4,10.7,-17.1,17.46,0,0,,0,0,15.9,8.1,44.9,1044,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-30T01:00:00,20,11.5,-16.7,18.06,0,0,,0,0,13.6,6.5,57.2,1044,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-30T02:00:00,19.3,10.5,-16.3,18.97,0,0,,0,0,14.1,6.7,54.4,1044,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-30T03:00:00,18.6,10.4,-16.2,19.74,0,0,,0,0,13.2,5.8,51.5,1044,0,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-30T04:00:00,18,9.1,-16,20.39,0,0,,0,0,13.6,6.5,46.5,1044,5,15,0,,0,10,Clear,clear-night,
"36.86,116.26",2022-11-30T05:00:00,17.7,8.9,-16,20.71,0,0,,0,0,13.9,6.3,49.3,1044,99,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T06:00:00,17.5,9.6,-15.8,21.06,0,0,,0,0,12.5,5.4,62.1,1043,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T07:00:00,17.3,10.5,-15.6,21.42,0,0,,0,0,10.3,4.5,75.6,1044,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T08:00:00,18.4,13,-17.4,18.66,0,0,,0,0,6.9,3.6,83.4,1045,100,15,31,0.1,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T09:00:00,20.6,15.8,-19.4,15.36,0,0,,0,0,3.4,3.4,105.3,1045,100,15,125,0.5,1,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T10:00:00,23.3,23.3,-19.9,13.33,0,0,,0,0,4.3,2.7,275.5,1046,100,15,325,1.2,3,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T11:00:00,24.3,18.4,-19.9,12.74,0,0,,0,0,5.6,4.7,286.7,1045,100,15,295,1.1,3,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T12:00:00,26.3,19.4,-18.9,12.41,0,0,,0,0,6.7,6,277.4,1044,98.6,15,480,1.7,5,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T13:00:00,27.6,21.1,-18.3,12.11,0,0,,0,0,6.5,5.8,291.6,1042,100,15,504,1.8,5,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T14:00:00,28.1,22.4,-18,12.07,0,0,,0,0,5.8,5.1,286.1,1041,100,15,414,1.5,4,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T15:00:00,28.5,23.7,-17.6,12.11,0,0,,0,0,5.1,4.3,304.3,1040,55.5,15,313,1.1,3,10,Partially cloudy,partly-cloudy-day,
"36.86,116.26",2022-11-30T16:00:00,28.3,28.3,-17.2,12.43,0,0,,0,0,4.3,2.9,316.8,1040,92.3,15,196,0.7,2,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T17:00:00,24.9,24.9,-14.2,16.72,0,0,,0,0,1.1,1.1,18.7,1040,100,15,38,0.1,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T18:00:00,24.2,24.2,-14.2,17.23,0,0,,0,0,2,2,112.6,1041,99,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T19:00:00,24.2,20.3,-13.6,17.71,0,0,,0,0,3.1,3.1,124.6,1041,96.7,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T20:00:00,23.8,19.2,-13.1,18.47,0,0,,0,0,3.6,3.6,148.8,1041,99.1,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T21:00:00,23.4,18.2,-12.6,19.26,0,0,,0,0,4,4,165.6,1041,97.2,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T22:00:00,23.4,16.4,-12,19.79,0,0,,0,0,6.3,5.6,176,1040,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-11-30T23:00:00,23.1,16,-10.9,21.2,0,0,,0,0,6.7,5.6,196.9,1040,100,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-12-01T00:00:00,22.7,15.6,-10.8,21.71,0,0,,0,0,6.9,5.6,200,1040,97.6,15,0,,0,10,Overcast,cloudy,
"36.86,116.26",2022-12-01T01:00:00,22.4,14.9,-10.6,22.24,0,0,,0,0,7.2,5.8,199.5,1039,91.2,15,0,,0,10,Overcast,cloudy,
