name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.39,117.8",2022-07-01T00:00:00,73.5,73.5,73.5,100,0,0,,0,0,10.3,2.2,188.8,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.39,117.8",2022-07-01T01:00:00,71.7,71.7,71.7,100,0,0,,0,0,9.2,0,206.3,1007,90,2.5,0,,0,3,Partially cloudy,partly-cloudy-night,57993199999
"36.39,117.8",2022-07-01T02:00:00,68.9,68.9,68.5,98.61,0.002,100,rain,0,0,19.5,3.7,183,1007.9,0,1.4,0,,0,3,Rain,rain,"57993199999,54826099999,54823099999,54836099999"
"36.39,117.8",2022-07-01T03:00:00,71.7,71.7,71.7,100,0,0,rain,0,0,3.8,2.2,215,1007,0,1.2,0,,0,3,Clear,clear-night,57993199999
"36.39,117.8",2022-07-01T04:00:00,71.7,71.7,71.7,100,0,0,,0,0,1.3,0,187.5,1007,0,1.2,0,,0,5,Clear,clear-night,57993199999
"36.39,117.8",2022-07-01T05:00:00,67.7,67.7,66.7,96.37,0,0,,0,0,18.2,5.3,260,1008,0,3.3,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-01T06:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.4,4.5,10,1008,0,1.2,44,0.2,0,5,Clear,clear-day,57993199999
"36.39,117.8",2022-07-01T07:00:00,71.7,71.7,71.7,100,0,0,,0,0,3.6,2.2,180.8,1008,0,1.2,204,0.7,2,3,Clear,clear-day,57993199999
"36.39,117.8",2022-07-01T08:00:00,70.2,70.2,67.4,90.56,0.003,100,rain,0,0,13.3,5.1,170,1009.7,50,4.1,396,1.4,4,10,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-01T09:00:00,77.1,77.1,77.1,100,0,0,,0,0,3.1,2.2,207.8,1009,50,1.9,579,2.1,6,10,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T10:00:00,80.7,86.4,75.3,83.68,0,0,,0,0,4,2.2,211.6,1008,30,2.5,738,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T11:00:00,82.6,87.6,71.8,69.81,0,0,,0,0,6.7,2.2,30,1008.9,50,3.6,858,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54836099999"
"36.39,117.8",2022-07-01T12:00:00,86.1,93.7,73.5,66.19,0,0,,0,0,7.2,4.5,211.3,1008,30,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T13:00:00,87.9,98,75.3,66.39,0,0,,0,0,7.8,2.2,209.8,1007,30,6.2,942,3.4,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T14:00:00,82,85.9,70.3,67.94,0,0,,0,0,15.9,4.4,195,1008.6,30,8,895,3.2,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-01T15:00:00,89.7,96.6,71.7,55.58,0,0,,0,0,8.7,4.5,215.6,1007,50,6.2,704,2.5,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T16:00:00,93.3,103.1,73.5,52.78,0,0,,0,0,8.5,2.2,222.3,1006,50,6.2,585,2.1,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T17:00:00,85.2,88.4,67.8,56.22,0,0,,0,0,15.1,4.5,243,1007,30,12,309,1.1,3,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54823099999,54836099999"
"36.39,117.8",2022-07-01T18:00:00,89.7,100.5,75.3,62.73,0,0,,0,0,6.5,2.2,242.2,1006,30,6.2,118,0.4,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T19:00:00,86.1,97.4,77.1,74.64,0,0,,0,0,6,2.2,60,1007,30,6.2,81,0.3,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-01T20:00:00,79.7,79.7,70,72.28,0,0,,0,0,13.6,4.2,210,1008.3,0.6,8,5,0,0,30,Clear,clear-night,"57993199999,54826099999,54823099999,54836099999"
"36.39,117.8",2022-07-01T21:00:00,82.5,89.7,75.3,78.93,0,0,,0,0,3.1,4.5,110,1008,0,6.2,0,,0,30,Clear,clear-night,57993199999
"36.39,117.8",2022-07-01T22:00:00,78.9,78.9,73.5,83.57,0,0,,0,0,4.7,4.5,100,1008,1.1,6.2,0,,0,30,Clear,clear-night,57993199999
"36.39,117.8",2022-07-01T23:00:00,78.6,78.6,71.6,79.16,0,0,,0,0,13,1.5,104,1008.9,45.1,8.5,0,,0,30,Partially cloudy,partly-cloudy-night,"57993199999,54823099999,54836099999"
"36.39,117.8",2022-07-02T00:00:00,77.1,77.1,75.3,94.19,0,0,,0,0,3.8,2.2,90,1009,96,6.2,0,,0,30,Overcast,cloudy,57993199999
"36.39,117.8",2022-07-02T01:00:00,75.3,75.3,75.3,100,0,0,,0,0,4.9,2.2,180.3,1008,0,5,0,,0,30,Clear,clear-night,57993199999
"36.39,117.8",2022-07-02T02:00:00,72.5,72.5,70.4,93.28,0,0,,0,0,15.8,4.8,193,1009.1,0,2.8,0,,0,30,Clear,clear-night,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-02T03:00:00,73.5,73.5,73.5,100,0,0,,0,0,4.3,2.2,178.4,1008,0,2.5,0,,0,30,Clear,clear-night,57993199999
"36.39,117.8",2022-07-02T04:00:00,73.5,73.5,73.5,100,0,0,,0,0,3.1,2.2,110,1008,0,2.5,0,,0,10,Clear,clear-night,57993199999
"36.39,117.8",2022-07-02T05:00:00,71.2,71.2,68.4,90.84,0,0,,0,0,14.8,5.2,138,1009.6,0,4.2,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-02T06:00:00,75.3,75.3,75.3,100,0,0,,0,0,3.8,4.5,80,1009,0,2.5,44,0.2,0,10,Clear,clear-day,57993199999
"36.39,117.8",2022-07-02T07:00:00,80.7,87.4,77.1,88.84,0,0,,0,0,3.4,2.2,178.4,1009,0,2.5,204,0.7,2,30,Clear,clear-day,57993199999
"36.39,117.8",2022-07-02T08:00:00,81,85.1,71.6,73.34,0,0,,0,0,10.8,4.1,104,1009.2,0,4.5,395,1.4,4,30,Clear,clear-day,"57993199999,54823099999,54836099999"
"36.39,117.8",2022-07-02T09:00:00,89.7,108.4,80.7,74.96,0,0,,0,0,3.1,2.2,181.1,1009,0,6.2,580,2.1,6,30,Clear,clear-day,57993199999
"36.39,117.8",2022-07-02T10:00:00,91.5,108.1,78.9,66.79,0,0,,0,0,4.7,4.5,160,1008,30,6.2,742,2.7,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T11:00:00,84.2,90,72.3,67.6,0,0,,0,0,14.2,3.4,157,1009.4,50,6.5,858,3.1,9,30,Partially cloudy,partly-cloudy-day,"57993199999,54826099999,54823099999,54836099999"
"36.39,117.8",2022-07-02T12:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,4.9,2.2,198,1008,50,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T13:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,6.5,4.5,197.8,1007,50,6.2,927,3.3,9,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T14:00:00,91.2,100.4,73.6,56.5,0,0,,0,0,11.2,5.3,150,1007,50,10.2,825,3,8,10,Partially cloudy,partly-cloudy-day,"57993199999,54823099999,54836099999"
"36.39,117.8",2022-07-02T15:00:00,96.9,110,75.3,50.18,0,0,,0,0,7.6,6.7,90,1006,90,6.2,688,2.5,7,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T16:00:00,95.1,107.7,75.3,53.03,0,0,,0,0,8.3,4.5,70,1006,90,6.2,562,2,6,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T17:00:00,88.6,97.9,74.2,62.55,0.001,100,rain,0,0,14.8,5.6,91,1005.8,90,9.8,332,1.2,3,30,"Rain, Partially cloudy",rain,"57993199999,54823099999,54836099999"
"36.39,117.8",2022-07-02T18:00:00,89.7,105.4,78.9,70.67,0,0,,0,0,7.4,4.5,270,1006,90,6.2,198,0.7,2,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T19:00:00,87.9,105.5,80.7,79.34,0,0,,0,0,8.3,0,180,1006,90,6.2,91,0.3,1,30,Partially cloudy,partly-cloudy-day,57993199999
"36.39,117.8",2022-07-02T20:00:00,80,80,73.2,79.83,0.007,100,rain,0,0,16.8,6.1,143,1007.6,58.8,6.4,6,0,0,30,"Rain, Partially cloudy",rain,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-02T21:00:00,87.9,102.7,78.9,74.8,0,0,,0,0,14.1,4.5,160,1007,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"36.39,117.8",2022-07-02T22:00:00,84.3,96.4,78.9,83.9,0,0,,0,0,15,2.2,70,1008,100,6.2,0,,0,30,Overcast,cloudy,57993199999
"36.39,117.8",2022-07-02T23:00:00,80.9,86.7,74.9,82.02,0,0,,0,0,15.7,4.8,140,1008.1,88.6,6.7,0,,0,30,Partially cloudy,partly-cloudy-night,"57993199999,54823099999,54836099999"
"36.39,117.8",2022-07-03T00:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,14.8,4.5,110,1008,80.3,6.2,0,,0,30,Partially cloudy,partly-cloudy-night,57993199999
"36.39,117.8",2022-07-03T01:00:00,82.5,92.7,78.9,88.92,0,0,,0,0,17,2.2,180.1,1008,100,6.2,0,,0,10,Overcast,cloudy,57993199999
"36.39,117.8",2022-07-03T02:00:00,74.8,74.8,72.1,91.43,0.001,100,rain,0,0,18,5.6,128,1007.7,100,3.3,0,,0,10,"Rain, Overcast",rain,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-03T03:00:00,80.7,88.4,78.9,94.28,0,0,,0,0,12.5,4.5,140,1007,0,3.7,0,,0,10,Clear,clear-night,57993199999
"36.39,117.8",2022-07-03T04:00:00,80.7,89.6,80.7,100,0,0,,0,0,10.3,2.2,177.8,1007,0,3.7,0,,0,10,Clear,clear-night,57993199999
"36.39,117.8",2022-07-03T05:00:00,73.7,73.7,72.3,95.38,0,0,,0,0,17,6,157,1007.2,0,2.5,0,,0,10,Clear,clear-day,"57993199999,54826099999,54836099999"
"36.39,117.8",2022-07-03T06:00:00,78.9,78.9,78.9,100,0,0,,0,0,7.2,4.5,250,1007,0,3.7,16,0.1,0,10,Clear,clear-day,57993199999
