name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.04,115.89",2022-07-01T00:00:00,73.8,73.8,70.8,90.18,0,0,,0,0,4.3,2.9,192.2,1006,2.4,15,0,,0,3,Clear,clear-night,remote
"35.04,115.89",2022-07-01T01:00:00,73.7,73.7,70.6,90.17,0,0,,0,0,0.2,0,141.4,1006,0,15,0,,0,3,Clear,clear-night,remote
"35.04,115.89",2022-07-01T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,15.7,2.2,10,1006.3,5,2.5,0,,0,3,Clear,clear-night,54909099999
"35.04,115.89",2022-07-01T03:00:00,72.9,72.9,69.7,89.59,0,0,,0,0,2.9,2.9,334.1,1006,0,15,0,,0,5,Clear,clear-night,remote
"35.04,115.89",2022-07-01T04:00:00,72.6,72.6,69.3,89.58,0,0,,0,0,3.8,3.6,341.3,1006,0,15,0,,0,5,Clear,clear-night,remote
"35.04,115.89",2022-07-01T05:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,15.7,2.2,30,1006.8,0,1.9,0,,0,5,Clear,clear-night,54909099999
"35.04,115.89",2022-07-01T06:00:00,73.5,73.5,69.2,86.37,0,0,,0,0,5.6,4,63.2,1007,0,15,30,0.1,0,5,Clear,clear-day,remote
"35.04,115.89",2022-07-01T07:00:00,76.4,76.4,69,77.97,0,0,,0,0,6.3,4.9,51,1007,0,15,185,0.7,2,3,Clear,clear-day,remote
"35.04,115.89",2022-07-01T08:00:00,80.9,85.1,71.9,74.16,0,0,,0,0,11.2,4.5,40,1007.7,0,5,380,1.4,4,3,Clear,clear-day,54909099999
"35.04,115.89",2022-07-01T09:00:00,83.2,86.5,68.4,61.18,0,0,,0,0,5.4,5.1,43,1008,0,15,568,2,6,10,Clear,clear-day,remote
"35.04,115.89",2022-07-01T10:00:00,86.3,89.7,67.9,54.44,0,0,,0,0,5.8,6,57.2,1007,0,15,733,2.6,7,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T11:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,11.2,4.5,80,1007.7,0,8.1,860,3.1,9,30,Clear,clear-day,54909099999
"35.04,115.89",2022-07-01T12:00:00,91.5,95,67,44.76,0,0,,0,0,4,5.4,96.7,1006,0,15,936,3.4,9,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T13:00:00,93.5,96.9,66.5,41.31,0,0,,0,0,3.6,4.9,117.5,1006,0,15,956,3.4,10,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,2.2,140,1006.6,0,13.7,916,3.3,9,30,Clear,clear-day,54909099999
"35.04,115.89",2022-07-01T15:00:00,94.2,98,66.8,40.9,0,0,,0,0,2.9,2.9,124.4,1005,0,15,823,3,8,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T16:00:00,93.8,97,66.1,40.34,0,0,,0,0,3.6,2.5,128.6,1005,0,15,682,2.5,7,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T17:00:00,92,98.7,70.8,50.1,0,0,,0,0,11.2,2.2,60,1005,0,13.7,506,1.8,5,30,Clear,clear-day,54909099999
"35.04,115.89",2022-07-01T18:00:00,92.2,95.2,66.1,42.42,0,0,,0,0,3.1,2.2,339.3,1005,0,15,312,1.1,3,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T19:00:00,89,92.7,67.9,49.97,0,0,,0,0,4.7,4.7,350.2,1005,0,15,123,0.4,1,30,Clear,clear-day,remote
"35.04,115.89",2022-07-01T20:00:00,88.1,94.8,71.9,58.85,0,0,,0,0,11.2,4.5,90,1005.7,2.3,11.2,9,0,0,10,Clear,clear-night,54909099999
"35.04,115.89",2022-07-01T21:00:00,81.4,84.4,68.4,64.85,0,0,,0,0,5.4,5.4,37.5,1006,0.6,15,0,,0,10,Clear,clear-night,remote
"35.04,115.89",2022-07-01T22:00:00,80.9,84,69.2,67.65,0.008,100,rain,0,0,7.2,5.8,34.2,1007,0,15,0,,0,3,Rain,rain,remote
"35.04,115.89",2022-07-01T23:00:00,85.4,91.6,72.2,64.91,0,0,,0,0,11.2,4.5,90,1007.4,24.5,5,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
"35.04,115.89",2022-07-02T00:00:00,78.7,78.7,70.1,74.88,0.012,100,rain,0,0,7.8,6,94.6,1007,8.5,15,0,,0,3,Rain,rain,remote
"35.04,115.89",2022-07-02T01:00:00,77.6,77.6,70.4,78.55,0.012,100,rain,0,0,8.7,4.9,82.6,1007,61,4.2,0,,0,3,"Rain, Partially cloudy",rain,remote
"35.04,115.89",2022-07-02T02:00:00,83.6,89.2,72.2,68.78,0,0,,0,0,11.2,4.5,70,1006.5,98,6.2,0,,0,3,Overcast,cloudy,54909099999
"35.04,115.89",2022-07-02T03:00:00,78.2,78.2,71.3,79.56,0,0,,0,0,4.7,4.7,90.7,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.04,115.89",2022-07-02T04:00:00,77.8,77.8,71.7,81.5,0,0,,0,0,4.5,4.3,74.6,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.04,115.89",2022-07-02T05:00:00,80.9,85.8,73.5,78.33,0,0,,0,0,11.2,2.2,100,1006.6,100,3.7,0,,0,3,Overcast,cloudy,54909099999
"35.04,115.89",2022-07-02T06:00:00,78.2,78.2,72.2,82.02,0,0,,0,0,6.5,4.5,99,1007,99.7,15,27,0.1,0,3,Overcast,cloudy,remote
"35.04,115.89",2022-07-02T07:00:00,81.2,85.9,72.4,74.65,0,0,,0,0,5.6,4.5,96.7,1007,100,15,152,0.5,2,30,Overcast,cloudy,remote
"35.04,115.89",2022-07-02T08:00:00,84.5,93.8,76.2,76.3,0,0,,0,0,8.9,6.7,70,1007.5,100,3.1,338,1.2,3,30,Overcast,cloudy,54909099999
"35.04,115.89",2022-07-02T09:00:00,87.3,95.5,73.7,63.97,0,0,,0,0,4.5,4,134.5,1007,80.9,15,528,1.9,5,60,Partially cloudy,partly-cloudy-day,remote
"35.04,115.89",2022-07-02T10:00:00,90.8,98.9,72.6,55.38,0.028,100,rain,0,0,5.8,5.4,139,1007,4.8,15,698,2.5,7,60,Rain,rain,remote
"35.04,115.89",2022-07-02T11:00:00,91.7,103.8,75.8,60.02,0,0,,0,0,11.2,6.7,130,1007,2.8,9.9,850,3.1,9,30,Clear,clear-day,54909099999
