name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.04,115.89",2022-11-28T00:00:00,48.1,43.4,41.8,78.71,0,0,,0,0,12.5,11,342.1,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.04,115.89",2022-11-28T01:00:00,47.6,43,40.7,77.04,0,0,,0,0,11.6,10.1,339.3,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.04,115.89",2022-11-28T02:00:00,47,41.7,40.2,76.99,0.004,100,rain,0,0,14.5,11.9,335.1,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.04,115.89",2022-11-28T03:00:00,46.3,40.7,40.4,79.66,0,0,rain,0,0,14.8,12.3,343.1,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.04,115.89",2022-11-28T04:00:00,45.2,39.5,41.1,85.33,0.031,100,rain,0,0,15.9,11.9,351.8,1012,100,10.7,0,,0,10,"Rain, Overcast",rain,remote
"35.04,115.89",2022-11-28T05:00:00,45.6,40.5,41.3,84.76,0.008,100,rain,0,0,14.3,10.3,6,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.04,115.89",2022-11-28T06:00:00,46.1,41.8,41.6,84.21,0,0,rain,0,0,13,8.5,351.1,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.04,115.89",2022-11-28T07:00:00,46.1,40.3,41.4,83.63,0.004,100,rain,0,0,19.9,12.8,340.5,1013,100,14.8,0,,0,10,"Rain, Overcast",rain,remote
"35.04,115.89",2022-11-28T08:00:00,45.6,39.8,41.8,86.55,0.004,100,rain,0,0,21.3,12.1,354.9,1013,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"35.04,115.89",2022-11-28T09:00:00,46.3,40.9,41.6,83.64,0,14.3,,0,0,17.9,11.6,344.1,1014,100,15,13,0,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T10:00:00,46.5,40.8,41.1,81.36,0.004,14.3,rain,0,0,20.1,12.5,339.3,1015,100,15,17,0.1,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T11:00:00,47.2,41.6,41.3,79.73,0,14.3,,0,0,23.3,13.2,349.6,1014,100,15,38,0.1,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T12:00:00,49,43.5,41.8,76.1,0,14.3,,0,0,22.8,14.5,349.5,1014,100,15,145,0.5,1,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T13:00:00,50.6,50.6,41.6,71.16,0,14.3,,0,0,22.8,14.1,344.3,1015,95.9,15,134,0.5,1,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T14:00:00,55.1,55.1,41.4,59.91,0,14.3,,0,0,24.6,15.9,348.6,1015,100,15,177,0.6,2,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T15:00:00,54.9,54.9,39.6,56.24,0,0,,0,0,26.6,16.3,349.2,1015,100,15,116,0.4,1,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T16:00:00,53.9,53.9,37.5,53.76,0,0,,0,0,32.7,17.4,352.2,1016,100,15,57,0.2,1,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T17:00:00,52.2,52.2,33.9,49.46,0,0,,0,0,33.6,17.2,356.1,1017,100,15,33,0.1,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T18:00:00,51,51,33.9,51.82,0,0,,0,0,34.2,17,10.5,1017,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T19:00:00,50.1,50.1,34.8,55.53,0,0,,0,0,31.8,14.3,10.2,1019,99.2,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T20:00:00,49.7,45,34.2,55.08,0,0,,0,0,31.8,12.3,357.3,1020,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T21:00:00,49.5,44.6,34.8,56.66,0,0,,0,0,31.5,12.8,0.6,1021,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T22:00:00,49.5,45.3,35.5,58.3,0,0,,0,0,28.2,10.5,9.9,1021,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-28T23:00:00,49.4,45,36.2,60.39,0,0,,0,0,28.4,10.7,4.1,1022,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T00:00:00,48.5,44,36,62.01,0,0,,0,0,25.9,10.5,0.3,1022,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T01:00:00,47.6,41.8,34.4,60.15,0,0,,0,0,29.8,14.1,0.5,1022,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T02:00:00,47,40.2,26.7,44.84,0,0,,0,0,33.1,17.7,5.6,1023,80.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.04,115.89",2022-11-29T03:00:00,43.4,35.6,10.7,25.87,0,4.8,,0,0,32.4,17.2,8.9,1024,99.6,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T04:00:00,41.3,32.8,10.8,28.33,0,4.8,,0,0,33.8,17.4,16.7,1025,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T05:00:00,38.9,29.4,8.9,28.4,0,4.8,,0,0,33.3,18.6,21.3,1025,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T06:00:00,38,28.2,6.5,26.47,0,4.8,,0,0,33.6,18.8,21.4,1027,80.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.04,115.89",2022-11-29T07:00:00,35.3,24.7,2.9,24.97,0,4.8,,0,0,34.4,18.6,21.5,1028,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T08:00:00,35.3,24.8,2.7,24.76,0,4.8,,0,0,33.1,18.3,22.7,1030,86.5,15,24,0.1,0,10,Partially cloudy,partly-cloudy-day,
"35.04,115.89",2022-11-29T09:00:00,36.4,26,1.7,22.56,0,9.5,,0,0,30,19,23,1031,100,15,162,0.6,2,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T10:00:00,37.1,26.8,1.3,21.57,0,9.5,snow,0,0,27.5,19.7,22.7,1032,96.1,7.7,196,0.7,2,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T11:00:00,38.7,28.9,0,19.08,0,9.5,,0,0,25.7,19.9,20,1033,100,15,387,1.4,4,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T12:00:00,39.3,29.7,-1.4,17.46,0,9.5,,0,0,25.1,19.2,14.5,1033,99.9,15,393,1.4,4,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T13:00:00,39.8,30.4,-1.6,16.95,0,9.5,,0,0,24.4,19.2,15.8,1033,100,15,433,1.6,4,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T14:00:00,39.3,29.9,-1.6,17.31,0,9.5,,0,0,23,18.8,12,1033,99.8,15,377,1.4,4,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T15:00:00,38.2,28.6,-1.8,17.91,0,0,,0,0,22.6,18.3,10,1034,100,15,280,1,3,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T16:00:00,37.3,27.9,-0.1,20.02,0,0,,0,0,22.1,16.6,15.5,1034,100,15,146,0.5,1,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T17:00:00,35.3,25.8,0.6,22.39,0,0,,0,0,22.1,15.2,19.5,1036,91.8,15,38,0.1,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T18:00:00,34.2,25,0.4,23.18,0,0,,0,0,21.3,13.6,23.6,1038,100,15,0,,0,10,Overcast,cloudy,
"35.04,115.89",2022-11-29T19:00:00,33.3,24.1,-0.5,23.03,0,0,,0,0,22.1,13,26.9,1039,100,15,0,,0,10,Overcast,cloudy,
