name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.46,115.5",2022-11-28T00:00:00,42.3,36.2,37.5,82.79,0,0,rain,0,0,14.5,11,350,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.46,115.5",2022-11-28T01:00:00,42.3,35.9,37.8,83.97,0,0,,0,0,15.9,11.6,340.3,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.46,115.5",2022-11-28T02:00:00,42,35.3,38.2,86.35,0,0,,0,0,17,12.1,343.1,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.46,115.5",2022-11-28T03:00:00,41.8,35.5,38.2,86.95,0.008,100,rain,0,0,16.6,11,353.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.46,115.5",2022-11-28T04:00:00,42.2,37.5,38.7,87.58,0.004,100,rain,0,0,11.4,7.4,9.2,1012,100,14.6,0,,0,10,"Rain, Overcast",rain,remote
"35.46,115.5",2022-11-28T05:00:00,42.7,37.1,39.5,88.23,0.004,100,rain,0,0,14.1,9.8,350.9,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.46,115.5",2022-11-28T06:00:00,42.7,36.1,39.3,87.61,0.004,100,rain,0,0,22.1,12.5,343.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.46,115.5",2022-11-28T07:00:00,43.1,37.1,38.6,84.01,0,0,,0,0,20.4,11,346.8,1014,100,15,0,,0,10,Overcast,cloudy,remote
"35.46,115.5",2022-11-28T08:00:00,42.9,37.2,38.4,84,0.004,100,rain,0,0,18.6,10.1,9.3,1014,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"35.46,115.5",2022-11-28T09:00:00,43.8,38.1,38.6,81.73,0,4.8,,0,0,18.1,10.5,355.2,1015,100,15,20,0.1,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T10:00:00,45.4,40.2,38.2,75.77,0,4.8,,0,0,16.8,10.3,348.3,1016,79.5,15,54,0.2,1,10,Partially cloudy,partly-cloudy-day,
"35.46,115.5",2022-11-28T11:00:00,49.2,44.6,38.7,67.13,0,4.8,,0,0,17.9,11.4,357.5,1015,15.6,15,202,0.7,2,10,Clear,clear-day,
"35.46,115.5",2022-11-28T12:00:00,53.3,53.3,39.1,58.42,0,4.8,,0,0,22.6,16.1,353.7,1015,4.8,15,489,1.8,5,10,Clear,clear-day,
"35.46,115.5",2022-11-28T13:00:00,54.8,54.8,36.8,50.57,0,4.8,,0,0,23.5,16.6,349.4,1015,100,15,525,1.9,5,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T14:00:00,55.1,55.1,32.8,42.63,0,4.8,,0,0,25.9,17.4,353.3,1016,100,15,369,1.3,4,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T15:00:00,54.2,54.2,30.6,40.38,0,0,,0,0,31.8,16.1,355.9,1016,100,15,209,0.8,2,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T16:00:00,53.3,53.3,28.8,38.78,0,0,,0,0,31.5,15,1.1,1018,100,15,99,0.4,1,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T17:00:00,51.7,51.7,27.2,38.51,0,0,,0,0,35.3,16.6,10.5,1018,100,15,18,0.1,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T18:00:00,50.6,50.6,26.9,39.49,0,0,,0,0,35.3,15.4,14.9,1018,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T19:00:00,50.1,50.1,26.7,39.99,0,0,,0,0,29.5,11.9,1.8,1021,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T20:00:00,49.7,44.6,26.1,39.64,0,0,,0,0,32.4,13.6,4,1021,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T21:00:00,49.4,44.9,26.3,40.47,0,0,,0,0,30,11.2,4.2,1022,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T22:00:00,47.9,43.6,26.5,43.03,0,0,,0,0,25.7,9.6,5,1022,99.6,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-28T23:00:00,46.7,41.4,21.3,36.27,0,0,,0,0,27.3,11.6,354.5,1023,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-29T00:00:00,45.9,39.6,8.5,21.34,0,0,,0,0,30.9,14.3,356.4,1024,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-29T01:00:00,44.7,37.1,12.5,26.7,0,0,,0,0,33.6,18.1,15.4,1024,100,15,0,,0,10,Overcast,cloudy,
"35.46,115.5",2022-11-29T02:00:00,43.4,35.6,13.9,29.85,0,0,,0,0,33.6,17.2,19,1025,63.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,
