name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.97,115.33",2022-11-28T00:00:00,43.6,37.7,37.8,80.01,0,0,,0,0,14.1,11.2,357.9,1012,100,15,0,,0,10,Overcast,cloudy,remote
"34.97,115.33",2022-11-28T01:00:00,43.6,37.2,37.7,79.44,0,0,,0,0,15.9,12.5,348.1,1013,100,15,0,,0,10,Overcast,cloudy,remote
"34.97,115.33",2022-11-28T02:00:00,43.2,36.9,38.4,82.85,0.008,100,rain,0,0,16.1,12.1,350.2,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.97,115.33",2022-11-28T03:00:00,43.1,36.5,38.4,83.42,0.004,100,rain,0,0,17.2,12.5,353.1,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.97,115.33",2022-11-28T04:00:00,43.1,37.4,38.4,83.42,0,0,,0,0,15.2,10.1,1.5,1012,100,15,0,,0,10,Overcast,cloudy,remote
"34.97,115.33",2022-11-28T05:00:00,43.6,38.3,39.3,84.64,0.012,100,rain,0,0,14.3,9.6,8.9,1012,100,13.9,0,,0,10,"Rain, Overcast",rain,remote
"34.97,115.33",2022-11-28T06:00:00,43.8,37.2,39.5,84.65,0.004,100,rain,0,0,21.3,13.2,341.6,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"34.97,115.33",2022-11-28T07:00:00,43.8,38.2,39.3,84.06,0,0,,0,0,18.3,10.3,352.1,1014,100,15,0,,0,10,Overcast,cloudy,remote
"34.97,115.33",2022-11-28T08:00:00,44.1,38.7,38.6,80.61,0,0,,0,0,16.1,10.3,354.5,1014,100,15,2,0,0,10,Overcast,cloudy,remote
"34.97,115.33",2022-11-28T09:00:00,44.5,39,37.8,77.3,0,9.5,,0,0,17.2,10.5,354.3,1015,100,15,22,0.1,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T10:00:00,45,39.5,37.5,74.67,0.004,9.5,rain,0,0,17.9,11.2,350.6,1015,100,15,44,0.2,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T11:00:00,45.8,40,36.6,70.13,0,9.5,,0,0,20.6,12.3,353.8,1015,100,15,42,0.2,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T12:00:00,49.5,44.8,36.6,60.85,0,9.5,,0,0,21,12.1,352.4,1015,100,15,96,0.3,1,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T13:00:00,54.9,54.9,37.1,50.95,0,9.5,,0,0,21.7,14.5,351.7,1015,100,15,254,0.9,3,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T14:00:00,56,56,34.4,44.03,0,9.5,,0,0,24.8,16.6,350.2,1016,100,15,307,1.1,3,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T15:00:00,54.8,54.8,31.7,41.36,0,0,,0,0,30.2,15.4,353.2,1016,100,15,158,0.6,2,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T16:00:00,54.2,54.2,29.4,38.36,0,0,,0,0,33.8,15.2,2.2,1017,100,15,139,0.5,1,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T17:00:00,52.8,52.8,27.2,37.01,0,0,,0,0,33.8,14.8,9,1018,100,15,34,0.1,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T18:00:00,51.9,51.9,25.8,36.05,0,0,,0,0,36.9,16.6,12.4,1018,99.2,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T19:00:00,50.6,50.6,25.1,36.66,0,0,,0,0,37.8,16.6,12.5,1019,99.1,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T20:00:00,50.8,50.8,24.3,35.34,0,0,,0,0,32.9,14.1,14,1021,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T21:00:00,50.8,50.8,24,34.81,0,0,,0,0,32.7,14.1,12.1,1021,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T22:00:00,50.1,50.1,24.3,36.29,0,0,,0,0,31.3,12.1,21,1021,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-28T23:00:00,49.5,44.5,21.8,33.31,0,0,,0,0,30.6,13.4,5.3,1022,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T00:00:00,48.5,42.6,9.2,20.04,0,0,,0,0,30.2,15.2,2.7,1023,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T01:00:00,47,40.5,5.1,17.54,0,0,,0,0,33.1,16.3,8.6,1023,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T02:00:00,45.4,38,11.6,24.97,0,0,,0,0,33.3,18.1,18.7,1024,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T03:00:00,44,37.1,13.4,28.55,0,4.8,,0,0,30.6,14.3,19.5,1026,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T04:00:00,41.8,33.6,6.2,22.48,0,4.8,,0,0,31.8,17,23.4,1025,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T05:00:00,40,31.1,7.6,25.73,0,4.8,,0,0,31.8,17.4,28.9,1026,13.2,15,0,,0,10,Clear,clear-night,
"34.97,115.33",2022-11-29T06:00:00,36.6,26.5,4.5,25.59,0,4.8,,0,0,34.4,18.1,32.4,1027,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T07:00:00,36.2,26.4,3.3,24.49,0,4.8,,0,0,32.2,16.8,32.5,1029,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T08:00:00,35.1,25.1,1.5,23.52,0,4.8,,0,0,32.4,16.6,30.9,1031,100,15,19,0.1,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T09:00:00,35.5,24.9,-0.9,20.78,0,9.5,,0,0,28.9,18.8,28,1032,100,13.6,108,0.4,1,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T10:00:00,36.8,26.7,-0.9,19.77,0,9.5,,0,0,25.3,18.3,23.9,1033,100,15,222,0.8,2,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T11:00:00,37.8,28.2,-0.5,19.27,0,9.5,,0,0,23.5,18.1,22.9,1034,100,15,302,1.1,3,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T12:00:00,38.7,29.6,-0.1,18.92,0,9.5,,0,0,21.7,17.2,24.5,1034,92.6,15,368,1.3,4,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T13:00:00,39.6,30.9,-0.5,17.96,0,9.5,,0,0,19.7,16.8,20.3,1033,100,13.2,450,1.6,5,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T14:00:00,38.9,30,-0.7,18.32,0,9.5,snow,0,0,18.8,16.6,18.1,1034,100,10.7,306,1.1,3,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T15:00:00,38,29,-1.2,18.5,0,0,snow,0,0,18.6,16.1,22.6,1034,100,7.3,211,0.8,2,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T16:00:00,36.9,27.6,-1.2,19.3,0.004,0,rain,0,0,19.2,16.1,25,1035,100,10.7,132,0.5,1,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T17:00:00,36,27.2,-0.3,20.86,0,0,,0,0,18.8,13.6,25.3,1036,100,15,37,0.1,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T18:00:00,35.3,26.5,-0.5,21.29,0,0,,0,0,19.5,13.2,33.6,1037,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T19:00:00,34.2,25.8,-1.2,21.48,0,0,,0,0,18.6,11.6,38.8,1039,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T20:00:00,33.7,25.6,-1.4,21.76,0,0,,0,0,20.6,10.5,42.2,1040,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T21:00:00,32.8,25.9,-1.6,22.37,0,0,,0,0,23,7.8,37.6,1040,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T22:00:00,31.9,22.3,-1.4,23.39,0,0,,0,0,18.6,13,47.4,1041,98.6,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-29T23:00:00,29.2,18.3,-6.8,20.16,0,0,,0,0,21.9,14.3,42.6,1042,67.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"34.97,115.33",2022-11-30T00:00:00,27.6,16.7,-8.2,20.08,0,0,,0,0,22.8,13.2,35.3,1043,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T01:00:00,26.1,14.7,-8.8,20.75,0,0,,0,0,21.9,13.6,43.2,1043,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T02:00:00,25.1,14.4,-12.6,18,0,0,,0,0,22.6,11.4,35.7,1043,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T03:00:00,23.8,13.7,-11.7,19.84,0,0,,0,0,20.8,9.8,36.5,1043,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T04:00:00,22.7,13.2,-11.8,20.58,0,0,,0,0,20.1,8.5,32.9,1043,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T05:00:00,22.4,13.2,-13.1,19.62,0,0,,0,0,19.7,7.8,35.6,1043,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T06:00:00,21.5,13.4,-14,19.48,0,0,,0,0,17.7,6.3,43.8,1044,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T07:00:00,21.5,13.7,-14.5,18.96,0,0,,0,0,15.9,6,46,1044,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T08:00:00,22,13.9,-16.3,16.91,0,0,,0,0,14.8,6.5,48.1,1045,100,15,29,0.1,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T09:00:00,23.8,15.7,-18.5,14.04,0,0,,0,0,10.1,6.9,55,1045,100,15,150,0.5,2,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T10:00:00,26.1,18.9,-19,12.39,0,0,,0,0,8.3,6.5,36.7,1046,100,15,288,1,3,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T11:00:00,28.3,21.4,-19,11.33,0,0,,0,0,7.4,6.5,33,1045,100,15,437,1.6,4,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T12:00:00,29.9,23.4,-18.9,10.71,0,0,,0,0,6.9,6.5,35.1,1043,100,15,500,1.8,5,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T13:00:00,30.8,25,-18.7,10.42,0,0,,0,0,5.8,5.8,23.3,1042,100,15,467,1.7,5,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T14:00:00,31.5,26.6,-18.5,10.21,0,0,,0,0,4.7,4.9,41.2,1041,100,15,404,1.5,4,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T15:00:00,31.9,27.7,-18.3,10.16,0,0,,0,0,4.3,4.3,36.4,1040,100,15,346,1.2,3,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T16:00:00,31.5,27.8,-18.1,10.4,0,0,,0,0,3.6,3.8,45.7,1040,100,15,188,0.7,2,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T17:00:00,30.6,30.6,-14.9,12.73,0,0,,0,0,3.1,2.9,60.1,1040,100,15,51,0.2,1,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T18:00:00,31,31,-15.1,12.43,0,0,,0,0,2.7,2.2,89.3,1041,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T19:00:00,30.8,27,-14.5,12.87,0,0,,0,0,3.8,3.8,114.5,1041,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T20:00:00,30.8,26.7,-13.6,13.46,0,0,,0,0,3.8,4,130.6,1041,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T21:00:00,30.6,26.2,-12.4,14.45,0,0,,0,0,4.5,4.3,137.4,1041,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T22:00:00,29.6,25,-9,17.88,0,0,,0,0,6.3,4.3,136.8,1040,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-11-30T23:00:00,29,24.9,-7.5,19.61,0,0,,0,0,4.7,3.8,148.3,1040,100,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T00:00:00,27.6,22.4,-6.6,21.73,0,0,,0,0,4.5,4.5,146.2,1039,74.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"34.97,115.33",2022-12-01T01:00:00,26.3,20.5,-6.6,22.89,0,0,,0,0,4.7,4.9,170,1039,5,15,0,,0,10,Clear,clear-night,
"34.97,115.33",2022-12-01T02:00:00,25.2,20.2,-7,23.52,0,0,,0,0,4,4,165.4,1039,10.5,15,0,,0,10,Clear,clear-night,
"34.97,115.33",2022-12-01T03:00:00,24.9,18.6,-7.5,23.26,0,0,,0,0,4.9,5.1,167.4,1038,10.7,15,0,,0,10,Clear,clear-night,
"34.97,115.33",2022-12-01T04:00:00,24.3,18.4,-7.9,23.37,0,0,,0,0,4.7,4.7,179.1,1038,78,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"34.97,115.33",2022-12-01T05:00:00,24.2,17.7,-7.9,23.55,0,0,,0,0,4.9,5.1,178.5,1037,10.7,15,0,,0,10,Clear,clear-night,
"34.97,115.33",2022-12-01T06:00:00,23.6,17.6,-8.2,23.67,0,0,,0,0,4.7,4.7,187.2,1037,99.9,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T07:00:00,24.2,17.5,-8.1,23.34,0,0,,0,0,5.4,5.4,187.9,1038,97.1,15,0,,0,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T08:00:00,25.8,20.3,-7.3,22.6,0,0,,0,0,7.8,4.5,189.7,1038,68.6,15,29,0.1,0,10,Partially cloudy,partly-cloudy-day,
"34.97,115.33",2022-12-01T09:00:00,29.6,23.5,-9,17.88,0,0,,0,0,7.8,5.8,188.9,1038,100,15,180,0.6,2,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T10:00:00,32.4,26.4,-9.7,15.36,0,0,,0,0,8.3,6.5,195.3,1038,100,15,312,1.1,3,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T11:00:00,34.6,28.7,-9.5,14.21,0,0,,0,0,8.5,6.9,210,1037,100,15,359,1.3,4,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T12:00:00,36.9,31.2,-8.1,13.9,0,0,,0,0,9.2,7.4,228.4,1037,100,15,479,1.7,5,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T13:00:00,37.3,31.8,-7.2,14.32,0,0,,0,0,8.9,7.2,231.3,1035,100,15,310,1.1,3,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T14:00:00,38.7,33.5,-6.4,14.01,0,0,,0,0,9.2,7.2,247,1034,100,15,366,1.3,4,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T15:00:00,38.6,33.9,-5.7,14.61,0,0,,0,0,7.8,6.3,254.2,1033,100,15,212,0.8,2,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T16:00:00,38.4,34,-4.3,15.77,0,0,,0,0,6.9,5.8,246.8,1033,100,15,140,0.5,1,10,Overcast,cloudy,
"34.97,115.33",2022-12-01T17:00:00,36.2,33.4,-1.4,19.69,0,0,,0,0,3.6,3.6,233.4,1033,100,15,44,0.2,0,10,Overcast,cloudy,
