name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.4,115.29",2022-07-01T00:00:00,74.4,74.4,68.4,81.76,0,0,,0,0,12.3,6,140.9,1007,3.9,15,0,,0,3,Clear,clear-night,remote
"35.4,115.29",2022-07-01T01:00:00,73.8,73.8,67.9,81.72,0,0,,0,0,8.5,4,161.6,1006,5,15,0,,0,5,Clear,clear-night,remote
"35.4,115.29",2022-07-01T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,15.7,2.2,10,1006.3,4.9,2.5,0,,0,5,Clear,clear-night,54909099999
"35.4,115.29",2022-07-01T03:00:00,73.8,73.8,66.6,78.25,0,0,,0,0,2,2,245.7,1006,1.2,15,0,,0,3,Clear,clear-night,remote
"35.4,115.29",2022-07-01T04:00:00,73.8,73.8,65.7,75.84,0,0,,0,0,2.2,1.8,340.8,1006,5,15,0,,0,3,Clear,clear-night,remote
"35.4,115.29",2022-07-01T05:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,15.7,2.2,30,1006.8,4.9,1.9,0,,0,10,Clear,clear-night,54909099999
"35.4,115.29",2022-07-01T06:00:00,75.3,75.3,65.7,72.27,0,0,,0,0,5.4,3.8,3.4,1007,4.1,15,28,0.1,0,5,Clear,clear-day,remote
"35.4,115.29",2022-07-01T07:00:00,78.3,78.3,65.9,65.71,0,0,,0,0,6.5,4.7,11.4,1007,4.9,15,180,0.6,2,5,Clear,clear-day,remote
"35.4,115.29",2022-07-01T08:00:00,80.9,85.1,71.9,74.16,0,0,,0,0,11.2,4.5,40,1007.7,3.5,5,373,1.3,4,3,Clear,clear-day,54909099999
"35.4,115.29",2022-07-01T09:00:00,85,87,65.4,51.94,0,0,,0,0,5.4,5.6,70.4,1007,3.1,15,562,2,6,10,Clear,clear-day,remote
"35.4,115.29",2022-07-01T10:00:00,87.9,89.7,64.8,46.51,0,0,,0,0,5.4,6.3,80.7,1007,0,15,728,2.6,7,10,Clear,clear-day,remote
"35.4,115.29",2022-07-01T11:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,11.2,4.5,80,1007.7,0,8.1,854,3.1,9,10,Clear,clear-day,54909099999
"35.4,115.29",2022-07-01T12:00:00,93.1,95,64.1,38.51,0,0,,0,0,4,7.2,100.7,1006,0,15,932,3.4,9,10,Clear,clear-day,remote
"35.4,115.29",2022-07-01T13:00:00,95.1,97.2,64.1,36.22,0,0,,0,0,4.5,7.8,115.4,1006,0.1,15,953,3.4,10,30,Clear,clear-day,remote
"35.4,115.29",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,2.2,140,1006.6,8.8,13.7,917,3.3,9,30,Clear,clear-day,54909099999
"35.4,115.29",2022-07-01T15:00:00,95.1,97.7,64.8,37.14,0,0,,0,0,6,9.4,131.8,1005,12.1,15,825,3,8,30,Clear,clear-day,remote
"35.4,115.29",2022-07-01T16:00:00,94.6,96.8,64.5,37.29,0,0,,0,0,6.5,10.1,133.4,1005,7.7,15,688,2.5,7,30,Clear,clear-day,remote
"35.4,115.29",2022-07-01T17:00:00,92,98.7,70.8,50.1,0,0,,0,0,11.2,2.2,60,1005,1.7,13.7,514,1.9,5,30,Clear,clear-day,54909099999
"35.4,115.29",2022-07-01T18:00:00,92.2,94.2,64.5,40.1,0,0,,0,0,7.2,8.9,140.6,1005,0,15,322,1.2,3,10,Clear,clear-day,remote
"35.4,115.29",2022-07-01T19:00:00,90.1,92.2,65.2,43.99,0,0,,0,0,9.6,7.4,132.2,1005,0,15,135,0.5,1,10,Clear,clear-day,remote
"35.4,115.29",2022-07-01T20:00:00,88.1,94.8,71.9,58.85,0,0,,0,0,11.2,4.5,90,1005.7,0,11.2,12,0,0,10,Clear,clear-night,54909099999
"35.4,115.29",2022-07-01T21:00:00,84.3,86.6,66.3,54.84,0,0,,0,0,5.4,4.9,139.9,1006,1.9,15,0,,0,10,Clear,clear-night,remote
"35.4,115.29",2022-07-01T22:00:00,83.2,85.7,66.6,57.5,0,0,,0,0,3.1,2.9,149,1007,4.6,15,0,,0,10,Clear,clear-night,remote
"35.4,115.29",2022-07-01T23:00:00,85.4,91.6,72.2,64.91,0,0,,0,0,11.2,4.5,90,1007.4,26.4,5,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
"35.4,115.29",2022-07-02T00:00:00,81.6,84.1,67,61.35,0,0,,0,0,5.1,5.1,94.9,1007,98.2,15,0,,0,3,Overcast,cloudy,remote
"35.4,115.29",2022-07-02T01:00:00,80.7,83.1,67.2,63.57,0,0,,0,0,6.3,5.6,106.9,1007,87.1,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.4,115.29",2022-07-02T02:00:00,83.6,89.2,72.2,68.78,0,0,,0,0,11.2,4.5,70,1006.5,41.6,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
"35.4,115.29",2022-07-02T03:00:00,79.2,79.2,67,66.23,0,0,,0,0,6.7,5.4,80.2,1006,99.2,15,0,,0,3,Overcast,cloudy,remote
"35.4,115.29",2022-07-02T04:00:00,78.7,78.7,67,67.41,0,0,,0,0,5.8,4.9,97.9,1006,82.6,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.4,115.29",2022-07-02T05:00:00,80.9,85.8,73.5,78.33,0,0,,0,0,11.2,2.2,100,1006.6,77.5,3.7,0,,0,5,Partially cloudy,partly-cloudy-night,54909099999
"35.4,115.29",2022-07-02T06:00:00,79.4,79.4,67.4,66.66,0,0,,0,0,5.1,3.8,104.8,1007,89.5,15,26,0.1,0,5,Partially cloudy,partly-cloudy-day,remote
"35.4,115.29",2022-07-02T07:00:00,82.8,85.6,67.4,59.64,0,0,,0,0,4.5,4,78.4,1007,97.3,15,158,0.6,2,3,Overcast,cloudy,remote
"35.4,115.29",2022-07-02T08:00:00,84.5,93.8,76.2,76.3,0,0,,0,0,8.9,6.7,70,1007.5,100,3.1,331,1.2,3,10,Overcast,cloudy,54909099999
"35.4,115.29",2022-07-02T09:00:00,89.5,94.3,69.2,51.3,0,0,,0,0,4.7,5.6,127.2,1007,100,15,506,1.8,5,30,Overcast,cloudy,remote
"35.4,115.29",2022-07-02T10:00:00,92.6,97.9,69.2,46.62,0,0,,0,0,5.4,6.3,133.8,1006,98.9,15,666,2.4,7,30,Overcast,cloudy,remote
"35.4,115.29",2022-07-02T11:00:00,91.7,103.8,75.8,60.02,0,0,,0,0,11.2,6.7,130,1007,5.8,9.9,817,2.9,8,30,Clear,clear-day,54909099999
"35.4,115.29",2022-07-02T12:00:00,98.5,104.1,67.9,37.2,0,0,,0,0,6.7,8.7,134,1005,100,15,922,3.3,9,30,Overcast,cloudy,remote
"35.4,115.29",2022-07-02T13:00:00,96.9,101.6,67.4,38.36,0.004,100,rain,0,0,7.4,9.6,139.5,1005,100,12.3,444,1.6,4,30,"Rain, Overcast",rain,remote
"35.4,115.29",2022-07-02T14:00:00,94.2,105.3,74.4,52.9,0,0,,0,0,13.4,6.7,100,1004.6,100,17.4,76,0.3,1,60,Overcast,cloudy,54909099999
