name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.4,115.29",2022-11-28T00:00:00,41.4,35.1,37.1,84.5,0,0,rain,0,0,15.4,11,359.7,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.4,115.29",2022-11-28T01:00:00,41.4,34.7,37.5,85.71,0,0,rain,0,0,16.6,11.9,342,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.4,115.29",2022-11-28T02:00:00,41.1,34.3,37.5,86.91,0.008,100,rain,0,0,17.2,11.9,347.1,1014,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.4,115.29",2022-11-28T03:00:00,41.1,35,37.8,88.14,0.008,100,rain,0,0,15.7,10.1,355.4,1013,100,13.2,0,,0,10,"Rain, Overcast",rain,remote
"35.4,115.29",2022-11-28T04:00:00,41.6,36.9,38.4,88.17,0.008,100,rain,0,0,10.7,7.4,10.3,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.4,115.29",2022-11-28T05:00:00,42,35.9,38.7,88.19,0.004,100,rain,0,0,15.2,10.5,347.8,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.4,115.29",2022-11-28T06:00:00,42.2,35.7,38,85.15,0,0,,0,0,21.5,11.6,351.4,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.4,115.29",2022-11-28T07:00:00,42.3,36.1,36.6,79.9,0,0,rain,0,0,21,11.2,346.2,1014,100,15,0,,0,10,Overcast,cloudy,remote
"35.4,115.29",2022-11-28T08:00:00,42.5,36.9,36.6,79.35,0.004,100,rain,0,0,19.5,9.6,0.2,1014,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"35.4,115.29",2022-11-28T09:00:00,43.4,37.8,35.9,74.51,0,4.8,,0,0,18.8,10.3,356,1015,75.4,15,25,0.1,0,10,Partially cloudy,partly-cloudy-day,
"35.4,115.29",2022-11-28T10:00:00,46.5,41.3,35.3,64.93,0,4.8,,0,0,17,11,355.6,1016,45.8,15,165,0.6,2,10,Partially cloudy,partly-cloudy-day,
"35.4,115.29",2022-11-28T11:00:00,50.4,50.4,36.4,58.43,0,4.8,,0,0,17.4,12.5,355,1016,5.2,15,383,1.4,4,10,Clear,clear-day,
"35.4,115.29",2022-11-28T12:00:00,53,53,36.4,53.24,0,4.8,,0,0,21.5,15.4,356.2,1015,22.1,15,518,1.9,5,10,Partially cloudy,partly-cloudy-day,
"35.4,115.29",2022-11-28T13:00:00,54.6,54.6,33.9,45.4,0,4.8,,0,0,23.7,16.1,349.4,1016,100,15,517,1.9,5,10,Overcast,cloudy,
"35.4,115.29",2022-11-28T14:00:00,54.9,54.9,30.6,39.33,0,4.8,,0,0,26.6,17.4,351.7,1016,100,15,340,1.2,3,10,Overcast,cloudy,
"35.4,115.29",2022-11-28T15:00:00,54.1,54.1,29.4,38.62,0,0,,0,0,33.8,15.7,357.7,1017,100,15,168,0.6,2,10,Overcast,cloudy,
"35.4,115.29",2022-11-28T16:00:00,53.7,53.7,27.9,36.89,0,0,,0,0,32,14.8,1.3,1018,100,15,116,0.4,1,10,Overcast,cloudy,
