name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.15,115.33",2022-11-28T00:00:00,42.5,36.2,37.1,81.06,0,0,,0,0,15.2,11.4,0.1,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.15,115.33",2022-11-28T01:00:00,42.5,35.8,37.5,82.22,0.004,100,rain,0,0,16.6,12.5,346.5,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.15,115.33",2022-11-28T02:00:00,42.2,35.5,38,85.15,0,0,,0,0,17.2,12.3,348.3,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.15,115.33",2022-11-28T03:00:00,42,35.6,37.8,85.14,0.004,100,rain,0,0,16.8,11.4,352.3,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.15,115.33",2022-11-28T04:00:00,42.3,37.2,38.2,85.16,0,0,rain,0,0,13.2,8.5,9.1,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.15,115.33",2022-11-28T05:00:00,42.9,37.4,39.1,86.4,0.004,100,rain,0,0,13.9,9.6,356.6,1012,100,12.7,0,,0,10,"Rain, Overcast",rain,remote
"35.15,115.33",2022-11-28T06:00:00,42.9,36.4,38.9,85.79,0.008,100,rain,0,0,22.4,12.3,345.9,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.15,115.33",2022-11-28T07:00:00,43.2,37.3,38,81.69,0,0,,0,0,20.4,11,345.9,1014,100,15,0,,0,10,Overcast,cloudy,remote
"35.15,115.33",2022-11-28T08:00:00,43.2,37.8,37.1,78.85,0,0,,0,0,16.8,9.6,359.1,1014,100,15,2,0,0,10,Overcast,cloudy,remote
"35.15,115.33",2022-11-28T09:00:00,44,38.5,37.1,76.71,0,9.5,,0,0,17.9,10.3,351.8,1015,100,15,17,0.1,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T10:00:00,44.7,39.3,36.2,72.03,0,9.5,,0,0,17.4,10.5,353.8,1016,97.8,15,27,0.1,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T11:00:00,47.7,42.7,36,63.71,0,9.5,,0,0,18.8,11.6,354.6,1016,62.4,15,98,0.4,1,10,Partially cloudy,partly-cloudy-day,
"35.15,115.33",2022-11-28T12:00:00,53.1,53.1,37.3,54.8,0,9.5,,0,0,21,14.5,353.5,1015,88.8,15,354,1.3,4,10,Partially cloudy,partly-cloudy-day,
"35.15,115.33",2022-11-28T13:00:00,55.5,55.5,35.5,46.87,0,9.5,,0,0,22.1,15.7,349.7,1015,100,15,499,1.8,5,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T14:00:00,55.5,55.5,32.3,41.18,0,9.5,,0,0,27.1,17.4,351.6,1016,100,15,357,1.3,4,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T15:00:00,54.6,54.6,30.1,38.99,0,0,,0,0,32,15.7,355.9,1017,100,15,148,0.5,1,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T16:00:00,53.9,53.9,28.3,37.19,0,0,,0,0,32.9,15,2.1,1018,100,15,107,0.4,1,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T17:00:00,52.6,52.6,26.7,36.44,0,0,,0,0,35.3,15.7,12.1,1018,100,15,28,0.1,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T18:00:00,51.5,51.5,25.1,35.46,0,0,,0,0,35.6,15.9,15.4,1018,39.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.15,115.33",2022-11-28T19:00:00,49.9,44.3,24.5,36.81,0,0,,0,0,36,16.1,11,1019,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T20:00:00,50.4,50.4,24.5,36.08,0,0,,0,0,31.1,12.1,8.3,1021,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T21:00:00,49.9,45.2,24.7,37.09,0,0,,0,0,32.4,12.5,13.1,1021,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T22:00:00,49.4,44.8,24.3,37.28,0,0,,0,0,30.9,11.4,16.8,1022,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-28T23:00:00,49,43.6,14.6,24.95,0,0,,0,0,31.5,14.1,6.1,1023,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T00:00:00,47.2,41.4,4.7,17.14,0,0,,0,0,30,13.9,3.8,1024,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T01:00:00,46.5,39.5,6.3,18.96,0,0,,0,0,34.7,17.7,12.9,1023,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T02:00:00,44.3,36.7,13.9,28.84,0,0,,0,0,34,17.7,23.8,1024,81.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.15,115.33",2022-11-29T03:00:00,42.7,35,7.2,22.81,0,4.8,,0,0,32.9,16.1,17.6,1026,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T04:00:00,40.5,32,5.6,23.03,0,4.8,,0,0,31.3,17,22.5,1026,99.2,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T05:00:00,38,28.5,5.8,25.62,0,4.8,,0,0,32.7,17.7,30.6,1027,22.4,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.15,115.33",2022-11-29T06:00:00,35.5,25.4,3.8,25.84,0,4.8,,0,0,33.3,17.2,34,1028,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T07:00:00,35,24.9,2.6,24.91,0,4.8,,0,0,32,16.6,34.3,1029,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T08:00:00,34.1,23.8,1.3,24.35,0,4.8,,0,0,31.5,16.3,32.7,1031,62,15,24,0.1,0,10,Partially cloudy,partly-cloudy-day,
"35.15,115.33",2022-11-29T09:00:00,34.6,23.8,-0.7,21.72,0,9.5,,0,0,27.7,18.6,28.6,1033,96.1,15,161,0.6,2,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T10:00:00,36,25.9,-0.5,20.69,0,9.5,,0,0,23.9,17.7,25.9,1034,100,15,264,1,3,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T11:00:00,36.9,27.2,-0.1,20.31,0,9.5,,0,0,22.6,17.2,25.2,1034,100,15,304,1.1,3,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T12:00:00,38.2,29.1,0.2,19.65,0,9.5,,0,0,20.4,16.3,26.2,1034,99,14.4,374,1.3,4,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T13:00:00,38.4,29.4,-0.3,19.03,0,9.5,snow,0,0,19.2,16.1,21.7,1034,100,8.5,364,1.3,4,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T14:00:00,37.8,28.7,-0.9,18.95,0,9.5,snow,0,0,18.8,16.1,18.6,1034,100,14.2,295,1.1,3,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T15:00:00,37.1,27.9,-1.2,19.16,0,0,snow,0,0,18.8,15.9,23.2,1034,100,11.9,219,0.8,2,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T16:00:00,36.2,26.7,-1.6,19.52,0.004,0,snow,0,0,19,15.9,26.4,1035,97.5,11.7,115,0.4,1,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T17:00:00,35.3,26.5,-1,20.75,0,0,,0,0,18.8,13.2,27.9,1036,99.7,15,44,0.2,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T18:00:00,34.2,25.4,-1.4,21.3,0,0,,0,0,18.6,12.5,35.2,1038,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T19:00:00,33.9,25.5,-1.8,21.24,0,0,,0,0,18.3,11.2,40.5,1039,95.4,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T20:00:00,33.2,26.1,-1.6,22.05,0,0,,0,0,20.8,8.3,43.3,1040,99.7,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T21:00:00,32.3,25.6,-0.7,23.85,0,0,,0,0,18.6,7.4,41.7,1040,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-29T22:00:00,30.6,20,-1.8,24.2,0,0,,0,0,19,14.5,54.1,1042,22.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"35.15,115.33",2022-11-29T23:00:00,27.9,17.1,-8.1,19.96,0,0,,0,0,22.8,13.2,42.8,1043,5.4,15,0,,0,10,Clear,clear-night,
"35.15,115.33",2022-11-30T00:00:00,26.5,15.7,-7.2,22.13,0,0,,0,0,20.6,12.3,40.9,1043,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T01:00:00,24.9,14.1,-9.1,21.48,0,0,,0,0,21.3,11.4,45.7,1043,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T02:00:00,23.8,14.1,-10.4,21.12,0,0,,0,0,21,9.2,42.8,1043,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T03:00:00,22.7,13.1,-11.3,21.14,0,0,,0,0,19.2,8.7,39.4,1043,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T04:00:00,21.8,13.1,-12.7,20.44,0,0,,0,0,18.1,7.2,36.2,1044,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T05:00:00,21.1,12.6,-13.3,20.51,0,0,,0,0,17,6.7,32.8,1044,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T06:00:00,20.7,12.4,-13.8,20.27,0,0,,0,0,16.6,6.5,38.9,1044,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T07:00:00,20.7,12.8,-14.2,19.9,0,0,,0,0,15.4,6,41.9,1044,100,15,0,,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T08:00:00,21.5,13.2,-16,17.62,0,0,,0,0,14.1,6.5,50,1045,100,15,29,0.1,0,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T09:00:00,23.6,15.5,-18.5,14.15,0,0,,0,0,9.8,6.9,55.5,1045,100,15,155,0.6,2,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T10:00:00,25.8,19,-19.2,12.46,0,0,,0,0,7.2,5.8,35.5,1046,99.7,15,272,1,3,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T11:00:00,27.8,21.4,-19.4,11.37,0,0,,0,0,6.3,5.8,30,1045,100,15,410,1.5,4,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T12:00:00,29.2,23.3,-19.2,10.82,0,0,,0,0,5.8,5.6,36.5,1043,100,15,424,1.5,4,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T13:00:00,30.5,26,-18.7,10.57,0,0,,0,0,4.5,4.3,16.3,1042,100,15,432,1.6,4,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T14:00:00,31.5,28.3,-18.3,10.31,0,0,,0,0,3.6,3.4,31.2,1041,100,15,452,1.6,5,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T15:00:00,31.7,28.8,-18.3,10.23,0,0,,0,0,2.9,3.1,19.3,1040,100,15,348,1.3,3,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T16:00:00,31.2,27.9,-18.1,10.56,0,0,,0,0,2.9,3.4,27.8,1040,100,15,180,0.6,2,10,Overcast,cloudy,
"35.15,115.33",2022-11-30T17:00:00,30.1,30.1,-14.7,13.13,0,0,,0,0,2.7,2.7,38.9,1040,100,15,46,0.2,0,10,Overcast,cloudy,
