name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"34.76,116.29",2022-07-01T00:00:00,74.7,74.7,71,88.04,0,0,,0,0,7.4,4.3,141.9,1006,98.8,15,0,,0,3,Overcast,cloudy,remote
"34.76,116.29",2022-07-01T01:00:00,74.7,74.7,71.3,89.12,0,0,,0,0,6,3.4,128.7,1006,5,15,0,,0,3,Clear,clear-night,remote
"34.76,116.29",2022-07-01T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,15.7,2.2,10,1006.3,5,2.5,0,,0,3,Clear,clear-night,54909099999
"34.76,116.29",2022-07-01T03:00:00,73.7,73.7,70.6,90.17,0,0,,0,0,3.8,4,334.9,1005,0,15,0,,0,3,Clear,clear-night,remote
"34.76,116.29",2022-07-01T04:00:00,72.8,72.8,70.2,91.81,0,0,,0,0,5.1,4.5,354.3,1006,0,15,0,,0,3,Clear,clear-night,remote
"34.76,116.29",2022-07-01T05:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,15.7,2.2,30,1006.8,0,1.9,0,,0,5,Clear,clear-night,54909099999
"34.76,116.29",2022-07-01T06:00:00,73.5,73.5,70.1,89.07,0,0,,0,0,7.6,4.7,40.4,1007,0,15,31,0.1,0,3,Clear,clear-day,remote
"34.76,116.29",2022-07-01T07:00:00,76.6,76.6,70.2,80.91,0,0,,0,0,5.8,4.7,43.7,1007,0,15,185,0.7,2,3,Clear,clear-day,remote
"34.76,116.29",2022-07-01T08:00:00,80.9,85.1,71.9,74.16,0,0,,0,0,11.2,4.5,40,1007.7,0,5,380,1.4,4,30,Clear,clear-day,54909099999
"34.76,116.29",2022-07-01T09:00:00,83.6,87.8,70.1,63.92,0,0,,0,0,4.7,4.9,41.7,1007,0,15,569,2,6,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T10:00:00,86.8,91.4,69.5,56.56,0,0,,0,0,4.5,5.1,50.9,1007,0,15,735,2.6,7,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T11:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,11.2,4.5,80,1007.7,0,8.1,860,3.1,9,30,Clear,clear-day,54909099999
"34.76,116.29",2022-07-01T12:00:00,93.5,98.5,68.6,44.5,0,0,,0,0,2.2,2.9,89.7,1006,0,15,935,3.4,9,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T13:00:00,95.4,100.2,67.7,40.59,0,0,,0,0,2.7,3.1,130.5,1006,4.6,15,953,3.4,10,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,2.2,140,1006.6,0,13.7,914,3.3,9,30,Clear,clear-day,54909099999
"34.76,116.29",2022-07-01T15:00:00,96,100.7,67.6,39.67,0,0,,0,0,2.7,1.8,173.7,1005,0,15,819,2.9,8,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T16:00:00,95.6,99.6,66.6,38.89,0,0,,0,0,2.9,1.1,214.7,1005,0,15,677,2.4,7,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T17:00:00,92,98.7,70.8,50.1,0,0,,0,0,11.2,2.2,60,1005,0,13.7,501,1.8,5,30,Clear,clear-day,54909099999
"34.76,116.29",2022-07-01T18:00:00,93.8,97.3,66.5,40.85,0,0,,0,0,4.7,2.9,309.1,1004,9.1,15,306,1.1,3,30,Clear,clear-day,remote
"34.76,116.29",2022-07-01T19:00:00,89.9,94.5,69,50.41,0,0,,0,0,7.4,6,1.1,1005,32.3,15,118,0.4,1,30,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-01T20:00:00,88.1,94.8,71.9,58.85,0,0,,0,0,11.2,4.5,90,1005.7,0.3,11.2,7,0,0,30,Clear,clear-night,54909099999
"34.76,116.29",2022-07-01T21:00:00,81.2,84.5,69.2,66.86,0.012,100,rain,0,0,14.5,8.5,355.9,1006,0,15,0,,0,3,Rain,rain,remote
"34.76,116.29",2022-07-01T22:00:00,79.8,79.8,69.5,70.95,0.012,100,rain,0,0,13.6,7.4,359.5,1007,0,15,0,,0,3,Rain,rain,remote
"34.76,116.29",2022-07-01T23:00:00,85.4,91.6,72.2,64.91,0,0,,0,0,11.2,4.5,90,1007.4,82.9,5,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
"34.76,116.29",2022-07-02T00:00:00,79.2,79.2,70.2,74.01,0.016,100,rain,0,0,10.1,5.8,44.3,1007,66.2,15,0,,0,3,"Rain, Partially cloudy",rain,remote
"34.76,116.29",2022-07-02T01:00:00,79.4,79.4,71.3,76.33,0,0,,0,0,6.3,5.1,66.8,1007,5,15,0,,0,30,Clear,clear-night,remote
"34.76,116.29",2022-07-02T02:00:00,83.6,89.2,72.2,68.78,0,0,,0,0,11.2,4.5,70,1006.5,28.6,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,54909099999
"34.76,116.29",2022-07-02T03:00:00,80,80,71.5,75.45,0,0,,0,0,2.7,2.5,116.7,1006,51.2,15,0,,0,8,Partially cloudy,partly-cloudy-night,remote
"34.76,116.29",2022-07-02T04:00:00,79.6,79.6,71,74.96,0.012,100,rain,0,0,5.1,5.1,81.2,1006,100,15,0,,0,3,"Rain, Overcast",rain,remote
"34.76,116.29",2022-07-02T05:00:00,80.9,85.8,73.5,78.33,0,0,,0,0,11.2,2.2,100,1006.6,82.8,3.7,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
"34.76,116.29",2022-07-02T06:00:00,78.7,78.7,72.1,80.08,0,0,,0,0,5.4,4.3,70.5,1006,100,15,29,0.1,0,3,Overcast,cloudy,remote
"34.76,116.29",2022-07-02T07:00:00,81.6,86.5,72.6,74.23,0,0,,0,0,7.4,5.6,84.2,1007,100,15,158,0.6,2,30,Overcast,cloudy,remote
"34.76,116.29",2022-07-02T08:00:00,84.5,93.8,76.2,76.3,0,0,,0,0,8.9,6.7,70,1007.5,100,3.1,319,1.1,3,60,Overcast,cloudy,54909099999
"34.76,116.29",2022-07-02T09:00:00,88.1,96.5,73.7,62.53,0,0,rain,0,0,6.3,4.7,138.3,1007,93.8,2.1,514,1.9,5,60,Overcast,cloudy,remote
"34.76,116.29",2022-07-02T10:00:00,92.4,98.8,70.4,48.94,0.012,100,rain,0,0,4.5,4.5,127.7,1007,5,15,691,2.5,7,30,Rain,rain,remote
"34.76,116.29",2022-07-02T11:00:00,91.7,103.8,75.8,60.02,0,0,,0,0,11.2,6.7,130,1007,5,9.9,854,3.1,9,30,Clear,clear-day,54909099999
"34.76,116.29",2022-07-02T12:00:00,96.9,103,69,40.55,0,0,,0,0,6,5.6,111.8,1006,46.6,15,928,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-02T13:00:00,98.1,104.6,69,39.03,0.004,100,rain,0,0,7.2,6.7,109.5,1005,100,15,889,3.2,9,30,"Rain, Overcast",rain,remote
"34.76,116.29",2022-07-02T14:00:00,94.2,105.3,74.4,52.9,0,0,rain,0,0,13.4,6.7,100,1004.6,100,17.4,142,0.5,1,30,Overcast,cloudy,54909099999
"34.76,116.29",2022-07-02T15:00:00,90.9,97.3,70.8,51.82,0,0,,0,0,5.4,4.9,134.9,1004,100,15,59,0.2,1,30,Overcast,cloudy,remote
"34.76,116.29",2022-07-02T16:00:00,92,100.1,72.2,52.6,0,0,,0,0,6.3,4.5,82.4,1004,74.8,15,139,0.5,1,30,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-02T17:00:00,89.3,102.5,77.3,67.75,0,0,,0,0,17.9,8.9,30,1003.9,98.5,14.3,268,1,3,60,Overcast,cloudy,54909099999
"34.76,116.29",2022-07-02T18:00:00,88.8,96,72.2,58.23,0,0,,0,0,20.1,9.2,73.8,1003,100,15,140,0.5,1,30,Overcast,cloudy,remote
"34.76,116.29",2022-07-02T19:00:00,88.4,93.7,70.1,54.73,0,0,,0,0,22.6,10.7,115.2,1004,95.3,15,23,0.1,0,10,Overcast,cloudy,remote
"34.76,116.29",2022-07-02T20:00:00,88.1,98.5,75.5,66.41,0,0,,0,0,17.9,4.5,80,1004.2,99.8,9.3,2,0,0,10,Overcast,cloudy,54909099999
"34.76,116.29",2022-07-02T21:00:00,85.9,88.8,67.2,53.72,0,0,,0,0,24.6,10.1,136,1005,58.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"34.76,116.29",2022-07-02T22:00:00,83.6,86.3,67.2,57.9,0,0,,0,0,23.7,8.3,130.3,1006,70.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"34.76,116.29",2022-07-02T23:00:00,83.9,94,77.3,80.46,0,0,,0,0,17.9,2.2,10,1005.6,89.2,5,0,,0,10,Partially cloudy,partly-cloudy-night,54909099999
"34.76,116.29",2022-07-03T00:00:00,81.6,84.3,67.6,62.51,0,0,,0,0,22.6,7.8,119.9,1006,93.5,15,0,,0,3,Overcast,cloudy,remote
"34.76,116.29",2022-07-03T01:00:00,81.1,84.2,69,66.84,0,0,,0,0,24.8,11.4,110.3,1005,100,15,0,,0,3,Overcast,cloudy,remote
"34.76,116.29",2022-07-03T02:00:00,76.7,76.7,74.9,94.18,0.079,100,rain,0,0,17.9,4.5,30,1005.2,56.1,1.9,0,,0,3,"Rain, Partially cloudy",rain,54909099999
"34.76,116.29",2022-07-03T03:00:00,79.2,79.2,72.6,80.12,0,0,,0,0,23,9.4,121.2,1005,45.8,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"34.76,116.29",2022-07-03T04:00:00,79.1,79.1,73.1,82.08,0,0,,0,0,21.3,8.9,118.8,1004,100,15,0,,0,10,Overcast,cloudy,remote
"34.76,116.29",2022-07-03T05:00:00,77.3,77.3,76.4,97.06,0,0,,0,0,15.7,4.5,80,1003.9,100,1.2,0,,0,10,Overcast,cloudy,54909099999
"34.76,116.29",2022-07-03T06:00:00,79.2,79.2,73.3,82.09,0,0,,0,0,20.1,8.7,122.2,1004,100,15,25,0.1,0,10,Overcast,cloudy,remote
"34.76,116.29",2022-07-03T07:00:00,79.4,79.4,73.1,81.11,0,0,,0,0,17,6.9,119.9,1005,100,15,11,0,0,10,Overcast,cloudy,remote
"34.76,116.29",2022-07-03T08:00:00,78.5,78.5,76.4,93.11,0.024,100,rain,0,0,15.7,4.5,70,1004.6,7.6,1.9,276,1,3,10,Rain,rain,54909099999
"34.76,116.29",2022-07-03T09:00:00,87.3,94.2,72.2,60.94,0,0,,0,0,12.5,10.3,127.8,1005,77.2,15,559,2,6,10,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-03T10:00:00,89.7,96.8,71.9,55.92,0,0,,0,0,12.3,10.5,130.7,1004,68.4,15,713,2.6,7,10,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-03T11:00:00,86.3,96.3,75.8,71.17,0,0,,0,0,15.7,2.2,110,1004.4,66.7,10.6,835,3,8,10,Partially cloudy,partly-cloudy-day,54909099999
"34.76,116.29",2022-07-03T12:00:00,93.6,100.8,71,47.93,0,0,,0,0,12.3,11,133.3,1003,72.2,15,905,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-03T13:00:00,95.3,101.8,69.9,43.95,0,0,,0,0,11.9,10.7,137,1003,100,15,918,3.3,9,10,Overcast,cloudy,remote
"34.76,116.29",2022-07-03T14:00:00,90.8,104.3,77.1,64.37,0.004,100,rain,0,0,13.4,6.7,90,1002.5,24.1,16.2,874,3.1,9,10,"Rain, Partially cloudy",rain,54909099999
"34.76,116.29",2022-07-03T15:00:00,97.6,102.5,67.4,37.52,0,0,,0,0,11,11.9,145.9,1001,75.5,15,807,2.9,8,10,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-03T16:00:00,97.1,101.7,67.2,37.91,0,0,,0,0,11.2,12.5,153.6,1001,31.4,15,650,2.3,7,10,Partially cloudy,partly-cloudy-day,remote
"34.76,116.29",2022-07-03T17:00:00,89.9,98.3,73.1,58.02,0,0,,0,0,15.7,6.7,100,1000.4,5,18.6,487,1.8,5,10,Clear,clear-day,54909099999
"34.76,116.29",2022-07-03T18:00:00,94.2,99.7,69,44.06,0,0,,0,0,13.9,11.4,151.9,1001,5,15,301,1.1,3,10,Clear,clear-day,remote
"34.76,116.29",2022-07-03T19:00:00,90.4,95.6,69.5,50.48,0,0,,0,0,19.9,10.7,141.5,1001,10.5,15,116,0.4,1,10,Clear,clear-day,remote
