name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.29,115.12",2022-11-28T00:00:00,41.4,35,36.4,82.14,0.004,100,rain,0,0,15.9,11.2,3.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.29,115.12",2022-11-28T01:00:00,41.3,34.3,36.8,83.89,0.004,100,rain,0,0,17.7,12.5,351.1,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.29,115.12",2022-11-28T02:00:00,41.1,34.1,36.9,85.08,0,0,,0,0,17.7,12.3,352.4,1014,100,15,0,,0,10,Overcast,cloudy,remote
"35.29,115.12",2022-11-28T03:00:00,41.3,34.9,36.9,84.49,0,0,,0,0,16.6,10.7,357.9,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.29,115.12",2022-11-28T04:00:00,41.6,36.7,37.7,85.72,0.004,100,rain,0,0,12.3,7.8,9.8,1012,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"35.29,115.12",2022-11-28T05:00:00,42,35.6,38.2,86.35,0.008,100,rain,0,0,15.9,11.2,351.4,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.29,115.12",2022-11-28T06:00:00,42.2,36,37.1,82.19,0,0,,0,0,20.8,11,354.2,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.29,115.12",2022-11-28T07:00:00,42.5,36.3,34.8,73.89,0,0,,0,0,21.3,11.2,356.5,1014,100,15,0,,0,10,Overcast,cloudy,remote
"35.29,115.12",2022-11-28T08:00:00,42.9,37.6,33.7,69.81,0,0,,0,0,18.3,9.2,353.3,1015,100,15,2,0,0,10,Overcast,cloudy,remote
"35.29,115.12",2022-11-28T09:00:00,43.4,37.9,33.9,68.87,0,0,,0,0,19.2,10.1,357.9,1015,100,15,14,0.1,0,10,Overcast,cloudy,
"35.29,115.12",2022-11-28T10:00:00,45,39.5,33.2,62.91,0,0,,0,0,18.3,11,355.1,1016,80,15,49,0.2,0,10,Partially cloudy,partly-cloudy-day,
"35.29,115.12",2022-11-28T11:00:00,49.5,44.8,33.7,54.27,0,0,,0,0,18.6,12.3,354,1016,8.3,15,235,0.8,2,10,Clear,clear-day,
"35.29,115.12",2022-11-28T12:00:00,53.7,53.7,34.6,48.29,0,0,,0,0,20.4,14.5,356,1016,100,15,519,1.9,5,10,Overcast,cloudy,
