name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.19,116.06",2022-07-01T00:00:00,73.7,73.7,69.9,87.99,0,0,,0,0,1.8,1.6,213.1,1006,0,15,0,,0,3,Clear,clear-night,remote
"35.19,116.06",2022-07-01T01:00:00,73.5,73.5,69.9,88.52,0,0,,0,0,1.1,1.1,213.7,1006,0,15,0,,0,3,Clear,clear-night,remote
"35.19,116.06",2022-07-01T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,15.7,2.2,10,1006.3,3.6,2.5,0,,0,3,Clear,clear-night,54909099999
"35.19,116.06",2022-07-01T03:00:00,73.1,73.1,69.2,87.42,0,0,,0,0,2.5,2.2,291.7,1006,1.7,15,0,,0,3,Clear,clear-night,remote
"35.19,116.06",2022-07-01T04:00:00,72.8,72.8,69,87.95,0,0,,0,0,4.3,4.3,324.8,1006,1.7,15,0,,0,5,Clear,clear-night,remote
"35.19,116.06",2022-07-01T05:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,15.7,2.2,30,1006.8,0.9,1.9,0,,0,5,Clear,clear-night,54909099999
"35.19,116.06",2022-07-01T06:00:00,73.7,73.7,68.8,84.8,0,0,,0,0,4.9,3.6,43.6,1007,0,15,31,0.1,0,5,Clear,clear-day,remote
"35.19,116.06",2022-07-01T07:00:00,76,76,69,78.9,0,0,,0,0,6.3,5.1,53,1007,0,15,186,0.7,2,3,Clear,clear-day,remote
"35.19,116.06",2022-07-01T08:00:00,80.9,85.1,71.9,74.16,0,0,,0,0,11.2,4.5,40,1007.7,0,5,380,1.4,4,10,Clear,clear-day,54909099999
"35.19,116.06",2022-07-01T09:00:00,82.5,86,69.2,64.18,0,0,,0,0,5.6,5.4,44.4,1008,0,15,567,2,6,10,Clear,clear-day,remote
"35.19,116.06",2022-07-01T10:00:00,85.4,89.2,68.8,57.78,0,0,,0,0,5.4,5.8,54.5,1007,0,15,733,2.6,7,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T11:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,11.2,4.5,80,1007.7,0,8.1,859,3.1,9,30,Clear,clear-day,54909099999
"35.19,116.06",2022-07-01T12:00:00,90.8,94.5,67.6,46.64,0,0,,0,0,4.3,4.9,71.4,1007,0,15,935,3.4,9,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T13:00:00,93.1,96.7,66.8,42.3,0,0,,0,0,3.8,4,79.6,1006,0,15,955,3.4,10,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,2.2,140,1006.6,0,13.7,915,3.3,9,30,Clear,clear-day,54909099999
"35.19,116.06",2022-07-01T15:00:00,93.8,97.4,66.6,41.11,0,0,,0,0,2.9,2.7,73.8,1006,0,15,822,3,8,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T16:00:00,93.3,96.4,66.1,41.02,0,0,,0,0,4,2.9,87.3,1005,0,15,681,2.5,7,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T17:00:00,92,98.7,70.8,50.1,0,0,,0,0,11.2,2.2,60,1005,0.9,13.7,505,1.8,5,30,Clear,clear-day,54909099999
"35.19,116.06",2022-07-01T18:00:00,91.8,94.8,66.1,42.9,0,0,,0,0,2.9,1.8,27.7,1005,0,15,311,1.1,3,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T19:00:00,88.6,92.5,68.3,51.17,0,0,,0,0,5.4,4.9,10.6,1005,0,15,124,0.4,1,30,Clear,clear-day,remote
"35.19,116.06",2022-07-01T20:00:00,88.1,94.8,71.9,58.85,0,0,,0,0,11.2,4.5,90,1005.7,0,11.2,9,0,0,10,Clear,clear-night,54909099999
"35.19,116.06",2022-07-01T21:00:00,81.4,84.4,68.4,64.85,0.012,100,rain,0,0,6,5.1,57.6,1007,0.6,7.8,0,,0,3,Rain,rain,remote
"35.19,116.06",2022-07-01T22:00:00,81.4,84.6,69,66.06,0.004,100,rain,0,0,4.9,4.5,76.3,1007,0,15,0,,0,3,Rain,rain,remote
"35.19,116.06",2022-07-01T23:00:00,85.4,91.6,72.2,64.91,0,0,,0,0,11.2,4.5,90,1007.4,5,5,0,,0,3,Clear,clear-night,54909099999
"35.19,116.06",2022-07-02T00:00:00,80,80,69.5,70.53,0.004,100,rain,0,0,7.2,5.6,100.8,1007,8.7,15,0,,0,3,Rain,rain,remote
"35.19,116.06",2022-07-02T01:00:00,79.2,79.2,70.1,73.56,0,0,,0,0,8.5,5.4,105.2,1007,87.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.19,116.06",2022-07-02T02:00:00,83.6,89.2,72.2,68.78,0,0,,0,0,11.2,4.5,70,1006.5,97.6,6.2,0,,0,10,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-02T03:00:00,78.9,78.9,70.2,74.89,0,0,,0,0,5.6,5.1,70,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T04:00:00,78.2,78.2,70.8,78.11,0,0,,0,0,4.7,4.3,74.9,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T05:00:00,80.9,85.8,73.5,78.33,0,0,,0,0,11.2,2.2,100,1006.6,100,3.7,0,,0,3,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-02T06:00:00,78.7,78.7,71.7,79.11,0,0,,0,0,7.4,4.7,99.3,1007,100,15,28,0.1,0,3,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T07:00:00,81.4,86,72.1,73.31,0,0,,0,0,7.2,5.4,96.2,1007,100,15,155,0.6,2,30,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T08:00:00,84.5,93.8,76.2,76.3,0,0,,0,0,8.9,6.7,70,1007.5,98,3.1,346,1.2,3,30,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-02T09:00:00,87.7,95.3,72.9,61.73,0,0,,0,0,5.1,5.1,120.8,1007,100,15,519,1.9,5,60,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T10:00:00,90.4,98,72.2,55.34,0.024,100,rain,0,0,6.5,6,144.3,1007,99.1,9.7,671,2.4,7,60,"Rain, Overcast",rain,remote
"35.19,116.06",2022-07-02T11:00:00,91.7,103.8,75.8,60.02,0,0,,0,0,11.2,6.7,130,1007,28.3,9.9,812,2.9,8,30,Partially cloudy,partly-cloudy-day,54909099999
"35.19,116.06",2022-07-02T12:00:00,95.4,101.7,69.5,43.17,0,0,,0,0,5.8,6.9,124.9,1006,22.3,15,921,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"35.19,116.06",2022-07-02T13:00:00,97.1,103.2,69,40.33,0,0,,0,0,6.7,7.6,128.4,1005,100,15,925,3.3,9,30,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T14:00:00,94.2,105.3,74.4,52.9,0,0,,0,0,13.4,6.7,100,1004.6,99.9,17.4,811,2.9,8,30,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-02T15:00:00,98,102.8,67.2,36.89,0,0,,0,0,7.6,7.6,135.2,1004,97.7,15,743,2.7,7,30,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T16:00:00,97.8,102.4,67,36.86,0,0,,0,0,7.6,7.6,142.1,1004,67.5,15,623,2.2,6,30,Partially cloudy,partly-cloudy-day,remote
"35.19,116.06",2022-07-02T17:00:00,89.3,102.5,77.3,67.75,0,0,,0,0,17.9,8.9,30,1003.9,99.6,14.3,339,1.2,3,30,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-02T18:00:00,89.9,96.3,71.1,54.26,0,0,,0,0,13.9,6,137.6,1003,100,15,54,0.2,1,30,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T19:00:00,89.3,96.3,71.9,56.55,0,0,,0,0,13.6,5.8,126.2,1003,100,15,45,0.2,0,30,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T20:00:00,88.1,98.5,75.5,66.41,0,0,,0,0,17.9,4.5,80,1004.2,100,9.3,6,0,0,30,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-02T21:00:00,85.7,91,70.8,61.12,0,0,,0,0,22.4,8.3,132.4,1005,99.3,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T22:00:00,84.6,89.9,71.1,64.04,0,0,,0,0,23,8.1,145.9,1005,91.8,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-07-02T23:00:00,83.9,94,77.3,80.46,0,0,,0,0,17.9,2.2,10,1005.6,100,5,0,,0,3,Overcast,cloudy,54909099999
"35.19,116.06",2022-07-03T00:00:00,82.5,86.1,69.3,64.58,0,0,,0,0,23.5,6.7,141.9,1006,99.5,15,0,,0,3,Overcast,cloudy,remote
"35.19,116.06",2022-07-03T01:00:00,82.1,85.3,68.4,63.35,0,0,,0,0,23.9,8.5,129,1005,100,15,0,,0,3,Overcast,cloudy,remote
"35.19,116.06",2022-07-03T02:00:00,76.7,76.7,74.9,94.18,0.079,100,rain,0,0,17.9,4.5,30,1005.2,87.4,1.9,0,,0,3,"Rain, Partially cloudy",rain,54909099999
"35.19,116.06",2022-07-03T03:00:00,80.3,84.3,72.1,75.94,0,0,,0,0,23.5,9.4,131.2,1004,99.1,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-07-03T04:00:00,79.2,79.2,73.1,81.59,0,0,,0,0,21.9,9.4,124.1,1004,72.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.19,116.06",2022-07-03T05:00:00,77.3,77.3,76.4,97.06,0,0,,0,0,15.7,4.5,80,1003.9,85.6,1.2,0,,0,10,Partially cloudy,partly-cloudy-night,54909099999
"35.19,116.06",2022-07-03T06:00:00,79.2,79.2,74.2,84.61,0,0,,0,0,19,7.4,119.6,1004,100,15,20,0.1,0,30,Overcast,cloudy,remote
