name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.19,116.06",2022-11-28T00:00:00,46.5,41.3,40,78.02,0,0,,0,0,13,11.2,342.7,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-11-28T01:00:00,45.9,40.8,39.6,78.53,0,0,,0,0,12.3,10.5,340.2,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-11-28T02:00:00,45.4,39.6,39.8,80.71,0,0,,0,0,15.2,12.3,334.9,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-11-28T03:00:00,45,39.1,40,82.4,0,0,,0,0,15.9,12.3,337.3,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-11-28T04:00:00,44.5,38.9,40.4,85.29,0.02,100,rain,0,0,15.2,11,353.7,1012,100,7,0,,0,10,"Rain, Overcast",rain,remote
"35.19,116.06",2022-11-28T05:00:00,45,40.2,40.5,84.14,0.012,100,rain,0,0,13.4,9.2,12.2,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.19,116.06",2022-11-28T06:00:00,45.8,40.3,41.1,83.6,0,0,,0,0,17,11.4,339.4,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.19,116.06",2022-11-28T07:00:00,44.7,38.9,41.1,87.1,0.004,100,rain,0,0,20.1,11.6,346.4,1013,100,11.5,0,,0,10,"Rain, Overcast",rain,remote
"35.19,116.06",2022-11-28T08:00:00,45,39.3,40.9,85.32,0.008,100,rain,0,0,18.8,11.6,356.4,1013,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"35.19,116.06",2022-11-28T09:00:00,45.4,39.6,40.7,83.58,0.004,14.3,rain,0,0,19.7,12.1,342.1,1014,100,15,6,0,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T10:00:00,46.1,40.7,40.7,81.33,0.004,14.3,rain,0,0,18.8,11.4,335.6,1015,100,15,18,0.1,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T11:00:00,46.8,41.1,40.9,79.71,0,14.3,,0,0,21.5,13.2,350.6,1015,100,15,58,0.2,1,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T12:00:00,48.3,42.7,41.3,76.57,0,14.3,,0,0,22.6,13.9,352,1014,97.8,15,105,0.4,1,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T13:00:00,53.7,53.7,41.8,64.02,0,14.3,,0,0,22.8,15.2,351.1,1014,96.6,15,214,0.8,2,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T14:00:00,55.1,55.1,40.5,57.86,0,14.3,,0,0,24.2,17.4,347.9,1015,100,15,239,0.9,2,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T15:00:00,55.5,55.5,39.1,54,0,0,,0,0,27.3,16.8,350.1,1016,100,15,216,0.8,2,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T16:00:00,53.7,53.7,35.7,50.4,0,0,,0,0,31.3,16.6,353.3,1017,100,15,105,0.4,1,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T17:00:00,51.9,51.9,32.8,48,0,0,,0,0,32.7,17.4,357.7,1017,100,15,27,0.1,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T18:00:00,50.6,50.6,33.3,51.39,0,0,,0,0,33.8,17,12.9,1017,100,15,0,,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T19:00:00,49.7,44.6,33.3,53.14,0,0,,0,0,31.5,13.6,5.3,1019,100,15,0,,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T20:00:00,49.7,44.7,33.7,53.91,0,0,,0,0,32.9,13.4,5.3,1020,100,15,0,,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T21:00:00,49.7,44.6,35,56.69,0,0,,0,0,31.3,13.6,3.7,1020,100,15,0,,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T22:00:00,49.5,45.2,35.9,59.14,0,0,,0,0,28.9,11,4.4,1022,100,15,0,,0,10,Overcast,cloudy,
"35.19,116.06",2022-11-28T23:00:00,48.6,43.9,36.2,62.04,0,0,,0,0,27.5,11.4,357.8,1022,100,15,0,,0,10,Overcast,cloudy,
