name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.030414,115.743453",2022-07-01T00:00:00,73.5,73.5,70.6,90.72,0,0,,0,0,6.3,3.1,203.4,1006,0,15,0,,0,3,Clear,clear-night,remote
"35.030414,115.743453",2022-07-01T01:00:00,73.5,73.5,70.4,90.17,0,0,,0,0,1.1,0.9,162.4,1006,0,15,0,,0,3,Clear,clear-night,remote
"35.030414,115.743453",2022-07-01T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,15.7,2.2,10,1006.3,4.8,2.5,0,,0,3,Clear,clear-night,54909099999
"35.030414,115.743453",2022-07-01T03:00:00,73.1,73.1,69,86.89,0,0,,0,0,1.1,1.1,319.4,1006,0.1,15,0,,0,5,Clear,clear-night,remote
"35.030414,115.743453",2022-07-01T04:00:00,72.8,72.8,68.6,86.87,0,0,,0,0,2.9,2.9,329.3,1006,1.1,15,0,,0,5,Clear,clear-night,remote
"35.030414,115.743453",2022-07-01T05:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,15.7,2.2,30,1006.8,0,1.9,0,,0,5,Clear,clear-night,54909099999
"35.030414,115.743453",2022-07-01T06:00:00,73.7,73.7,68.8,84.8,0,0,,0,0,4.5,3.6,58.1,1007,0,15,29,0.1,0,5,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T07:00:00,76.6,76.6,68.8,77.02,0,0,,0,0,5.8,4.7,64.9,1007,0,15,183,0.7,2,3,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T08:00:00,80.9,85.1,71.9,74.16,0,0,,0,0,11.2,4.5,40,1007.7,0,5,377,1.4,4,3,Clear,clear-day,54909099999
"35.030414,115.743453",2022-07-01T09:00:00,82.8,86.2,68.6,62.28,0,0,,0,0,6,5.6,48,1008,0,15,565,2,6,10,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T10:00:00,86.1,89.7,68.3,55.43,0,0,,0,0,6.3,6.5,57,1007,0,15,731,2.6,7,30,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T11:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,11.2,4.5,80,1007.7,0,8.1,859,3.1,9,30,Clear,clear-day,54909099999
"35.030414,115.743453",2022-07-01T12:00:00,91.1,94.4,66.8,44.99,0,0,,0,0,4.7,6.3,88,1006,0,15,935,3.4,9,30,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T13:00:00,93.3,96.5,66.3,41.28,0,0,,0,0,3.6,5.1,106.4,1006,0,15,956,3.4,10,30,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,2.2,140,1006.6,0,13.7,918,3.3,9,30,Clear,clear-day,54909099999
"35.030414,115.743453",2022-07-01T15:00:00,93.5,97,66.6,41.57,0,0,,0,0,3.1,3.1,115.8,1006,0,15,825,3,8,30,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T16:00:00,93.3,96.4,66.1,41.02,0,0,,0,0,4,3.4,125.1,1005,0,15,685,2.5,7,30,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T17:00:00,92,98.7,70.8,50.1,0,0,,0,0,11.2,2.2,60,1005,0,13.7,510,1.8,5,30,Clear,clear-day,54909099999
"35.030414,115.743453",2022-07-01T18:00:00,91.8,94.8,66.1,42.9,0,0,,0,0,3.1,2.2,33.4,1005,0,15,315,1.1,3,10,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T19:00:00,88.8,92.6,68.1,50.57,0,0,,0,0,4,3.8,21.5,1005,0,15,126,0.5,1,30,Clear,clear-day,remote
"35.030414,115.743453",2022-07-01T20:00:00,88.1,94.8,71.9,58.85,0,0,,0,0,11.2,4.5,90,1005.7,0,11.2,9,0,0,10,Clear,clear-night,54909099999
"35.030414,115.743453",2022-07-01T21:00:00,82.5,85.7,68.4,62.62,0,0,,0,0,5.6,5.4,40.8,1006,0,15,0,,0,10,Clear,clear-night,remote
"35.030414,115.743453",2022-07-01T22:00:00,81.8,85,68.8,64.89,0.004,100,rain,0,0,7.6,6,58.9,1007,4,15,0,,0,3,Rain,rain,remote
"35.030414,115.743453",2022-07-01T23:00:00,85.4,91.6,72.2,64.91,0,0,,0,0,11.2,4.5,90,1007.4,66.9,5,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
"35.030414,115.743453",2022-07-02T00:00:00,80.3,83.3,69.2,68.85,0,0,,0,0,8.1,6.5,101.6,1007,18.1,15,0,,0,3,Clear,clear-night,remote
"35.030414,115.743453",2022-07-02T01:00:00,78.5,78.5,69.5,73.95,0.004,100,rain,0,0,9.2,5.8,105.2,1007,32.3,15,0,,0,3,"Rain, Partially cloudy",rain,remote
"35.030414,115.743453",2022-07-02T02:00:00,83.6,89.2,72.2,68.78,0,0,,0,0,11.2,4.5,70,1006.5,100,6.2,0,,0,3,Overcast,cloudy,54909099999
"35.030414,115.743453",2022-07-02T03:00:00,78,78,70.2,77.15,0,0,,0,0,5.8,4.9,93,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T04:00:00,77.8,77.8,70.4,78.08,0,0,,0,0,5.1,4.9,61.8,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T05:00:00,80.9,85.8,73.5,78.33,0,0,,0,0,11.2,2.2,100,1006.6,100,3.7,0,,0,3,Overcast,cloudy,54909099999
"35.030414,115.743453",2022-07-02T06:00:00,78.3,78.3,71.9,80.55,0,0,,0,0,6.5,4.7,81.3,1007,84,15,26,0.1,0,3,Partially cloudy,partly-cloudy-day,remote
"35.030414,115.743453",2022-07-02T07:00:00,81.6,86.3,72.1,72.89,0,0,,0,0,5.4,4,92.3,1007,100,15,158,0.6,2,30,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T08:00:00,84.5,93.8,76.2,76.3,0,0,,0,0,8.9,6.7,70,1007.5,100,3.1,324,1.2,3,30,Overcast,cloudy,54909099999
"35.030414,115.743453",2022-07-02T09:00:00,87.9,95.4,72.8,61.01,0,0,,0,0,4.9,4.5,135.4,1007,81,15,514,1.9,5,60,Partially cloudy,partly-cloudy-day,remote
"35.030414,115.743453",2022-07-02T10:00:00,90.8,98.7,72.4,55.05,0,0,,0,0,5.4,5.1,139.7,1007,5.9,15,695,2.5,7,60,Clear,clear-day,remote
"35.030414,115.743453",2022-07-02T11:00:00,91.7,103.8,75.8,60.02,0,0,,0,0,11.2,6.7,130,1007,4.7,9.9,848,3.1,8,60,Clear,clear-day,54909099999
"35.030414,115.743453",2022-07-02T12:00:00,95.8,103.7,71.1,45.12,0,0,,0,0,6.3,7.2,122.8,1006,97.2,15,923,3.3,9,60,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T13:00:00,97.1,103.7,69.5,41.08,0,0,,0,0,7.4,8.3,111.4,1005,96.2,15,807,2.9,8,30,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T14:00:00,94.2,105.3,74.4,52.9,0,0,,0,0,13.4,6.7,100,1004.6,100,17.4,390,1.4,4,30,Overcast,cloudy,54909099999
"35.030414,115.743453",2022-07-02T15:00:00,94.4,101,70.2,45.74,0,0,,0,0,5.1,3.4,120.5,1004,70.7,15,136,0.5,1,30,Partially cloudy,partly-cloudy-day,remote
"35.030414,115.743453",2022-07-02T16:00:00,95.8,101.7,69,41.92,0,0,,0,0,7.4,6.5,126.9,1004,46.8,15,372,1.3,4,30,Partially cloudy,partly-cloudy-day,remote
"35.030414,115.743453",2022-07-02T17:00:00,89.3,102.5,77.3,67.75,0,0,,0,0,17.9,8.9,30,1003.9,87.9,14.3,416,1.5,4,30,Partially cloudy,partly-cloudy-day,54909099999
"35.030414,115.743453",2022-07-02T18:00:00,93.5,100.3,70.6,47.61,0,0,,0,0,13.6,9.2,109.3,1003,95.1,15,292,1.1,3,30,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T19:00:00,89.1,96,71.7,56.53,0,0,,0,0,18.8,8.7,107.7,1003,100,15,97,0.3,1,30,Overcast,cloudy,remote
"35.030414,115.743453",2022-07-02T20:00:00,88.1,98.5,75.5,66.41,0,0,,0,0,17.9,4.5,80,1004.2,100,9.3,8,0,0,30,Overcast,cloudy,54909099999
"35.030414,115.743453",2022-07-02T21:00:00,87,91.7,69.7,56.59,0,0,,0,0,25.3,12.5,139.7,1005,56.5,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.030414,115.743453",2022-07-02T22:00:00,85.6,89,68.1,56.05,0,0,,0,0,23.5,10.1,141.1,1005,69.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"35.030414,115.743453",2022-07-02T23:00:00,83.9,94,77.3,80.46,0,0,,0,0,17.9,2.2,10,1005.6,89.1,5,0,,0,3,Partially cloudy,partly-cloudy-night,54909099999
