name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.030414,115.743453",2022-11-28T00:00:00,46.3,41.2,40,78.56,0,0,,0,0,13,10.7,345.2,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.030414,115.743453",2022-11-28T01:00:00,45.9,40.8,39.1,76.89,0,0,,0,0,12.5,10.7,347.3,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.030414,115.743453",2022-11-28T02:00:00,45.4,39.6,39.3,79.03,0.004,100,rain,0,0,14.5,12.3,338.2,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.030414,115.743453",2022-11-28T03:00:00,44.9,38.9,39.8,82.38,0.008,100,rain,0,0,15.7,12.1,343.1,1013,100,7.6,0,,0,10,"Rain, Overcast",rain,remote
"35.030414,115.743453",2022-11-28T04:00:00,44.3,38.4,40.2,85.28,0.035,100,rain,0,0,16.1,11.6,352.7,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.030414,115.743453",2022-11-28T05:00:00,45,40.1,40.4,83.56,0.004,100,rain,0,0,13.6,9.4,4,1011,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.030414,115.743453",2022-11-28T06:00:00,45.6,40.5,40.7,83.01,0,0,rain,0,0,15.7,10.1,349.9,1011,100,15,0,,0,10,Overcast,cloudy,remote
"35.030414,115.743453",2022-11-28T07:00:00,44.9,38.9,41.1,86.51,0.004,100,rain,0,0,19.7,12.3,348.3,1013,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.030414,115.743453",2022-11-28T08:00:00,45.2,39.6,40.9,84.74,0.004,100,rain,0,0,19.7,11.4,359.9,1013,100,15,2,0,0,10,"Rain, Overcast",rain,remote
"35.030414,115.743453",2022-11-28T09:00:00,45.6,39.9,40.5,82.43,0,9.5,,0,0,18.8,11.9,344.5,1014,100,15,9,0,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T10:00:00,46.3,40.6,40.4,79.66,0,9.5,,0,0,20.1,12.5,344.4,1015,100,15,28,0.1,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T11:00:00,47,41.2,40.5,78.07,0,9.5,,0,0,21,13.6,352.2,1015,100,15,73,0.3,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T12:00:00,47.7,42.1,40.5,75.99,0,9.5,,0,0,21.7,13.6,347.9,1015,100,15,92,0.3,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T13:00:00,51.7,51.7,40.9,66.49,0,9.5,,0,0,22.6,13,344.7,1015,100,15,136,0.5,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T14:00:00,55.1,55.1,39.6,55.87,0,9.5,,0,0,24.4,15.4,351.2,1015,100,15,128,0.5,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T15:00:00,55.1,55.1,36.9,50.26,0,0,,0,0,28,16.3,351.9,1015,100,15,141,0.5,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T16:00:00,53.7,53.7,33.5,46.25,0,0,,0,0,33.6,17,353.1,1017,100,15,94,0.3,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T17:00:00,52.1,52.1,30.6,43.71,0,0,,0,0,36,16.6,3.3,1017,100,15,27,0.1,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T18:00:00,51,51,30.1,44.5,0,0,,0,0,36.7,17.4,12.6,1017,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T19:00:00,50.3,50.3,30.6,46.71,0,0,,0,0,33.6,15.9,12.5,1019,98.5,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T20:00:00,49.7,45.3,31,48.36,0,0,,0,0,28.4,11.4,3,1021,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T21:00:00,49.7,44.8,31.9,50.15,0,0,,0,0,31.1,13.2,1.8,1021,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T22:00:00,49.5,45.1,33.2,53.11,0,0,,0,0,30,11.2,13,1022,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-28T23:00:00,49.4,45,34.1,55.43,0,0,,0,0,27.7,10.7,359,1022,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T00:00:00,47.9,43,32.3,54.42,0,0,,0,0,25.5,11.4,356,1023,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T01:00:00,47,41.1,21.3,35.78,0,0,,0,0,28.6,14.1,1.6,1023,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T02:00:00,45.9,39.1,19.5,34.52,0,0,,0,0,32.9,16.6,11.2,1024,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T03:00:00,44,36.5,10.3,24.94,0,4.8,,0,0,31.5,16.6,11,1025,95.3,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T04:00:00,41.3,33,9.9,27.22,0,4.8,,0,0,32.7,16.8,17.5,1025,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T05:00:00,38.9,29.4,7.6,26.83,0,4.8,,0,0,34,18.6,24.6,1026,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T06:00:00,37.5,27.7,6.9,27.48,0,4.8,,0,0,33.3,17.9,23.9,1027,95.3,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T07:00:00,35.3,24.9,3.3,25.38,0,4.8,,0,0,34.2,17.9,24.3,1029,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T08:00:00,35,24.5,2,24.29,0,4.8,,0,0,34.4,17.9,26.4,1030,89.9,15,19,0.1,0,10,Partially cloudy,partly-cloudy-day,
"35.030414,115.743453",2022-11-29T09:00:00,35.9,25.3,0.9,22.29,0,9.5,,0,0,29.5,19,24.9,1032,100,15,149,0.5,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T10:00:00,36.8,26.4,0.8,21.33,0,9.5,snow,0,0,27.3,19.5,23.6,1033,95.4,10.3,185,0.7,2,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T11:00:00,38.4,28.6,0.8,20.02,0,9.5,,0,0,25.3,19.2,21.9,1033,100,15,353,1.3,4,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T12:00:00,38.7,29.1,-0.9,18.29,0,9.5,,0,0,24.6,18.8,17.8,1033,100,15,350,1.3,4,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T13:00:00,39.3,29.9,-1.6,17.31,0,9.5,,0,0,23,18.6,17.4,1033,100,15,422,1.5,4,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T14:00:00,39.1,29.8,-1.4,17.58,0,9.5,,0,0,21.9,18.1,14.4,1033,92.2,15,379,1.4,4,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T15:00:00,38.2,28.8,-1.6,18.06,0,0,,0,0,21,17.4,14,1034,100,15,303,1.1,3,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T16:00:00,36.9,27.5,-0.5,19.97,0.004,0,rain,0,0,21,16.3,18.4,1034,100,15,147,0.5,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T17:00:00,35.5,26.2,0.2,21.86,0,0,,0,0,21.3,14.5,21.3,1036,80.5,15,39,0.1,0,10,Partially cloudy,partly-cloudy-day,
"35.030414,115.743453",2022-11-29T18:00:00,34.4,25.3,0,22.63,0,0,,0,0,20.4,13.4,29.2,1037,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T19:00:00,33.7,24.6,-1.2,21.95,0,0,,0,0,20.8,12.8,32.4,1039,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T20:00:00,32.8,24.5,-1.6,22.37,0,0,,0,0,22.4,10.5,33.7,1040,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T21:00:00,32.1,23.1,-2.3,22.25,0,0,,0,0,20.6,11.6,33.4,1040,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T22:00:00,30.8,20.2,-4.6,20.94,0,0,,0,0,21.3,14.8,28.9,1041,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-29T23:00:00,29.6,18.8,-7,19.69,0,0,,0,0,22.6,14.1,30,1042,99.7,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T00:00:00,27.9,16.7,-6.8,21.22,0,0,,0,0,22.8,14.3,30.1,1042,96,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T01:00:00,26,14.9,-10.4,19.31,0,0,,0,0,23.3,12.5,27.5,1043,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T02:00:00,25.1,14,-10.9,19.51,0,0,,0,0,23.3,12.1,27.4,1043,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T03:00:00,23.6,13.1,-12,19.64,0,0,,0,0,23.3,10.5,29.8,1043,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T04:00:00,23.1,13.1,-13.3,18.86,0,0,,0,0,22.8,9.4,23.6,1043,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T05:00:00,22.9,13,-14.7,17.68,0,0,,0,0,21.9,9.2,25.3,1043,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T06:00:00,22.2,12.9,-15.3,17.73,0,0,,0,0,20.1,8.1,32.1,1043,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T07:00:00,21.8,13.1,-15.3,18,0,0,,0,0,18.8,7.2,29,1044,100,15,0,,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T08:00:00,22.5,13,-17.6,15.5,0,0,,0,0,18.1,8.5,30.5,1044,100,15,30,0.1,0,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T09:00:00,24.2,15.1,-18.7,13.7,0,0,,0,0,13.2,8.3,28.8,1045,100,15,144,0.5,1,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T10:00:00,26.7,18.3,-18.9,12.23,0,0,,0,0,11.4,8.1,24.1,1046,94.2,15,319,1.1,3,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T11:00:00,29,20.9,-18.7,11.21,0,0,,0,0,10.7,8.5,24.2,1045,100,15,483,1.7,5,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T12:00:00,29.9,22,-18,11.21,0,0,,0,0,10.1,8.5,26.3,1043,100,15,431,1.6,4,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T13:00:00,29.6,22.1,-17.6,11.59,0,0,,0,0,8.7,7.6,8.8,1042,100,15,204,0.7,2,10,Overcast,cloudy,
"35.030414,115.743453",2022-11-30T14:00:00,31,24.7,-17.1,11.24,0,0,,0,0,7.8,6.5,10.9,1041,100,15,367,1.3,4,10,Overcast,cloudy,
