name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.370712,115.538269",2022-07-01T00:00:00,72.8,72.8,69.5,89.59,0,0,,0,0,9.6,3.8,157.7,1007,0,15,0,,0,3,Clear,clear-night,remote
"35.370712,115.538269",2022-07-01T01:00:00,72.8,72.8,69.5,89.59,0,0,,0,0,3.4,2.9,153,1006,0.3,15,0,,0,3,Clear,clear-night,remote
"35.370712,115.538269",2022-07-01T02:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,15.7,2.2,10,1006.3,4.1,2.5,0,,0,3,Clear,clear-night,54909099999
"35.370712,115.538269",2022-07-01T03:00:00,72.8,72.8,68.4,86.33,0,0,,0,0,1.3,1.3,221,1006,2.5,15,0,,0,5,Clear,clear-night,remote
"35.370712,115.538269",2022-07-01T04:00:00,72.6,72.6,67.9,85.26,0,0,,0,0,1.6,1.6,357.7,1006,4.7,15,0,,0,5,Clear,clear-night,remote
"35.370712,115.538269",2022-07-01T05:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,15.7,2.2,30,1006.8,0.3,1.9,0,,0,5,Clear,clear-night,54909099999
"35.370712,115.538269",2022-07-01T06:00:00,74,74,67.7,80.73,0,0,,0,0,4.7,3.8,19.6,1007,1.5,15,29,0.1,0,5,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T07:00:00,76.9,76.9,67.4,72.43,0,0,,0,0,5.8,4.3,40.8,1007,1.5,15,181,0.7,2,3,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T08:00:00,80.9,85.1,71.9,74.16,0,0,,0,0,11.2,4.5,40,1007.7,1,5,375,1.3,4,3,Clear,clear-day,54909099999
"35.370712,115.538269",2022-07-01T09:00:00,82.8,85.9,68.1,61.13,0,0,,0,0,5.1,5.4,72.2,1008,0,15,563,2,6,10,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T10:00:00,85.7,89.2,68.1,55.73,0,0,,0,0,5.6,6,73,1007,0,15,730,2.6,7,30,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T11:00:00,88.1,96.5,73.7,62.53,0,0,,0,0,11.2,4.5,80,1007.7,0,8.1,857,3.1,9,30,Clear,clear-day,54909099999
"35.370712,115.538269",2022-07-01T12:00:00,90.6,94.2,67.4,46.61,0,0,,0,0,5.4,7.2,93.3,1007,0,15,933,3.4,9,30,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T13:00:00,92.2,95.5,66.6,43.22,0,0,,0,0,4.7,6.5,104.2,1006,0,15,954,3.4,10,30,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T14:00:00,92,99.7,71.9,51.97,0,0,,0,0,11.2,2.2,140,1006.6,0,13.7,917,3.3,9,30,Clear,clear-day,54909099999
"35.370712,115.538269",2022-07-01T15:00:00,92.6,95.8,66.5,42.48,0,0,,0,0,4,4.3,107.2,1006,0,15,825,3,8,30,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T16:00:00,92.4,95.3,65.9,41.92,0,0,,0,0,4.5,4,114.4,1005,0,15,687,2.5,7,30,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T17:00:00,92,98.7,70.8,50.1,0,0,,0,0,11.2,2.2,60,1005,0.7,13.7,511,1.8,5,10,Clear,clear-day,54909099999
"35.370712,115.538269",2022-07-01T18:00:00,91.1,93.7,65.7,43.33,0,0,,0,0,4,2.5,110.4,1005,0,15,318,1.1,3,10,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T19:00:00,88.6,92.3,67.9,50.54,0,0,,0,0,3.4,3.1,78,1005,0,15,131,0.5,1,30,Clear,clear-day,remote
"35.370712,115.538269",2022-07-01T20:00:00,88.1,94.8,71.9,58.85,0,0,,0,0,11.2,4.5,90,1005.7,0,11.2,11,0,0,10,Clear,clear-night,54909099999
"35.370712,115.538269",2022-07-01T21:00:00,83.4,86.3,67.6,58.97,0,0,,0,0,4.3,4.3,70.2,1006,0,15,0,,0,10,Clear,clear-night,remote
"35.370712,115.538269",2022-07-01T22:00:00,82.3,85.2,67.7,61.44,0,0,,0,0,4.3,4.3,89.9,1007,1.3,15,0,,0,10,Clear,clear-night,remote
"35.370712,115.538269",2022-07-01T23:00:00,85.4,91.6,72.2,64.91,0,0,,0,0,11.2,4.5,90,1007.4,8.7,5,0,,0,3,Clear,clear-night,54909099999
"35.370712,115.538269",2022-07-02T00:00:00,80.7,83.4,68.1,65.57,0,0,,0,0,6.7,5.6,91,1007,68.9,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"35.370712,115.538269",2022-07-02T01:00:00,80.1,82.8,68.3,67.16,0,0,,0,0,6.5,5.4,101.7,1007,100,15,0,,0,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T02:00:00,83.6,89.2,72.2,68.78,0,0,,0,0,11.2,4.5,70,1006.5,99,6.2,0,,0,3,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-02T03:00:00,78.7,78.7,68.1,69.97,0,0,,0,0,5.4,4.9,81.4,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T04:00:00,78.3,78.3,68.1,70.8,0,0,,0,0,4.3,4,75.4,1006,100,15,0,,0,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T05:00:00,80.9,85.8,73.5,78.33,0,0,,0,0,11.2,2.2,100,1006.6,100,3.7,0,,0,3,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-02T06:00:00,78.7,78.7,69.3,73.06,0,0,,0,0,5.6,4.3,74.9,1007,100,15,26,0.1,0,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T07:00:00,81.6,85.4,70.2,68.57,0,0,,0,0,6.5,5.1,77,1007,100,15,155,0.6,2,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T08:00:00,84.5,93.8,76.2,76.3,0,0,,0,0,8.9,6.7,70,1007.5,100,3.1,332,1.2,3,30,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-02T09:00:00,87.7,94.5,72.1,59.89,0,0,,0,0,4.5,4.5,113.4,1007,100,15,505,1.8,5,60,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T10:00:00,90.8,98.3,72.1,54.38,0,0,,0,0,5.8,5.6,129.2,1006,58.3,15,668,2.4,7,60,Partially cloudy,partly-cloudy-day,remote
"35.370712,115.538269",2022-07-02T11:00:00,91.7,103.8,75.8,60.02,0,0,,0,0,11.2,6.7,130,1007,5,9.9,831,3,8,60,Clear,clear-day,54909099999
"35.370712,115.538269",2022-07-02T12:00:00,95.8,103.3,70.8,44.57,0,0,,0,0,6.3,6.9,132.3,1006,100,15,921,3.3,9,60,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T13:00:00,95.6,101.9,69.5,42.94,0.004,100,rain,0,0,7.2,6.7,126.5,1005,100,11.2,530,1.9,5,30,"Rain, Overcast",rain,remote
"35.370712,115.538269",2022-07-02T14:00:00,94.2,105.3,74.4,52.9,0,0,,0,0,13.4,6.7,100,1004.6,100,17.4,101,0.4,1,30,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-02T15:00:00,89.9,96.2,71,53.93,0,0,,0,0,6.7,5.4,43.1,1004,60.1,15,64,0.2,1,30,Partially cloudy,partly-cloudy-day,remote
"35.370712,115.538269",2022-07-02T16:00:00,93.3,98.7,69.2,45.58,0,0,,0,0,7.8,4.3,67.6,1004,50.6,15,426,1.5,4,30,Partially cloudy,partly-cloudy-day,remote
"35.370712,115.538269",2022-07-02T17:00:00,89.3,102.5,77.3,67.75,0,0,,0,0,17.9,8.9,30,1003.9,100,14.3,397,1.4,4,30,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-02T18:00:00,94.4,99.9,69,43.82,0,0,,0,0,8.9,6,90.8,1003,100,15,226,0.8,2,30,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T19:00:00,89.9,95.9,70.6,53.27,0,0,,0,0,14.3,7.4,90.6,1003,100,15,97,0.3,1,30,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T20:00:00,88.1,98.5,75.5,66.41,0,0,,0,0,17.9,4.5,80,1004.2,100,9.3,9,0,0,30,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-02T21:00:00,85.4,90.8,71.1,62.58,0,0,,0,0,20.1,8.1,108.6,1005,100,15,0,,0,30,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-02T22:00:00,84.6,88.9,69.7,60.98,0.008,100,rain,0,0,24.6,10.3,145.1,1005,95.6,10.1,0,,0,10,"Rain, Overcast",rain,remote
"35.370712,115.538269",2022-07-02T23:00:00,83.9,94,77.3,80.46,0,0,rain,0,0,17.9,2.2,10,1005.6,100,5,0,,0,10,Overcast,cloudy,54909099999
"35.370712,115.538269",2022-07-03T00:00:00,81.6,85.1,69.5,66.9,0,0,,0,0,16.6,5.8,134.4,1005,99.3,13.3,0,,0,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-03T01:00:00,81.2,84.3,68.6,65.64,0,0,,0,0,19.7,6.7,131.4,1005,99.6,15,0,,0,3,Overcast,cloudy,remote
"35.370712,115.538269",2022-07-03T02:00:00,76.7,76.7,74.9,94.18,0.079,100,rain,0,0,17.9,4.5,30,1005.2,100,1.9,0,,0,3,"Rain, Overcast",rain,54909099999
"35.370712,115.538269",2022-07-03T03:00:00,79.2,79.2,69.3,71.77,0,0,,0,0,18.6,6.5,129.7,1004,98,12.1,0,,0,3,Overcast,cloudy,remote
