name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.370712,115.538269",2022-11-28T00:00:00,43.6,37.5,37.7,79.44,0,0,,0,0,14.1,11.6,350.2,1012,100,15,0,,0,10,Overcast,cloudy,remote
"35.370712,115.538269",2022-11-28T01:00:00,43.4,37.2,38,81.13,0,0,,0,0,15,11.9,341.4,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.370712,115.538269",2022-11-28T02:00:00,43.1,36.5,38.4,83.42,0,0,rain,0,0,17,12.5,345.5,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.370712,115.538269",2022-11-28T03:00:00,42.9,36.5,38.6,84.59,0,0,rain,0,0,17.2,12.1,351.1,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.370712,115.538269",2022-11-28T04:00:00,42.9,37.4,38.7,85.19,0.004,100,rain,0,0,14.5,9.6,4.2,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.370712,115.538269",2022-11-28T05:00:00,43.8,39.1,39.5,84.65,0.004,100,rain,0,0,12.1,8.3,0.2,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.370712,115.538269",2022-11-28T06:00:00,43.6,36.9,40,87.04,0.008,100,rain,0,0,22.1,13.4,342.9,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"35.370712,115.538269",2022-11-28T07:00:00,43.8,38.1,39.5,84.65,0,0,,0,0,19,10.5,350.6,1013,100,15,0,,0,10,Overcast,cloudy,remote
"35.370712,115.538269",2022-11-28T08:00:00,43.8,38.1,38.9,82.89,0,0,,0,0,17.7,10.7,6.5,1014,100,15,2,0,0,10,Overcast,cloudy,remote
"35.370712,115.538269",2022-11-28T09:00:00,44.5,39,39.1,81.21,0,4.8,,0,0,17.2,10.5,354.5,1015,100,15,20,0.1,0,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T10:00:00,45,39.6,38.9,79,0,4.8,rain,0,0,17.7,10.7,349,1016,100,15,33,0.1,0,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T11:00:00,46.3,41,38.6,74.27,0,4.8,,0,0,18.6,11.2,355.3,1015,95.8,15,43,0.2,0,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T12:00:00,51.5,51.5,39.3,62.86,0,4.8,,0,0,21.3,13.4,353.6,1015,52,15,175,0.6,2,10,Partially cloudy,partly-cloudy-day,
"35.370712,115.538269",2022-11-28T13:00:00,55.5,55.5,38.4,52.5,0,4.8,,0,0,23,15.9,348.1,1015,82.8,15,442,1.6,4,10,Partially cloudy,partly-cloudy-day,
"35.370712,115.538269",2022-11-28T14:00:00,55.5,55.5,34.8,45.55,0,4.8,,0,0,27.1,18.3,352.9,1015,100,15,372,1.3,4,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T15:00:00,54.8,54.8,31.9,41.66,0,0,,0,0,30.9,16.6,355.1,1016,100,15,187,0.7,2,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T16:00:00,53.3,53.3,29.7,40.23,0,0,,0,0,32.9,15.2,0.1,1017,100,15,94,0.3,1,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T17:00:00,52.1,52.1,27.8,38.86,0,0,,0,0,34.9,16.1,10.3,1017,100,15,18,0.1,0,10,Overcast,cloudy,
"35.370712,115.538269",2022-11-28T18:00:00,51,51,27,39.26,0,0,,0,0,36,15.9,13.7,1018,100,15,0,,0,10,Overcast,cloudy,
