name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.46,120.68",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,19.9,4.5,130,1007,50,6.2,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,0,17.4,4.5,140,1007,0,3.7,0,,0,3,Clear,clear-night,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T02:00:00,74.3,74.3,73.3,96.78,0,0,,0,0,19.2,7,133,1007.6,14,3.3,0,,0,3,Clear,clear-night,"54857099999,ZSQD,54863099999"
"36.46,120.68",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,,0,0,5.4,6.7,150,1007,50,3.1,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,0,5.8,11.2,160,1007,89,4.3,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T05:00:00,74.5,74.5,74.2,99.07,0.001,100,rain,0,0,19.2,8.3,156,1007.8,88,5.7,1,0,0,10,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54863099999"
"36.46,120.68",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,9.2,11.2,160,1008,89,6.2,68,0.2,1,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,0,8.1,11.2,170,1008,89,6.2,223,0.8,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T08:00:00,77.1,77.1,75.6,94.94,0,0,,0,0,19.2,6.1,170,1008.8,88,6.3,394,1.4,4,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.46,120.68",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,0,6.5,8.9,180,1008,89,6.2,561,2,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,6.7,8.9,150,1008,89,6.2,747,2.7,7,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T11:00:00,80.7,87.2,76.8,88.14,0,0,,0,0,17.9,7.7,170,1009.1,25,6.7,837,3,8,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54863099999"
"36.46,120.68",2022-07-01T12:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,13.9,13.4,160,1008,27.4,6.2,902,3.2,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.46,120.68",2022-07-01T13:00:00,84.2,94.2,77,79.06,0,0,,0,0,17,15.7,160,1008,27.4,6.2,897,3.2,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
