name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.46,120.68",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0.004,100,rain,0,0,24.4,6.7,160,1011,100,6.2,0,,0,10,"Rain, Overcast",rain,ZSQD
"36.46,120.68",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0,0,,0,0,15.7,11.2,150,1010,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.46,120.68",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0.004,100,rain,0,0,11.9,11.2,150,1010,100,4.3,0,,0,10,"Rain, Overcast",rain,ZSQD
"36.46,120.68",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,,0,0,18.1,4.5,200,1011,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.46,120.68",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,0,17.7,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.46,120.68",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,,0,0,13.6,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.46,120.68",2022-11-28T06:00:00,57.1,57.1,57.1,100,0,0,,0,0,6.9,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.46,120.68",2022-11-28T07:00:00,57.1,57.1,57.1,100,0.004,100,rain,0,0,4.7,2.2,160,1010,88,1.9,0,,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.46,120.68",2022-11-28T08:00:00,58.9,58.9,58.9,100,0,0,,0,0,3.1,6.7,330,1011,88,1.2,20,0.1,0,10,Partially cloudy,partly-cloudy-day,ZSQD
"36.46,120.68",2022-11-28T09:00:00,58.6,58.6,56.7,93.73,0.004,95.2,rain,0,0,3.4,2,309,1011,100,15,23,0.1,0,10,"Rain, Overcast",rain,
"36.46,120.68",2022-11-28T10:00:00,59.1,59.1,56.9,92.54,0.016,95.2,rain,0,0,4,2.7,272.4,1011,100,6.2,45,0.2,0,10,"Rain, Overcast",rain,
"36.46,120.68",2022-11-28T11:00:00,58.4,58.4,57.1,95.57,0.035,95.2,rain,0,0,11.6,6.9,293,1011,100,6.5,11,0,0,10,"Rain, Overcast",rain,
"36.46,120.68",2022-11-28T12:00:00,57.1,57.1,56,96.17,0.091,95.2,rain,0,0,14.5,10.5,285.1,1011,100,3.4,8,0,0,10,"Rain, Overcast",rain,
"36.46,120.68",2022-11-28T13:00:00,55.7,55.7,54.2,94.9,0.126,95.2,rain,0,0,17,12.3,286.6,1011,100,6.6,17,0.1,0,10,"Rain, Overcast",rain,
