name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.56,120.89",2022-11-28T00:00:00,60.7,60.7,58.9,93.79,0.004,100,rain,0,,28.4,6.7,160,1011,100,6.2,0,,0,10,"Rain, Overcast",rain,ZSQD
"36.56,120.89",2022-11-28T01:00:00,60.7,60.7,58.9,93.79,0.004,100,rain,0,,20.8,11.2,150,1010,50,4.3,0,,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.56,120.89",2022-11-28T02:00:00,60.7,60.7,58.9,93.79,0.004,100,rain,,,23,11.2,150,1010,100,4.3,0,,0,10,"Rain, Overcast",rain,ZSQD
"36.56,120.89",2022-11-28T03:00:00,58.9,58.9,58.9,100,0,0,rain,0,,24.6,4.5,200,1011,50,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.56,120.89",2022-11-28T04:00:00,57.1,57.1,57.1,100,0,0,,0,,26.8,2.2,180,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.56,120.89",2022-11-28T05:00:00,57.1,57.1,57.1,100,0,0,rain,0,,25.5,4.5,150,1010,88,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,ZSQD
"36.56,120.89",2022-11-28T06:00:00,57.1,57.1,57.1,100,0.004,100,rain,0,,23.3,2.2,180,1010,88,3.1,0,,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.56,120.89",2022-11-28T07:00:00,57.1,57.1,57.1,100,0.008,100,rain,0,,17.9,2.2,160,1010,88,1.9,0,,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.56,120.89",2022-11-28T08:00:00,58.9,58.9,58.9,100,0.008,100,rain,,,12.5,6.7,330,1011,88,1.2,6,0,0,10,"Rain, Partially cloudy",rain,ZSQD
"36.56,120.89",2022-11-28T09:00:00,59.6,59.6,57.8,93.76,0.004,100,rain,0,,7.4,5.8,252,1011,100,15,18,0.1,0,10,"Rain, Overcast",rain,
"36.56,120.89",2022-11-28T10:00:00,59.3,59.3,57.6,94.36,0.016,100,rain,0,,5.6,5.1,264.4,1011,100,5.8,42,0.2,0,10,"Rain, Overcast",rain,
"36.56,120.89",2022-11-28T11:00:00,58.6,58.6,57.5,96.2,0.063,100,rain,0,,6.7,5.8,313.5,1011,100,7.1,11,0,0,10,"Rain, Overcast",rain,
"36.56,120.89",2022-11-28T12:00:00,58.4,58.4,57.5,96.82,0.083,100,rain,0,,8.9,6.7,307.2,1010,100,9.6,21,0.1,0,10,"Rain, Overcast",rain,
"36.56,120.89",2022-11-28T13:00:00,57.5,57.5,56.6,96.81,0.134,100,rain,0,,15,12.5,288.9,1010,100,4.1,16,0.1,0,10,"Rain, Overcast",rain,
"36.56,120.89",2022-11-28T14:00:00,57.1,57.1,55.5,94.31,0.071,100,rain,,,18.6,15,308.2,1011,100,15,16,0.1,0,10,"Rain, Overcast",rain,
