name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.802706,120.122737",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,9.6,4.5,130,1007,50,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,0,3.1,4.5,140,1007,0,3.7,0,,0,10,Clear,clear-night,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T02:00:00,74.6,74.6,73.5,96.44,0,0,,0,0,17.9,8.9,130,1007.4,100,2.5,0,,0,10,Overcast,cloudy,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,,0,0,1.3,6.7,150,1007,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,0,2.5,11.2,160,1007,89,4.3,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T05:00:00,74.4,74.4,74.1,99.1,0,0,,0,0,17.9,9,150,1007.6,88,5.6,1,0,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,5.4,11.2,160,1008,89,6.2,64,0.2,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,0,8.3,11.2,170,1008,89,6.2,227,0.8,2,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T08:00:00,77.3,77.3,75.5,94.2,0,0,,0,0,17.9,6.7,170,1008.6,88,5.9,382,1.4,4,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,0,8.7,8.9,180,1008,89,6.2,546,2,5,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,8.5,8.9,150,1008,89,6.2,622,2.2,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T11:00:00,81.3,88.6,76.8,86.25,0,0,,0,0,17.9,7.8,170,1008.8,25,7.5,837,3,8,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T12:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,11.2,13.4,160,1008,27.5,6.2,920,3.3,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T13:00:00,84.2,94.2,77,79.06,0,0,,0,0,13.2,15.7,160,1008,27.5,6.2,923,3.3,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T14:00:00,81.6,88.7,76.2,83.71,0,0,,0,0,17.9,6.7,170,1007.7,25,4.7,867,3.1,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"36.802706,120.122737",2022-07-01T15:00:00,82.4,90.9,77,83.79,0,0,,0,0,13,15.7,150,1007,50,6.2,759,2.7,8,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
